,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"75,67,90,000","82,78,10,000","69,06,80,000","54,82,68,400"
Cost of revenue,"45,61,70,000","47,58,70,000","42,05,80,000","30,98,70,300"
Gross profit,"30,06,20,000","35,19,40,000","27,01,00,000","23,83,98,100"
Selling general and administrative,-,"4,17,30,000","2,32,30,000","2,43,87,400"
Total operating expenses,"20,89,60,000","19,98,30,000","15,31,40,000","14,40,18,500"
Operating income or loss,"9,16,60,000","15,21,10,000","11,69,60,000","9,43,79,600"
Interest expense,"3,90,30,000","3,54,50,000","3,45,10,000","3,49,76,500"
Income before tax,"5,22,40,000","11,16,80,000","7,60,90,000","5,12,83,600"
Income tax expense,"-20,000","3,64,40,000","1,53,80,000","1,67,43,100"
Income from continuing operations,"5,22,60,000","7,52,40,000","6,07,10,000","3,45,40,500"
Net income,"5,32,20,000","7,63,90,000","6,21,40,000","3,52,31,200"
Net income available to common shareholders,"5,32,20,000","7,63,90,000","6,21,40,000","3,52,31,200"
Basic EPS,-,31.77,25.85,14.66
Diluted EPS,-,31.60,25.71,14.58
Basic average shares,-,"24,04,626","24,04,153","24,02,585"
Diluted average shares,-,"24,17,220","24,17,220","24,17,220"
EBITDA,-,"18,75,40,000","14,44,70,000","12,05,58,800"
