Insider,Insider Type,Type,Date,Shares
JTPM Metal Traders Pvt. Ltd.,Institution- Corporation,Direct,11-Mar-2020,"450,000"
JSW Steel Employees Welfare Trust,Institution- Corporation,Direct,08-Aug-2017,"258,520"
Jhunjhunwala (Sarika),UNREPORTED,Direct,23-Mar-2020,"20,000"
Sahyog Tradecorp Pvt Ltd,Promoter,Direct,22-Nov-2019,"200,000"
Bhuwalka (Urmila),Promoter,Direct,03-Oct-2017,"10,000"
Vividh Consultancy & Advisory Services Pvt. Ltd.,Promoter,Direct,06-Mar-2018,"200,000"
Jajodia (Seema),UNREPORTED,Direct,22-Feb-2019,"1,750,000"
Jindal (Parth),Promoter,Direct,11-Sep-2018,"50,000"
Bhuwalka (Aiyush),Promoter,Direct,25-Jan-2018,"4,000"
Acharya (Jayant),Director (Executive),Direct,22-Sep-2017,"15,000"
Rao (Seshagiri M V S),Joint Managing director,Direct,07-Sep-2017,"349,052"
