,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,196.75,198.75,195.31,196.49,193.34,"21,49,192"
08-Apr-2010,197.00,199.25,195.00,196.52,193.37,"42,22,528"
07-Apr-2010,195.75,199.19,194.59,196.91,193.76,"84,31,688"
06-Apr-2010,192.50,197.41,192.15,195.49,192.35,"59,61,100"
05-Apr-2010,187.75,192.51,186.41,191.59,188.51,"41,77,568"
01-Apr-2010,188.00,188.68,185.79,186.71,183.72,"13,77,340"
31-Mar-2010,187.50,188.98,186.25,187.04,184.04,"20,91,452"
30-Mar-2010,188.50,191.50,186.57,187.11,184.11,"24,13,876"
29-Mar-2010,187.96,191.06,187.50,188.59,185.56,"28,01,068"
26-Mar-2010,186.25,189.30,185.57,187.96,184.95,"31,18,228"
25-Mar-2010,182.00,185.45,180.50,184.91,181.95,"43,79,724"
23-Mar-2010,186.98,188.10,181.32,182.46,179.54,"26,54,072"
22-Mar-2010,182.75,187.93,182.57,185.95,182.97,"36,74,564"
19-Mar-2010,189.77,189.77,185.68,186.73,183.73,"25,56,328"
18-Mar-2010,190.80,191.25,187.32,188.61,185.59,"35,38,940"
17-Mar-2010,190.50,194.00,190.00,190.64,187.58,"34,06,556"
16-Mar-2010,190.50,191.74,187.30,189.29,186.25,"29,07,920"
15-Mar-2010,195.68,195.82,189.00,189.84,186.79,"22,96,812"
12-Mar-2010,195.25,197.50,193.26,194.02,190.91,"16,09,284"
11-Mar-2010,197.48,198.00,193.77,194.69,191.57,"15,55,036"
10-Mar-2010,197.50,199.52,195.63,198.43,195.24,"14,35,832"
09-Mar-2010,203.57,203.57,196.81,198.38,195.19,"12,77,324"
08-Mar-2010,201.25,205.00,201.25,203.13,199.87,"31,79,896"
05-Mar-2010,195.00,201.25,193.80,200.46,197.25,"47,34,320"
04-Mar-2010,190.50,194.50,189.09,193.80,190.69,"25,38,992"
03-Mar-2010,188.75,191.73,187.15,189.77,186.73,"17,68,200"
02-Mar-2010,187.77,188.95,185.34,187.31,184.31,"16,24,384"
26-Feb-2010,184.48,189.60,181.55,186.06,183.08,"29,02,088"
25-Feb-2010,202.52,202.52,178.48,182.49,179.56,"50,61,472"
