,Most-recent transaction,Date,Shares owned as of transaction date
Agarwal (Narendra),Sale,25-Jun-2020,"16,000"
Bambardekar (Devendra),Sale,29-Jun-2020,"16,539"
Desai (Janak Dinkarrai),Sale,23-Jun-2020,"1,133,368"
Diwanji (Virat),Sale,23-Jun-2020,"166,829"
Gupta (Dipak),Sale,23-Jun-2020,"1,136,556"
Isaac (Jaise),Sale,30-Jun-2020,"1,325"
Shah (Gaurang),Sale,25-Jun-2020,"824,881"
Shanbhag (Sudhakar),Sale,24-Jun-2020,"172,026"
Trivedi (Piyush B),Sale,30-Jun-2020,"50,100"
Welekar (Avinash Balramji),Sale,24-Jun-2020,173
