Insider,Insider Type,Type,Date,Shares
Bambardekar (Devendra),UNREPORTED,Direct,29-Jun-2020,"1,616"
Agarwal (Narendra),UNREPORTED,Direct,02-Jun-2020,"2,000"
Shah (Gaurang),UNREPORTED,Direct,14-May-2020,"16,317"
Shanbhag (Sudhakar),UNREPORTED,Direct,24-Jun-2020,"1,000"
Welekar (Avinash Balramji),UNREPORTED,Direct,30-Mar-2020,"1,947"
Gupta (Dipak),Wholetime Director,Direct,30-Mar-2020,"12,000"
Diwanji (Virat),UNREPORTED,Direct,30-Mar-2020,"20,000"
Desai (Janak Dinkarrai),Promoter,Direct,23-Jun-2020,"1,000"
Chandna (Ambuj),UNREPORTED,Direct,01-Jun-2020,"118,021"
Raichur (Mukund),UNREPORTED,Direct,14-May-2020,"2,000"
Ojha (Bhargesh),UNREPORTED,Direct,22-Jun-2020,"2,000"
Simaria (Pinakin),UNREPORTED,Direct,14-May-2020,"24,401"
Bhatt (Jaimin Mukund),President,Direct,14-May-2020,"7,500"
Mohan (Rajeev),UNREPORTED,Direct,14-May-2020,"8,468"
Sudhakar (T V),UNREPORTED,Direct,16-Jun-2020,"3,000"
Kotak (Indira Suresh),Promoter,Direct,11-Jun-2020,"150,000"
Kotak (Suresh A),Promoter,Direct,11-Jun-2020,"50,000"
Kotak Trustee Company Pvt Ltd,Promoter,Direct,11-Jun-2020,"212,278"
Manian (K V S),Wholetime Director,Direct,30-Mar-2020,"7,526"
Manchala (Pavan),UNREPORTED,Direct,30-Mar-2020,306
Khanna (Harsh),UNREPORTED,Direct,30-Mar-2020,300
Dey (Lala Debapratim),UNREPORTED,Direct,30-Mar-2020,"3,350"
Vakil (Hemal),UNREPORTED,Direct,30-Mar-2020,552
Anantharaman (R),UNREPORTED,Direct,30-Mar-2020,"1,210"
Kannan (D),UNREPORTED,Direct,30-Mar-2020,"26,736"
Narayan (S A),UNREPORTED,Direct,14-May-2020,"10,294"
Chauhan (Vinod),UNREPORTED,Direct,02-Jun-2020,"8,402"
Shah (Tejal A),UNREPORTED,Direct,14-May-2020,"3,938"
Khan (Arafat),UNREPORTED,Direct,30-Mar-2020,"1,032"
Kotak (Uday Suresh),Executive Vice Chairman,Direct,02-Jun-2020,"56,000,000"
Ahuja (Gagandeep),UNREPORTED,Direct,30-Mar-2020,"11,730"
Singh (Raghavendra),UNREPORTED,Direct,14-May-2020,"12,087"
Goswami (Saurabh),UNREPORTED,Direct,30-Mar-2020,"2,578"
Modi (Suveer),UNREPORTED,Direct,14-May-2020,"3,804"
Srinivasan (Venkattu),UNREPORTED,Direct,14-May-2020,"72,173"
Desai (Chetan P),UNREPORTED,Direct,27-May-2020,"15,353"
Kampani (Amar),UNREPORTED,Direct,14-May-2020,"8,027"
Karthikeyan (Supresh),UNREPORTED,Direct,14-May-2020,"1,203"
Kapadia (Jay),UNREPORTED,Direct,14-May-2020,"1,900"
Kapoor (Manish),UNREPORTED,Direct,30-Mar-2020,"9,376"
Kathoria (Manish),UNREPORTED,Direct,14-May-2020,"8,104"
Deshpande (Ninad),UNREPORTED,Direct,30-Mar-2020,770
Deshpande (Radhavi),UNREPORTED,Direct,30-Mar-2020,"1,000"
Banerjee (Baishakhi),UNREPORTED,Direct,14-May-2020,"18,128"
Vora (V V),UNREPORTED,Direct,14-May-2020,619
Verma (Parminder),UNREPORTED,Direct,14-May-2020,819
Tejani (Maulik),UNREPORTED,Direct,14-May-2020,670
Tilak (Manjul),UNREPORTED,Direct,14-May-2020,"1,011"
Nasare (Poornima),UNREPORTED,Direct,30-Mar-2020,"29,044"
Prasad (Y V S H V),UNREPORTED,Direct,14-May-2020,"4,400"
Nanduri (Murali Krishna),UNREPORTED,Direct,14-May-2020,"2,340"
Ramalingom (Selvanayagam),UNREPORTED,Direct,14-May-2020,"3,512"
Ramamurthy (B),UNREPORTED,Direct,30-Mar-2020,368
Jain (Gobind),UNREPORTED,Direct,14-May-2020,60
Sivakumar (B S),UNREPORTED,Direct,14-May-2020,"25,903"
Shankar (Phani),UNREPORTED,Direct,14-May-2020,"84,729"
Bhattacharjee (Abhiram),UNREPORTED,Direct,30-Mar-2020,921
Bohara (Mukush Kumar),UNREPORTED,Direct,14-May-2020,513
Chandna (Ambus),UNREPORTED,Direct,14-May-2020,"113,021"
Daga (Sunil),UNREPORTED,Direct,14-May-2020,"1,830"
Bhaskaran (V),UNREPORTED,Direct,14-May-2020,"9,219"
Kathpalia (Arvind),UNREPORTED,Direct,27-Mar-2020,"10,000"
Khambata (Farida),Director (Independent),Direct,31-Mar-2020,"5,000"
Vora (Kamlesh),UNREPORTED,Direct,31-Mar-2020,"1,635"
Kapoor (Puneet),UNREPORTED,Direct,30-Mar-2020,"2,506"
Khetan (Ashish),UNREPORTED,Direct,30-Mar-2020,"5,034"
Kaulgud (Arati),UNREPORTED,Direct,30-Mar-2020,958
Krishnan (S),UNREPORTED,Direct,30-Mar-2020,474
Kumar (Anuj),UNREPORTED,Direct,30-Mar-2020,807
Fernandes (Cedric Dominic),UNREPORTED,Direct,30-Mar-2020,"3,126"
Damania (Pritesh),UNREPORTED,Direct,30-Mar-2020,"5,810"
Nigam (Kamal),UNREPORTED,Direct,30-Mar-2020,129
Oza (Bhavyang Ramniklal),UNREPORTED,Direct,30-Mar-2020,86
Sharma (Rajeev Ratan),UNREPORTED,Direct,30-Mar-2020,"1,900"
Shah (Tapan),UNREPORTED,Direct,30-Mar-2020,"4,284"
Rao (Aruna K),UNREPORTED,Direct,30-Mar-2020,"17,300"
Rao (Pralad),UNREPORTED,Direct,30-Mar-2020,921
Sharma (Vivek),UNREPORTED,Direct,30-Mar-2020,200
Dasgupta (Partha Sarathi),UNREPORTED,Direct,27-Mar-2020,"2,291"
Nagarajan (Arun),UNREPORTED,Direct,27-Mar-2020,"2,000"
Verma (Vipin),UNREPORTED,Direct,27-Mar-2020,"15,000"
