,value1,value2,value3,value4
Earnings estimate,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
No. of analysts,4,0,3,36
Avg. Estimate,414.29B,N/A,901.79B,1.36T
Low estimate,393.24B,N/A,720.33B,1.31T
High estimate,427.2B,N/A,1.24T,1.47T
Year ago EPS,4.25,11.03,32.49,49.9
Revenue estimate,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Year ago sales,238.45B,N/A,663.01B,901.79B
Sales growth (year/est),73.70%,N/A,36.00%,51.20%
Earnings history,30/6/2016,30/9/2016,31/12/2016,31/12/2017
Est. EPS,5.6,8.84,12.81,8.1
Actual EPS,4.25,11.03,10.4,8.27
Difference,-1.35,2.19,-2.41,0.17
Surprise %,-24.10%,24.80%,-18.80%,2.10%
EPS trend,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Current estimate,21.37,6.71,49.9,57.83
7 days ago,21.37,6.71,41.67,49.2
30 days ago,20.99,6.71,49.39,56.93
60 days ago,20.87,6.71,42.02,49.32
90 days ago,20.87,6.71,42.02,49.32
EPS revisions,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Up last 7 days,N/A,N/A,N/A,1
Up last 30 days,2,N/A,5,8
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,1,N/A,N/A,N/A
Growth estimates,LT.NS,Industry,Sector,S&P 500
Current qtr.,402.80%,N/A,N/A,N/A
Next qtr.,-39.20%,N/A,N/A,N/A
Current year,53.60%,N/A,N/A,N/A
Next year,15.90%,N/A,N/A,N/A
Next 5 years (per annum),17.32%,N/A,N/A,N/A
Past 5 years (per annum),18.73%,N/A,N/A,N/A
