,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"1,48,42,82,800","1,39,13,80,800","1,17,90,81,200","1,07,63,59,400"
Cost of revenue,"90,86,33,100","87,74,72,900","73,84,93,300","68,10,13,500"
Gross profit,"57,56,49,700","51,39,07,900","44,05,87,900","39,53,45,900"
Selling general and administrative,"4,78,49,900","3,61,61,400","3,26,28,000","2,94,43,200"
Total operating expenses,"41,63,84,300","36,35,79,000","31,90,33,400","30,45,62,800"
Operating income or loss,"15,92,65,400","15,03,28,900","12,15,54,500","9,07,83,100"
Interest expense,"2,44,18,200","1,75,61,400","1,51,10,800","1,27,16,300"
Income before tax,"14,97,48,800","14,58,09,200","11,63,91,600","8,88,73,600"
Income tax expense,"3,80,75,300","4,34,33,400","3,19,88,700","2,00,65,900"
Income from continuing operations,"10,98,64,200","10,23,75,800","8,44,02,900","6,88,07,700"
Net income,"9,77,02,000","8,90,51,300","7,36,98,600","6,04,12,300"
Net income available to common shareholders,"9,77,02,000","8,90,51,300","7,36,98,600","6,04,12,300"
Basic EPS,-,63.51,52.62,43.20
Diluted EPS,-,63.40,52.49,43.05
Basic average shares,-,"14,02,087","14,00,614","13,98,524"
Diluted average shares,-,"14,04,545","14,04,183","14,03,264"
EBITDA,-,"18,42,10,600","15,07,89,700","12,52,89,200"
