,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,723.11,733.33,718.33,729.22,589.44,"29,30,470"
08-Apr-2010,730.98,732.36,718.53,722.62,584.10,"20,82,294"
07-Apr-2010,735.56,737.33,729.47,731.56,591.32,"36,12,735"
06-Apr-2010,733.33,738.60,727.56,734.24,593.49,"35,18,422"
05-Apr-2010,736.56,737.33,728.02,731.71,591.45,"17,98,538"
01-Apr-2010,729.82,736.22,725.36,733.64,593.01,"15,65,478"
31-Mar-2010,728.44,731.11,718.33,724.82,585.88,"31,10,625"
30-Mar-2010,742.22,742.22,722.91,727.69,588.20,"15,00,988"
29-Mar-2010,728.36,742.22,722.27,739.53,597.77,"28,84,736"
26-Mar-2010,728.44,733.18,723.44,725.73,586.61,"19,78,742"
25-Mar-2010,717.33,734.13,711.11,729.58,589.72,"37,21,788"
23-Mar-2010,720.00,722.67,712.27,717.84,580.24,"17,28,180"
22-Mar-2010,715.56,721.36,705.13,717.49,579.95,"20,33,208"
19-Mar-2010,718.27,724.40,713.58,720.58,582.45,"22,63,831"
18-Mar-2010,721.78,726.67,711.56,718.13,580.47,"23,14,123"
17-Mar-2010,711.71,724.84,707.40,723.09,584.48,"36,15,536"
16-Mar-2010,691.11,715.80,689.87,710.76,574.51,"21,71,043"
15-Mar-2010,695.11,701.98,685.78,690.58,558.20,"29,18,470"
12-Mar-2010,700.11,704.33,691.87,695.44,562.13,"32,76,097"
11-Mar-2010,701.56,704.40,693.58,698.93,564.95,"19,44,045"
10-Mar-2010,706.22,711.11,696.13,700.51,566.23,"17,06,317"
09-Mar-2010,713.78,717.89,703.40,706.18,570.81,"23,92,031"
08-Mar-2010,713.33,717.64,706.22,712.53,575.95,"28,74,874"
05-Mar-2010,708.00,717.73,703.27,705.56,570.31,"24,43,961"
04-Mar-2010,699.91,707.71,694.40,706.24,570.86,"18,20,174"
03-Mar-2010,702.33,706.67,696.22,701.40,566.95,"18,71,334"
02-Mar-2010,723.87,723.87,698.22,704.62,569.55,"24,01,391"
26-Feb-2010,682.22,703.56,679.56,695.24,561.97,"42,10,276"
25-Feb-2010,671.11,685.78,668.24,682.49,551.66,"54,60,808"
24-Feb-2010,660.00,673.78,653.78,667.18,539.28,"39,90,600"
23-Feb-2010,660.00,664.38,651.36,662.04,535.13,"21,09,416"
22-Feb-2010,662.22,667.51,656.76,662.91,535.84,"15,23,518"
19-Feb-2010,653.24,664.00,641.47,657.09,531.13,"21,28,084"
18-Feb-2010,659.36,659.36,650.22,656.11,530.34,"15,57,194"
17-Feb-2010,649.00,659.56,648.40,655.24,529.64,"19,94,555"
16-Feb-2010,628.62,650.22,626.67,642.53,519.36,"19,71,358"
15-Feb-2010,648.00,648.31,632.89,636.91,514.82,"16,60,460"
11-Feb-2010,640.44,648.89,640.44,643.60,520.23,"11,73,274"
10-Feb-2010,653.78,656.44,636.00,638.31,515.95,"25,48,539"
09-Feb-2010,644.00,651.04,637.00,649.71,525.17,"36,34,060"
08-Feb-2010,640.00,649.78,628.22,641.98,518.92,"35,17,268"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,628.89,641.16,617.73,632.89,511.57,"49,64,972"
04-Feb-2010,640.00,647.51,633.60,642.13,519.04,"36,39,274"
03-Feb-2010,622.82,647.56,617.78,644.51,520.96,"60,31,123"
02-Feb-2010,635.56,639.11,617.78,620.62,501.65,"53,51,231"
01-Feb-2010,642.09,642.09,625.78,629.89,509.14,"59,86,400"
29-Jan-2010,633.33,645.11,622.67,632.82,511.51,"80,75,187"
28-Jan-2010,653.33,660.71,626.67,636.22,514.26,"93,22,481"
27-Jan-2010,656.84,661.78,639.11,648.02,523.80,"52,95,823"
25-Jan-2010,654.67,666.22,647.11,662.42,535.44,"39,83,746"
22-Jan-2010,677.40,677.40,638.38,654.09,528.70,"1,29,68,561"
21-Jan-2010,726.58,728.00,674.76,677.38,547.53,"1,11,37,291"
20-Jan-2010,733.78,734.18,724.67,727.09,587.71,"22,81,223"
19-Jan-2010,737.78,740.80,726.91,730.00,590.06,"23,03,975"
18-Jan-2010,735.47,743.56,728.89,735.44,594.46,"15,98,542"
15-Jan-2010,744.02,744.02,731.11,733.87,593.19,"32,26,792"
14-Jan-2010,746.76,746.76,734.67,741.51,599.37,"39,08,340"
13-Jan-2010,742.22,750.67,738.53,743.64,601.09,"18,22,802"
12-Jan-2010,747.56,754.18,739.11,746.33,603.27,"31,21,052"
11-Jan-2010,751.56,755.56,743.64,745.47,602.57,"22,35,555"
08-Jan-2010,742.44,754.16,742.44,745.84,602.87,"29,40,980"
07-Jan-2010,743.98,750.44,737.80,741.16,599.08,"20,33,021"
06-Jan-2010,736.82,758.62,736.82,744.73,601.97,"30,76,209"
05-Jan-2010,757.78,760.18,748.51,753.07,608.71,"26,83,989"
04-Jan-2010,748.00,754.16,748.00,751.73,607.63,"10,60,024"
19-Jul-2010,829.20,843.96,825.04,841.91,680.52,"23,49,241"
16-Jul-2010,833.33,837.78,827.38,831.38,672.01,"24,88,568"
15-Jul-2010,841.78,843.47,830.36,832.82,673.18,"26,94,049"
14-Jul-2010,815.62,842.62,815.62,837.27,676.77,"45,15,872"
13-Jul-2010,813.33,821.29,808.00,817.27,660.60,"26,88,163"
12-Jul-2010,804.44,816.42,802.22,811.62,656.04,"23,96,167"
09-Jul-2010,813.33,816.93,808.00,809.84,654.60,"14,04,482"
08-Jul-2010,800.00,812.89,799.96,808.84,653.79,"23,38,247"
07-Jul-2010,801.33,802.09,791.11,794.16,641.92,"12,53,084"
06-Jul-2010,796.89,802.33,794.22,799.87,646.54,"11,42,780"
05-Jul-2010,793.78,802.84,791.18,795.93,643.36,"9,55,364"
02-Jul-2010,799.20,805.33,791.11,793.78,641.62,"10,35,810"
01-Jul-2010,799.82,802.64,793.78,797.40,644.54,"13,86,580"
30-Jun-2010,791.11,807.56,789.42,803.98,649.86,"27,08,744"
29-Jun-2010,795.40,802.98,791.11,798.58,645.50,"31,50,002"
28-Jun-2010,781.78,798.47,781.16,796.84,644.09,"16,76,344"
25-Jun-2010,795.56,797.76,778.82,781.82,631.95,"17,29,573"
24-Jun-2010,790.22,799.00,784.69,796.29,643.65,"37,53,819"
23-Jun-2010,810.67,811.18,780.91,784.47,634.09,"56,30,807"
22-Jun-2010,814.22,817.78,802.82,811.18,655.68,"32,65,074"
21-Jun-2010,802.47,819.11,800.56,816.16,659.70,"30,11,031"
18-Jun-2010,791.11,807.78,791.11,799.33,646.11,"55,89,558"
17-Jun-2010,764.44,792.00,760.44,789.78,638.38,"62,39,174"
16-Jun-2010,773.33,773.33,760.02,764.98,618.34,"19,83,834"
15-Jun-2010,766.07,768.22,755.56,766.42,619.50,"31,01,677"
14-Jun-2010,747.56,759.91,746.18,757.29,612.12,"30,02,206"
11-Jun-2010,747.56,748.89,742.67,745.36,602.48,"22,69,413"
10-Jun-2010,732.09,744.44,732.00,743.29,600.81,"30,62,198"
09-Jun-2010,727.11,733.33,718.00,730.11,590.15,"22,43,997"
08-Jun-2010,731.11,734.89,719.56,723.29,584.64,"20,37,292"
07-Jun-2010,728.89,735.56,721.69,728.98,589.24,"12,30,928"
04-Jun-2010,744.89,744.89,730.76,743.11,600.66,"15,38,854"
03-Jun-2010,725.13,742.22,725.13,740.78,598.78,"28,46,650"
02-Jun-2010,713.33,728.00,704.44,725.13,586.13,"26,64,166"
01-Jun-2010,723.51,723.51,706.58,708.27,572.50,"18,10,874"
31-May-2010,722.67,728.84,720.00,725.04,586.06,"19,19,480"
28-May-2010,726.67,731.11,718.38,722.91,584.33,"19,34,824"
27-May-2010,715.56,728.33,713.33,723.93,585.16,"36,73,960"
26-May-2010,702.22,720.00,698.36,714.56,577.58,"24,81,957"
25-May-2010,723.56,723.56,691.22,692.67,559.89,"41,79,827"
24-May-2010,724.44,732.89,718.36,725.07,586.08,"27,27,688"
21-May-2010,724.44,724.44,707.78,714.91,577.87,"30,20,890"
20-May-2010,726.67,740.00,718.67,729.82,589.92,"44,16,095"
19-May-2010,733.33,743.49,717.78,726.04,586.87,"82,34,842"
18-May-2010,717.78,748.76,717.78,738.24,596.73,"1,05,50,374"
17-May-2010,677.80,719.89,655.60,714.18,577.27,"80,69,409"
14-May-2010,693.87,704.44,676.00,679.71,549.42,"17,18,944"
13-May-2010,697.78,703.11,689.49,698.22,564.38,"16,18,011"
12-May-2010,691.11,697.33,686.22,695.07,561.83,"21,77,352"
11-May-2010,686.78,693.29,682.71,686.33,554.77,"19,15,304"
10-May-2010,686.22,734.91,676.00,687.47,555.68,"27,72,567"
07-May-2010,673.33,681.78,659.56,674.38,545.10,"31,54,284"
06-May-2010,680.58,684.00,667.56,678.62,548.53,"28,16,107"
05-May-2010,684.44,685.98,673.29,683.93,552.83,"22,11,422"
04-May-2010,708.44,715.56,681.51,688.60,556.60,"26,54,397"
03-May-2010,712.44,712.89,700.40,707.51,571.89,"12,67,000"
30-Apr-2010,715.56,722.22,712.00,717.80,580.20,"14,67,288"
29-Apr-2010,707.56,717.78,704.44,710.91,574.63,"23,17,718"
28-Apr-2010,713.33,722.22,703.33,707.84,572.16,"21,94,976"
27-Apr-2010,719.11,728.76,716.09,724.24,585.41,"17,49,150"
26-Apr-2010,722.22,727.31,716.49,720.00,581.98,"11,45,563"
23-Apr-2010,702.22,720.89,700.02,718.93,581.12,"37,12,324"
22-Apr-2010,697.33,713.78,692.51,698.80,564.84,"34,32,105"
21-Apr-2010,709.78,710.71,695.56,701.24,566.82,"20,41,605"
20-Apr-2010,700.00,712.91,696.22,706.18,570.81,"26,59,090"
19-Apr-2010,696.16,703.73,687.51,700.60,566.30,"21,27,881"
16-Apr-2010,697.78,702.67,693.33,699.56,565.46,"24,64,409"
15-Apr-2010,715.56,719.49,695.64,698.67,564.74,"34,26,606"
13-Apr-2010,714.67,717.20,707.27,710.33,574.17,"25,10,948"
