,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"2,15,49,100","5,31,54,600","7,51,03,900","3,69,80,400"
Depreciation & amortisation,-,"3,99,07,700","3,27,99,000","2,94,15,100"
Stock-based compensation,-,"14,30,400","11,20,000","17,07,000"
Change in working capital,-,"-12,52,22,300","-6,81,33,000","-5,84,08,000"
Inventory,-,"-2,27,62,000","-25,63,200","21,25,900"
Other working capital,-,"-11,68,73,000","-5,22,39,200","-4,96,03,100"
Other non-cash items,-,"63,51,900","57,72,000","46,20,100"
Net cash provided by operating activities,-,"-4,34,72,900","68,18,600","6,58,400"
"Investments in property, plant and equipment",-,"-7,34,00,100","-5,90,57,800","-5,02,61,500"
"Acquisitions, net",-,"-31,93,800","-1,10,47,500","-89,92,400"
Purchases of investments,-,"-1,99,22,53,400","-1,57,33,92,000","-1,32,17,27,400"
Sales/maturities of investments,-,"1,98,14,81,900","1,56,56,37,500","1,31,60,41,900"
Other investing activities,-,"-6,99,900","-4,31,000","-75,300"
Net cash used for investing activities,-,"-7,16,81,700","-5,46,79,300","-5,68,40,400"
Net change in cash,-,"1,67,81,700","1,52,84,300","27,35,100"
Cash at beginning of period,-,"4,46,66,300","2,93,74,900","2,52,17,200"
Cash at end of period,-,"6,13,90,000","4,46,66,300","2,93,74,900"
Operating cash flow,-,"-4,34,72,900","68,18,600","6,58,400"
Capital expenditure,-,"-7,34,00,100","-5,90,57,800","-5,02,61,500"
Free cash flow,-,"-11,68,73,000","-5,22,39,200","-4,96,03,100"
