,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,263.50,266.25,260.90,264.48,214.26,"30,40,418"
08-Apr-2010,268.00,271.85,260.30,262.00,212.25,"42,82,900"
07-Apr-2010,269.10,270.63,262.20,264.95,214.64,"37,36,486"
06-Apr-2010,275.52,276.95,266.30,266.75,216.10,"34,61,256"
05-Apr-2010,268.50,274.95,266.85,274.40,222.30,"27,41,756"
01-Apr-2010,276.00,277.95,264.27,267.13,216.40,"56,70,058"
31-Mar-2010,278.45,279.50,266.63,270.67,219.28,"43,49,328"
30-Mar-2010,279.00,285.00,272.50,274.83,222.64,"24,99,226"
29-Mar-2010,273.10,282.50,257.50,276.80,224.24,"32,89,808"
26-Mar-2010,267.00,272.23,265.00,270.23,218.91,"36,05,436"
25-Mar-2010,262.40,267.00,259.58,264.23,214.05,"64,35,736"
23-Mar-2010,263.75,264.75,257.75,262.24,212.44,"31,39,500"
22-Mar-2010,266.25,267.25,260.75,262.14,212.36,"39,22,832"
19-Mar-2010,268.77,274.75,267.10,268.36,217.41,"44,32,196"
18-Mar-2010,280.88,280.88,269.06,272.01,220.36,"52,45,816"
17-Mar-2010,281.25,287.25,267.83,280.83,227.50,"23,28,192"
16-Mar-2010,276.00,285.00,273.50,283.56,229.72,"24,47,432"
15-Mar-2010,285.00,285.00,275.27,276.25,223.80,"26,56,692"
12-Mar-2010,281.25,288.74,281.25,285.21,231.06,"40,17,164"
11-Mar-2010,278.08,283.48,278.08,281.26,227.86,"55,73,876"
10-Mar-2010,280.00,284.91,280.00,283.15,229.39,"34,02,064"
09-Mar-2010,280.50,285.13,277.27,282.40,228.78,"53,58,980"
08-Mar-2010,271.25,283.00,271.25,280.52,227.26,"72,97,960"
05-Mar-2010,269.25,272.45,267.00,269.16,218.05,"21,53,996"
04-Mar-2010,268.50,271.15,264.27,269.38,218.23,"26,24,304"
03-Mar-2010,265.50,270.41,261.69,269.10,218.00,"37,81,732"
02-Mar-2010,254.50,266.63,254.50,264.25,214.07,"61,09,472"
26-Feb-2010,241.25,257.96,239.34,251.94,204.10,"81,42,060"
25-Feb-2010,238.30,243.20,238.13,239.27,193.84,"36,44,784"
24-Feb-2010,243.75,244.73,237.75,239.32,193.88,"37,99,488"
23-Feb-2010,247.25,248.51,243.00,245.15,198.60,"30,33,172"
22-Feb-2010,252.50,256.23,246.52,248.10,200.99,"27,41,260"
19-Feb-2010,250.25,254.25,248.29,250.43,202.87,"21,49,848"
18-Feb-2010,258.70,258.70,250.27,253.30,205.20,"18,57,412"
17-Feb-2010,256.50,260.21,255.50,257.26,208.41,"23,28,552"
16-Feb-2010,249.07,255.75,247.63,253.89,205.68,"12,99,928"
15-Feb-2010,250.00,252.44,247.50,248.91,201.65,"31,13,388"
11-Feb-2010,242.48,249.00,240.75,246.70,199.86,"29,66,324"
10-Feb-2010,250.75,251.25,237.50,239.59,194.09,"42,58,584"
09-Feb-2010,245.32,253.59,245.32,247.80,200.75,"23,70,192"
08-Feb-2010,248.75,252.50,241.80,249.95,202.49,"39,64,924"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,249.75,251.25,241.48,244.06,197.72,"37,51,776"
04-Feb-2010,263.17,263.35,251.50,254.25,205.97,"30,05,292"
03-Feb-2010,256.25,264.41,256.05,263.55,213.51,"26,30,556"
02-Feb-2010,263.75,266.38,253.75,254.95,206.54,"25,31,300"
01-Feb-2010,255.30,263.85,251.85,261.79,212.08,"33,60,188"
29-Jan-2010,255.00,258.00,246.94,254.39,206.08,"39,18,172"
28-Jan-2010,255.00,261.67,254.19,255.57,207.05,"44,91,372"
27-Jan-2010,266.20,268.50,248.75,252.73,204.74,"1,10,11,728"
25-Jan-2010,285.00,288.14,264.02,267.81,216.96,"1,08,24,500"
22-Jan-2010,281.75,285.95,274.75,283.27,229.49,"38,73,740"
21-Jan-2010,285.75,293.00,284.75,286.21,231.87,"49,82,164"
20-Jan-2010,291.25,293.73,285.06,286.36,231.99,"33,90,516"
19-Jan-2010,294.75,296.23,287.67,289.90,234.85,"24,97,004"
18-Jan-2010,288.75,297.73,287.54,295.91,239.72,"35,62,064"
15-Jan-2010,293.89,295.52,287.51,289.30,234.37,"30,66,960"
14-Jan-2010,290.00,295.50,287.77,292.91,237.29,"41,09,484"
13-Jan-2010,295.52,297.50,283.65,288.40,233.64,"45,84,900"
12-Jan-2010,285.64,299.75,285.64,298.05,241.46,"49,42,468"
11-Jan-2010,290.50,294.00,287.50,289.80,234.77,"31,67,868"
08-Jan-2010,291.25,291.50,286.64,288.98,234.10,"25,27,272"
07-Jan-2010,295.75,296.11,285.29,288.95,234.08,"33,04,396"
06-Jan-2010,289.92,296.73,288.08,294.56,238.63,"68,27,232"
05-Jan-2010,283.75,294.00,280.25,287.66,233.04,"51,97,364"
04-Jan-2010,271.38,284.50,271.38,282.46,228.83,"37,39,348"
19-Jul-2010,302.50,306.95,297.50,303.23,252.76,"31,15,018"
16-Jul-2010,307.75,311.45,300.90,301.98,251.72,"46,13,614"
15-Jul-2010,310.00,310.40,304.65,308.13,256.85,"34,74,800"
