,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,2,2,40,40
Avg. Estimate,198.53B,249.02B,902.22B,1.02T
Low estimate,194.06B,227.82B,832.96B,927.99B
High estimate,203B,270.22B,1.01T,1.14T
Year ago EPS,59.56,62.3,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,192.83B,205.94B,781.05B,902.22B
Sales growth (year/est),3.00%,20.90%,15.50%,13.00%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,66.09,69.01,75.44,67.63
Actual EPS,59.56,62.3,65.39,74.17
Difference,-6.53,-6.71,-10.05,6.54
Surprise %,-9.90%,-9.70%,-13.30%,9.70%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,66.35,87.17,295.65,340.04
30 days ago,66.35,87.17,295.65,340.04
60 days ago,66.35,87.17,295.65,340.04
90 days ago,66.35,87.17,295.65,340.04
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,1,N/A,N/A
Up last 30 days,N/A,1,N/A,1
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,1,N/A,1,2
Growth estimates,MARUTI.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),12.60%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
