,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"78,31,42,000","85,45,73,000","79,18,18,000","67,66,10,000"
Cost of revenue,"60,50,29,000","64,14,37,000","58,84,96,000","51,09,00,000"
Gross profit,"17,81,13,000","21,31,36,000","20,33,22,000","16,57,10,000"
Selling general and administrative,-,"1,58,83,000","1,72,41,000","1,39,91,000"
Total operating expenses,"13,10,04,000","13,13,46,000","10,88,57,000","9,16,99,000"
Operating income or loss,"4,71,09,000","8,17,90,000","9,44,65,000","7,40,11,000"
Interest expense,"11,39,000","7,59,000","34,58,000","8,93,000"
Income before tax,"7,83,89,000","10,62,38,000","11,16,69,000","10,12,72,000"
Income tax expense,"1,65,28,000","2,97,32,000","3,28,62,000","2,61,62,000"
Income from continuing operations,"6,18,61,000","7,65,06,000","7,88,07,000","7,51,10,000"
Net income,"6,18,41,000","7,64,91,000","7,88,00,000","7,50,99,000"
Net income available to common shareholders,"6,18,41,000","7,64,91,000","7,88,00,000","7,50,99,000"
Basic EPS,-,253.21,255.62,248.64
Diluted EPS,-,253.21,255.62,248.64
Basic average shares,-,"3,02,080","3,02,080","3,02,080"
Diluted average shares,-,"3,02,080","3,02,080","3,02,080"
EBITDA,-,"13,72,05,000","14,27,25,000","12,82,04,000"
