,31/12/2019,31/12/2018,31/12/2017,31/12/2016
Cash and cash equivalents,"2,30,06,100","3,52,39,000","2,84,12,800","2,14,43,600"
Other short-term investments,"12,300","9,300","16,500",-
Total cash,"2,30,18,400","3,52,48,300","2,84,29,300","2,14,43,600"
Net receivables,"12,43,300","12,45,900","8,89,700","9,79,300"
Inventory,"1,28,30,700","96,55,500","90,24,700","94,31,800"
Other current assets,-,"31,000","5,800",-
Total current assets,"3,81,71,700","4,73,69,500","3,93,73,900","3,27,89,900"
"Gross property, plant and equipment","3,75,24,900","3,59,06,200","3,45,25,900","5,38,92,700"
Accumulated depreciation,"-1,38,24,800","-1,08,48,000","-74,22,500","-2,47,16,400"
"Net property, plant and equipment","2,37,00,100","2,50,58,200","2,71,03,400","2,91,76,300"
Other long-term assets,"6,25,000","6,89,500","8,03,600",-
Total non-current assets,"3,24,10,300","3,35,11,300","3,42,52,000","3,52,69,800"
Total assets,"7,05,82,000","8,08,80,800","7,36,25,900","6,80,59,700"
Current debt,900,-,"9,400","11,500"
Accounts payable,"1,49,46,900","1,24,03,700","98,46,400","48,800"
Other current liabilities,"4,18,300","4,84,400","5,20,100","4,58,800"
Total current liabilities,"2,14,75,100","1,85,49,500","1,49,27,100","1,63,27,000"
Long-term debt,"5,31,400","3,51,400","3,51,400","3,31,500"
Deferred tax liabilities,"1,79,500","5,88,200","12,19,600","15,42,100"
Other long-term liabilities,"4,300","5,100","6,000",-
Total non-current liabilities,"2,97,84,300","2,55,93,900","2,44,92,900","2,15,95,700"
Total liabilities,"5,12,59,400","4,41,43,400","3,94,20,000","3,79,22,700"
Common stock,"9,64,200","9,64,200","9,64,200","9,64,200"
Retained earnings,"1,03,07,600","2,76,88,100","2,50,54,500",-
Total stockholders' equity,"1,93,22,600","3,67,37,400","3,42,05,900","3,01,37,000"
Total liabilities and stockholders' equity,"7,05,82,000","8,08,80,800","7,36,25,900","6,80,59,700"
