,ttm,31/12/2019,31/12/2018,31/12/2017,31/12/2016
Total revenue,"12,61,86,600","12,29,52,700","11,21,62,300","9,95,25,300","9,15,92,800"
Cost of revenue,"5,52,04,300","5,31,24,700","4,68,05,400","4,41,47,100","3,96,27,500"
Gross profit,"7,09,82,300","6,98,28,000","6,53,56,900","5,53,78,200","5,19,65,300"
Research development,-,"4,59,700","5,16,000","4,95,200","4,47,000"
Selling general and administrative,-,"1,34,34,800","1,26,04,800","98,93,600","1,02,73,000"
Total operating expenses,"4,47,30,800","4,39,69,600","4,20,28,800","3,74,10,600","3,85,60,000"
Operating income or loss,"2,62,51,500","2,58,58,400","2,33,28,100","1,79,67,600","1,34,05,300"
Interest expense,"12,68,900","11,98,300","11,19,500","9,19,000","35,100"
Income before tax,"2,67,82,300","2,67,49,900","2,42,89,500","1,83,93,000","1,44,15,400"
Income tax expense,"64,59,900","70,54,400","82,20,200","61,41,100","51,50,000"
Income from continuing operations,"2,03,22,400","1,96,95,500","1,60,69,300","1,22,51,900","92,65,400"
Net income,"2,03,22,400","1,96,95,500","1,60,69,300","1,22,51,900","92,65,400"
Net income available to common shareholders,"2,03,22,400","1,96,95,500","1,60,69,300","1,22,51,900","92,65,400"
Basic EPS,-,204.28,166.67,127.07,96.10
Diluted EPS,-,204.28,166.67,127.07,96.10
Basic average shares,-,"96,416","96,416","96,416","96,416"
Diluted average shares,-,"96,416","96,416","96,416","96,416"
EBITDA,-,"3,11,11,800","2,87,65,700","2,27,34,500","1,79,86,700"
