,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,"2,695.30","2,724.80","2,691.00","2,700.95","2,337.85","3,248"
08-Apr-2010,"2,716.00","2,750.00","2,675.05","2,718.55","2,353.08","1,08,603"
07-Apr-2010,"2,750.00","2,770.00","2,712.20","2,751.15","2,381.30","3,657"
06-Apr-2010,"2,715.10","2,831.00","2,705.00","2,760.15","2,389.09","32,846"
05-Apr-2010,"2,750.00","2,750.00","2,699.10","2,719.10","2,353.56","13,077"
01-Apr-2010,"2,665.65","2,735.00","2,635.00","2,709.50","2,345.25","20,334"
31-Mar-2010,"2,750.00","2,751.00","2,600.00","2,670.60","2,311.58","16,964"
30-Mar-2010,"2,711.00","2,730.00","2,643.10","2,670.65","2,311.62","9,235"
29-Mar-2010,"2,670.00","2,800.00","2,643.00","2,712.90","2,348.19","7,730"
26-Mar-2010,"2,632.10","2,719.95","2,632.10","2,687.40","2,326.12","22,900"
25-Mar-2010,"2,660.00","2,665.00","2,610.00","2,648.35","2,292.32","8,068"
23-Mar-2010,"2,641.20","2,661.00","2,635.00","2,653.85","2,297.08","2,990"
22-Mar-2010,"2,650.00","2,659.80","2,611.50","2,634.70","2,280.51","21,885"
19-Mar-2010,"2,689.75","2,689.75","2,621.00","2,646.35","2,290.59","11,167"
18-Mar-2010,"2,698.00","2,698.00","2,658.05","2,668.05","2,309.37","6,485"
17-Mar-2010,"2,690.00","2,690.00","2,655.00","2,678.55","2,318.46","2,149"
16-Mar-2010,"2,735.60","2,736.00","2,660.00","2,672.35","2,313.09","9,216"
15-Mar-2010,"2,731.00","2,757.00","2,704.10","2,744.80","2,375.80","2,980"
12-Mar-2010,"2,825.00","2,825.00","2,690.00","2,715.45","2,350.40","19,872"
11-Mar-2010,"2,725.00","2,740.00","2,695.00","2,732.75","2,365.37","27,712"
10-Mar-2010,"2,721.00","2,765.00","2,721.00","2,739.95","2,371.61","8,386"
09-Mar-2010,"2,700.00","2,751.00","2,700.00","2,745.20","2,376.15","4,212"
08-Mar-2010,"2,730.00","2,750.00","2,692.25","2,725.95","2,359.49","9,767"
05-Mar-2010,"2,670.00","2,719.80","2,670.00","2,701.15","2,338.02","14,392"
04-Mar-2010,"2,610.00","2,650.00","2,610.00","2,634.00","2,279.90","4,796"
03-Mar-2010,"2,630.00","2,640.00","2,604.65","2,629.15","2,275.70","2,339"
02-Mar-2010,"2,620.00","2,645.00","2,600.00","2,625.45","2,272.50","3,343"
26-Feb-2010,"2,526.10","2,650.00","2,526.10","2,626.90","2,273.75","4,239"
25-Feb-2010,"2,580.00","2,600.00","2,552.10","2,559.60","2,215.50","4,264"
