,0,1,2
23-Apr-2010,21.5, ,Dividend
03-Nov-2010,27, ,Dividend
21-Apr-2011,21.5, ,Dividend
12-Dec-2011,27, ,Dividend
21-Mar-2012,12.5, ,Dividend
01-Aug-2012,18, ,Dividend
12-Dec-2012,18, ,Dividend
25-Feb-2013,12.5, ,Dividend
01-Nov-2013,18, ,Dividend
15-May-2014,25, ,Dividend
27-Mar-2014,12.5, ,Dividend
15-Sep-2014,20, ,Dividend
19-May-2015,26.5, ,Dividend
11-Dec-2015,16, ,Dividend
18-May-2016,30.5, ,Dividend
16-May-2016,18.5, ,Dividend
13-May-2016,18.5, ,Dividend
09-Dec-2016,16, ,Dividend
19-May-2017,38, ,Dividend
02-Aug-2017,15, ,Dividend
17-May-2018,23, ,Dividend
16-May-2018,43, ,Dividend
10-Aug-2018,20, ,Dividend
12-Dec-2018,50, ,Dividend
15-May-2020,61, ,Dividend
14-May-2020,61, ,Dividend
