,Instrument,Date,Time,Open,High,Low,Close
0,NIFTY,2008-01-01 10:00:00,10:00,6114.05,6123.35,6114.05,6123.35
1,NIFTY,2008-01-01 11:00:00,11:00,6136.15,6136.4,6133.05,6133.05
2,NIFTY,2008-01-01 12:00:00,12:00,6141.6,6142.15,6141.05,6141.05
3,NIFTY,2008-01-01 13:00:00,13:00,6158.05,6159.15,6158.05,6158.3
4,NIFTY,2008-01-01 14:00:00,14:00,6156.05,6156.7,6155.2,6156.4
5,NIFTY,2008-01-01 15:00:00,15:00,6132.3,6134.0,6132.3,6132.65
6,NIFTY,2008-01-02 10:00:00,10:00,6163.8,6170.75,6163.7,6170.75
7,NIFTY,2008-01-02 11:00:00,11:00,6092.65,6093.6,6089.6,6091.05
8,NIFTY,2008-01-02 12:00:00,12:00,6088.2,6089.15,6088.2,6088.65
9,NIFTY,2008-01-02 13:00:00,13:00,6092.35,6092.55,6091.8,6091.85
10,NIFTY,2008-01-02 14:00:00,14:00,6142.4,6146.1,6142.4,6145.85
11,NIFTY,2008-01-02 15:00:00,15:00,6190.15,6191.9,6187.6,6188.25
12,NIFTY,2008-01-03 10:00:00,10:00,6177.1,6177.1,6172.3,6173.65
13,NIFTY,2008-01-03 11:00:00,11:00,6201.1,6203.55,6199.8,6202.0
14,NIFTY,2008-01-03 12:00:00,12:00,6220.25,6221.85,6220.05,6220.05
15,NIFTY,2008-01-03 13:00:00,13:00,6191.55,6193.0,6191.35,6191.95
16,NIFTY,2008-01-03 14:00:00,14:00,6192.8,6194.35,6191.75,6193.6
17,NIFTY,2008-01-03 15:00:00,15:00,6187.05,6188.45,6185.75,6185.75
18,NIFTY,2008-01-04 10:00:00,10:00,6232.35,6232.4,6228.0,6228.0
19,NIFTY,2008-01-04 11:00:00,11:00,6256.3,6258.15,6255.8,6258.05
20,NIFTY,2008-01-04 12:00:00,12:00,6251.9,6254.05,6251.9,6253.45
21,NIFTY,2008-01-04 13:00:00,13:00,6269.35,6270.75,6269.25,6270.45
22,NIFTY,2008-01-04 14:00:00,14:00,6275.25,6276.95,6275.25,6276.85
23,NIFTY,2008-01-04 15:00:00,15:00,6285.8,6289.65,6285.8,6289.65
24,NIFTY,2008-01-07 10:00:00,10:00,6220.3,6221.65,6220.1,6220.15
25,NIFTY,2008-01-07 11:00:00,11:00,6249.6,6253.35,6249.6,6253.35
26,NIFTY,2008-01-07 12:00:00,12:00,6273.7,6273.7,6272.85,6273.45
27,NIFTY,2008-01-07 13:00:00,13:00,6245.2,6245.9,6245.2,6245.5
28,NIFTY,2008-01-07 14:00:00,14:00,6267.7,6272.15,6267.7,6272.15
29,NIFTY,2008-01-07 15:00:00,15:00,6282.45,6282.5,6278.05,6278.7
30,NIFTY,2008-01-08 10:00:00,10:00,6342.45,6344.35,6342.05,6344.2
31,NIFTY,2008-01-08 11:00:00,11:00,6296.3,6296.3,6290.8,6290.8
32,NIFTY,2008-01-08 12:00:00,12:00,6300.6,6302.45,6300.25,6301.75
33,NIFTY,2008-01-08 13:00:00,13:00,6319.55,6321.2,6319.55,6320.95
34,NIFTY,2008-01-08 14:00:00,14:00,6249.25,6253.4,6249.25,6251.7
35,NIFTY,2008-01-08 15:00:00,15:00,6276.75,6276.85,6275.05,6275.1
36,NIFTY,2008-01-10 10:00:00,10:00,6305.9,6307.35,6303.0,6303.0
37,NIFTY,2008-01-10 11:00:00,11:00,6330.3,6332.35,6330.1,6332.1
38,NIFTY,2008-01-10 12:00:00,12:00,6306.4,6308.95,6306.25,6308.95
39,NIFTY,2008-01-10 13:00:00,13:00,6301.05,6303.85,6301.05,6303.65
40,NIFTY,2008-01-10 14:00:00,14:00,6267.35,6267.35,6259.4,6259.4
41,NIFTY,2008-01-10 15:00:00,15:00,6183.9,6189.9,6183.9,6189.9
42,NIFTY,2008-01-11 10:00:00,10:00,6171.3,6171.3,6156.7,6156.7
43,NIFTY,2008-01-11 11:00:00,11:00,6188.7,6188.7,6186.45,6186.45
44,NIFTY,2008-01-11 12:00:00,12:00,6205.55,6205.75,6203.4,6203.4
45,NIFTY,2008-01-11 13:00:00,13:00,6127.4,6127.4,6125.55,6126.5
46,NIFTY,2008-01-11 14:00:00,14:00,6156.2,6161.65,6156.2,6161.65
47,NIFTY,2008-01-11 15:00:00,15:00,6167.7,6172.4,6167.7,6172.4
48,NIFTY,2008-01-14 10:00:00,10:00,6218.95,6231.35,6218.95,6231.35
49,NIFTY,2008-01-14 11:00:00,11:00,6215.6,6215.65,6212.6,6213.4
50,NIFTY,2008-01-14 12:00:00,12:00,6207.75,6207.75,6206.2,6206.7
51,NIFTY,2008-01-14 13:00:00,13:00,6204.0,6206.4,6204.0,6206.4
52,NIFTY,2008-01-14 14:00:00,14:00,6184.5,6184.65,6183.25,6183.25
53,NIFTY,2008-01-14 15:00:00,15:00,6222.3,6223.9,6221.35,6222.5
54,NIFTY,2008-01-15 10:00:00,10:00,6229.75,6230.55,6223.4,6224.25
55,NIFTY,2008-01-15 11:00:00,11:00,6165.35,6166.35,6163.65,6164.35
56,NIFTY,2008-01-15 12:00:00,12:00,6142.85,6143.25,6141.05,6141.05
57,NIFTY,2008-01-15 13:00:00,13:00,6135.95,6135.95,6133.9,6134.45
58,NIFTY,2008-01-15 14:00:00,14:00,6156.25,6156.9,6156.0,6156.9
59,NIFTY,2008-01-15 15:00:00,15:00,6105.45,6108.65,6103.65,6108.65
60,NIFTY,2008-01-16 10:00:00,10:00,5976.05,5977.7,5972.85,5972.85
61,NIFTY,2008-01-16 11:00:00,11:00,5960.95,5963.05,5960.95,5961.7
62,NIFTY,2008-01-16 12:00:00,12:00,5932.75,5933.3,5931.95,5932.75
63,NIFTY,2008-01-16 13:00:00,13:00,5920.25,5922.5,5920.25,5922.5
64,NIFTY,2008-01-16 14:00:00,14:00,5887.7,5888.65,5887.3,5887.5
65,NIFTY,2008-01-16 15:00:00,15:00,5924.85,5926.55,5921.1,5923.05
66,NIFTY,2008-01-17 10:00:00,10:00,5934.8,5943.0,5934.8,5941.8
67,NIFTY,2008-01-17 11:00:00,11:00,5882.15,5889.3,5882.15,5889.3
68,NIFTY,2008-01-17 12:00:00,12:00,5957.85,5959.0,5957.8,5958.05
69,NIFTY,2008-01-17 13:00:00,13:00,5965.45,5965.45,5960.45,5960.45
70,NIFTY,2008-01-17 14:00:00,14:00,6002.9,6003.0,6000.4,6002.25
71,NIFTY,2008-01-17 15:00:00,15:00,5939.3,5943.3,5939.3,5943.25
72,NIFTY,2008-01-18 10:00:00,10:00,5874.3,5874.3,5858.9,5858.9
73,NIFTY,2008-01-18 11:00:00,11:00,5866.5,5866.5,5864.85,5864.95
74,NIFTY,2008-01-18 12:00:00,12:00,5862.4,5864.7,5862.4,5863.5
75,NIFTY,2008-01-18 13:00:00,13:00,5872.6,5875.3,5872.6,5873.9
76,NIFTY,2008-01-18 14:00:00,14:00,5852.0,5852.0,5845.1,5845.5
77,NIFTY,2008-01-18 15:00:00,15:00,5748.05,5748.05,5742.9,5742.9
78,NIFTY,2008-01-21 10:00:00,10:00,5561.3,5581.85,5561.3,5579.65
79,NIFTY,2008-01-21 11:00:00,11:00,5548.2,5553.2,5548.15,5553.2
80,NIFTY,2008-01-21 12:00:00,12:00,5555.85,5555.95,5547.35,5547.35
