,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"4,10,58,730","2,51,20,880","1,11,28,170"
Other short-term investments,"10,29,03,020","9,40,68,710","7,32,64,410"
Total cash,"14,39,61,750","11,91,89,590","8,43,92,580"
Net receivables,"15,39,60,970","13,89,91,670","10,32,96,230"
Inventory,"35,18,06,570","30,56,30,440","11,36,40,820"
Other current assets,"46,72,090",-,-
Total current assets,"90,07,58,260","73,03,68,520","48,47,09,330"
"Gross property, plant and equipment","3,65,65,08,320","3,24,89,58,200","2,44,25,64,900"
Accumulated depreciation,"-1,17,65,37,150","-92,29,26,520","-64,84,39,380"
"Net property, plant and equipment","2,47,99,71,170","2,32,60,31,680","1,79,41,25,520"
Goodwill,"14,08,83,530","14,20,21,420","14,17,36,710"
Intangible assets,"39,83,71,840","40,75,59,640","37,74,25,180"
Other long-term assets,"63,96,280","56,38,260","53,67,880"
Total non-current assets,"4,05,62,62,240","3,87,19,80,530","3,21,73,46,910"
Total assets,"4,95,70,20,500","4,60,23,49,050","3,70,20,56,240"
Current debt,"54,49,66,850","51,13,27,960","12,24,46,500"
Accounts payable,"32,47,74,990","26,55,06,870","14,33,86,250"
Other current liabilities,"5,66,79,140","5,78,74,920","2,27,84,030"
Total current liabilities,"1,29,03,15,760","1,16,96,72,010","44,27,34,900"
Long-term debt,"52,53,79,620","53,08,72,220","43,32,43,410"
Deferred tax liabilities,"47,36,67,980","41,50,59,440","31,10,20,070"
Deferred revenues,"2,36,740",0,-
Other long-term liabilities,"1,20,38,410","1,20,26,720","84,71,830"
Total non-current liabilities,"1,30,42,35,020","1,23,64,28,030","1,00,61,83,500"
Total liabilities,"2,59,45,50,780","2,40,61,00,040","1,44,89,18,400"
Common stock,"6,29,01,540","6,41,66,320","6,41,66,320"
Retained earnings,"21,67,19,390","19,08,09,210","10,49,07,580"
Total stockholders' equity,"2,18,14,07,620","2,04,01,89,040","2,21,18,94,880"
Total liabilities and stockholders' equity,"4,95,70,20,500","4,60,23,49,050","3,70,20,56,240"
