,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"4,00,55,71,970","4,21,18,88,470","3,22,54,99,300","1,25,59,48,620"
Cost of revenue,"3,15,18,21,380","3,18,22,69,980","2,44,19,08,200","72,23,99,970"
Gross profit,"85,37,50,590","1,02,96,18,490","78,35,91,100","53,35,48,650"
Research development,-,"58,32,760","58,62,250","59,18,620"
Selling general and administrative,-,"9,11,63,570","11,69,32,080","6,02,58,940"
Total operating expenses,"41,09,33,600","47,17,12,600","43,19,32,950","27,02,16,210"
Operating income or loss,"44,28,16,990","55,79,05,890","35,16,58,150","26,33,32,440"
Interest expense,"4,43,56,350","4,02,03,150","3,35,29,960","2,41,15,480"
Income before tax,"40,93,58,100","54,76,71,400","39,20,75,020","31,04,00,760"
Income tax expense,"16,74,57,410","20,88,02,110","13,13,95,160","9,56,17,270"
Income from continuing operations,"24,19,00,690","33,88,69,290","26,06,79,860","21,47,83,490"
Net income,"21,42,70,010","30,49,49,610","22,10,59,280","20,49,78,730"
Net income available to common shareholders,"21,42,70,010","30,49,49,610","22,10,59,280","20,49,78,730"
Basic EPS,-,23.81,17.23,15.97
Diluted EPS,-,23.81,17.23,15.97
Basic average shares,-,"1,28,06,900","1,28,33,240","1,28,33,240"
Diluted average shares,-,"1,28,06,900","1,28,33,240","1,28,33,240"
EBITDA,-,"82,81,36,870","65,64,90,330","50,88,70,680"
