,value1,value2,value3,value4
Earnings estimate,Current qtr.Jun 2018),Next qtr.Sep 2018),Current year (2019),Next year (2020)
No. of analysts,4,1,24,22
Avg. Estimate,81.34B,90.8B,341.85B,378.96B
Low estimate,81.21B,90.8B,319.75B,352.28B
High estimate,81.45B,90.8B,366B,401B
Year ago EPS,3.92,4.1,15.75,19.15
Revenue estimate,Current qtr.Jun 2018),Next qtr.Sep 2018),Current year (2019),Next year (2020)
Year ago sales,71.81B,72.53B,297.52B,341.85B
Sales growth (year/est),13.30%,25.20%,14.90%,10.90%
Earnings history,30/6/2017,30/9/2017,31/12/2017,31/3/2018
Est. EPS,3.9,4.03,4.23,4.16
Actual EPS,3.92,4.1,4.09,3.83
Difference,0.02,0.07,-0.14,-0.33
Surprise %,0.50%,1.70%,-3.30%,-7.90%
EPS trend,Current qtr.Jun 2018),Next qtr.Sep 2018),Current year (2019),Next year (2020)
Current estimate,3.9,4.41,19.15,21.27
7 days ago,4.25,4.41,19.15,21.27
30 days ago,4.25,4.41,19.2,21.32
60 days ago,4.45,4.37,19.42,21.58
90 days ago,4.45,4.37,19.84,21.73
EPS revisions,Current qtr.Jun 2018),Next qtr.Sep 2018),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,N/A,N/A
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,1,N/A
Growth estimates,POWERGRID.NS,Industry,Sector,S&P 500
Current qtr.,-0.50%,N/A,N/A,N/A
Next qtr.,7.60%,N/A,N/A,N/A
Current year,21.60%,N/A,N/A,N/A
Next year,11.10%,N/A,N/A,N/A
Next 5 years (per annum),14.54%,N/A,N/A,N/A
Past 5 years (per annum),12.08%,N/A,N/A,N/A
