,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"3,64,77,300","2,18,90,200","3,35,36,300"
Other short-term investments,"1,13,79,100","63,59,000","64,17,800"
Total cash,"4,78,56,400","2,82,49,200","3,99,54,100"
Net receivables,"4,74,23,200","3,79,39,600","3,33,83,400"
Inventory,"1,24,72,500","1,04,93,500","90,69,500"
Other current assets,-,-600,-
Total current assets,"17,66,18,900","12,16,70,000","10,98,95,100"
"Gross property, plant and equipment","2,42,55,54,000","2,15,87,27,400","1,88,73,88,100"
Accumulated depreciation,"-34,10,89,400","-23,43,74,600","-14,12,93,700"
"Net property, plant and equipment","2,08,44,64,600","1,92,43,52,800","1,74,60,94,400"
Intangible assets,"1,92,41,900","1,43,15,300","1,33,27,300"
Other long-term assets,"8,08,32,700","31,48,300","10,76,000"
Total non-current assets,"2,29,69,57,000","2,02,15,96,600","1,84,65,54,900"
Total assets,"2,47,35,75,900","2,14,32,66,600","1,95,64,50,000"
Current debt,"15,04,68,500","8,79,26,400","7,73,47,400"
Accounts payable,"36,51,300","24,04,400","41,39,800"
Total current liabilities,"32,61,49,300","28,10,58,500","25,26,86,200"
Long-term debt,"1,31,32,95,100","1,22,71,03,200","1,11,25,31,700"
Deferred tax liabilities,"10,01,84,800","2,48,34,600","2,53,59,800"
Deferred revenues,"10,32,31,000","5,75,32,000","5,61,48,700"
Total non-current liabilities,"1,55,65,42,700","1,31,79,48,200","1,20,51,08,800"
Total liabilities,"1,88,26,92,000","1,59,90,06,700","1,45,77,95,000"
Common stock,"5,23,15,900","5,23,15,900","5,23,15,900"
Retained earnings,"1,79,70,500","2,48,77,700","2,74,28,500"
Total stockholders' equity,"59,08,83,900","54,42,59,900","49,86,55,000"
Total liabilities and stockholders' equity,"2,47,35,75,900","2,14,32,66,600","1,95,64,50,000"
