,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"10,80,73,600","10,03,35,200","8,19,83,100","7,45,07,300"
Depreciation & amortisation,-,"10,54,09,500","9,23,09,900","7,72,22,500"
Change in working capital,-,"-5,46,18,600","-1,61,81,400","44,95,100"
Inventory,-,"-18,23,000","-16,34,600","-19,66,100"
Other working capital,-,"93,00,100","-3,94,14,100","-2,31,01,500"
Other non-cash items,-,"11,61,94,900","6,88,50,900","5,95,00,200"
Net cash provided by operating activities,-,"23,38,06,700","22,71,01,200","21,61,42,300"
"Investments in property, plant and equipment",-,"-22,45,06,600","-26,65,15,300","-23,92,43,800"
Purchases of investments,-,-,-,"-5,64,700"
Other investing activities,-,"3,61,76,200","47,52,100","19,58,800"
Net cash used for investing activities,-,"-18,83,69,600","-25,70,14,500","-23,87,49,300"
Net change in cash,-,"2,11,29,300","-1,70,66,500","1,69,78,600"
Cash at beginning of period,-,"1,53,48,000","3,24,14,500","1,54,35,900"
Cash at end of period,-,"3,64,77,300","1,53,48,000","3,24,14,500"
Operating cash flow,-,"23,38,06,700","22,71,01,200","21,61,42,300"
Capital expenditure,-,"-22,45,06,600","-26,65,15,300","-23,92,43,800"
Free cash flow,-,"93,00,100","-3,94,14,100","-2,31,01,500"
