,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"36,91,37,600","34,84,24,800","29,94,14,900","25,70,39,100"
Cost of revenue,-,"1,14,34,400","91,01,200","83,52,100"
Gross profit,-,"33,69,90,400","29,03,13,700","24,86,87,000"
Research development,-,"1,26,700","13,300","26,300"
Selling general and administrative,-,"27,62,800","32,04,800","19,86,600"
Total operating expenses,"14,11,57,000","13,60,03,400","11,81,84,600","9,79,65,900"
Operating income or loss,"21,65,46,200","20,09,87,000","17,21,29,100","15,07,21,100"
Interest expense,"10,19,82,800","9,66,14,100","8,63,69,200","7,83,35,600"
Income before tax,"12,81,62,300","11,67,40,400","10,18,65,600","9,38,70,700"
Income tax expense,"-2,70,88,300","-88,63,500","2,19,54,800","2,00,62,700"
Income from continuing operations,"15,52,50,600","12,56,03,900","7,99,10,800","7,38,08,000"
Net income,"10,80,73,600","10,03,35,200","8,19,83,100","7,45,07,300"
Net income available to common shareholders,"10,80,73,600","10,03,35,200","8,19,83,100","7,45,07,300"
Basic EPS,-,19.18,15.67,14.24
Diluted EPS,-,19.18,15.67,14.24
Basic average shares,-,"52,31,590","52,31,590","52,31,590"
Diluted average shares,-,"52,31,590","52,31,590","52,31,590"
EBITDA,-,"31,87,64,000","28,05,44,700","24,94,28,800"
