,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"25,80,30,000","3,83,00,000","2,62,00,000","1,01,70,000"
Other short-term investments,"91,92,10,000","78,67,20,000","64,00,90,000","58,76,50,000"
Total cash,"1,17,72,40,000","82,50,20,000","66,62,90,000","59,78,20,000"
Net receivables,"19,65,60,000","30,08,90,000","17,55,50,000","8,17,70,000"
Inventory,"73,90,30,000","67,56,10,000","60,83,70,000","53,46,00,000"
Other current assets,"32,76,30,000","36,80,40,000","32,76,10,000","19,87,10,000"
Total current assets,"2,58,26,00,000","2,30,75,50,000","1,83,78,60,000","1,46,81,30,000"
"Gross property, plant and equipment","6,45,12,30,000","5,88,61,70,000","6,05,88,30,000","5,29,98,20,000"
Accumulated depreciation,"-1,50,10,70,000","-1,36,32,40,000","-1,23,63,20,000","-1,12,23,10,000"
"Net property, plant and equipment","4,95,01,60,000","4,52,29,30,000","4,82,25,10,000","4,17,75,10,000"
Goodwill,"10,25,90,000","11,99,70,000","5,81,30,000","4,89,20,000"
Intangible assets,"1,36,48,90,000","1,13,54,70,000","1,02,84,30,000","1,00,72,00,000"
Other long-term assets,"22,54,20,000","8,47,70,000","1,41,40,000","37,60,000"
Total non-current assets,"9,07,65,50,000","7,71,65,10,000","6,32,56,20,000","5,59,98,90,000"
Total assets,"11,65,91,50,000","10,02,40,60,000","8,16,34,80,000","7,06,80,20,000"
Current debt,"1,38,66,30,000","79,99,90,000","74,58,80,000","44,45,10,000"
Accounts payable,"96,79,90,000","1,08,30,90,000","1,06,86,10,000","76,59,50,000"
Other current liabilities,-,"1,37,00,000","87,00,000","73,90,000"
Total current liabilities,"4,12,91,60,000","3,17,32,20,000","3,13,85,20,000","2,35,31,70,000"
Long-term debt,"1,97,63,10,000","2,07,50,60,000","1,44,17,50,000","1,52,14,80,000"
Deferred tax liabilities,"54,12,30,000","49,92,30,000","29,61,80,000","21,19,80,000"
Other long-term liabilities,"19,30,30,000","19,38,70,000","20,21,00,000","20,13,70,000"
Total non-current liabilities,"2,91,65,10,000","2,89,69,20,000","2,05,45,10,000","2,04,85,90,000"
Total liabilities,"7,04,56,70,000","6,07,01,40,000","5,19,30,30,000","4,40,17,60,000"
Common stock,"6,33,90,000","5,92,60,000","5,92,20,000","2,95,90,000"
Retained earnings,"32,97,20,000","12,33,00,000","11,84,00,000","9,27,30,000"
Total stockholders' equity,"4,53,33,20,000","3,87,11,20,000","2,93,50,60,000","2,63,70,90,000"
Total liabilities and stockholders' equity,"11,65,91,50,000","10,02,40,60,000","8,16,34,80,000","7,06,80,20,000"
