,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Net income,"39,35,40,000","39,35,40,000","39,58,80,000","36,07,50,000","29,90,10,000"
Depreciation & amortisation,"22,20,30,000","22,20,30,000","20,93,40,000","16,70,60,000","11,64,60,000"
Change in working capital,"21,90,40,000","21,90,40,000","-25,14,90,000","18,53,80,000","15,46,30,000"
Inventory,"-6,34,20,000","-6,34,20,000","-6,72,40,000","-10,47,40,000","-6,89,90,000"
Other working capital,"21,55,70,000","21,55,70,000","-47,89,00,000","-2,49,40,000","-28,55,90,000"
Other non-cash items,"11,62,30,000","11,62,30,000","11,47,90,000","5,10,00,000","86,40,000"
Net cash provided by operating activities,"98,07,40,000","98,07,40,000","45,73,60,000","71,45,90,000","49,55,00,000"
"Investments in property, plant and equipment","-76,51,70,000","-76,51,70,000","-93,62,60,000","-73,95,30,000","-78,10,90,000"
Purchases of investments,"-11,59,27,00,000","-11,59,27,00,000","-11,26,13,30,000","-5,35,20,40,000","-6,55,08,10,000"
Sales/maturities of investments,"11,73,98,00,000","11,73,98,00,000","11,18,33,20,000","5,37,50,40,000","6,63,99,00,000"
Other investing activities,"-16,43,90,000","-16,43,90,000","1,20,000","3,30,000","-2,90,000"
Net cash used for investing activities,"-75,71,70,000","-75,71,70,000","-99,00,60,000","-68,29,00,000","-66,29,20,000"
Net change in cash,"19,81,60,000","19,81,60,000","2,63,60,000","1,16,80,000","-8,12,50,000"
Cash at beginning of period,"11,08,10,000","11,08,10,000","4,25,50,000","2,98,90,000","11,02,30,000"
Cash at end of period,"30,92,00,000","30,92,00,000","7,51,20,000","4,25,50,000","2,98,90,000"
Operating cash flow,"98,07,40,000","98,07,40,000","45,73,60,000","71,45,90,000","49,55,00,000"
Capital expenditure,"-76,51,70,000","-76,51,70,000","-93,62,60,000","-73,95,30,000","-78,10,90,000"
Free cash flow,"21,55,70,000","21,55,70,000","-47,89,00,000","-2,49,40,000","-28,55,90,000"
