,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,554.10,565.50,554.10,562.35,480.02,"76,92,518"
08-Apr-2010,566.50,568.25,550.75,553.28,472.28,"67,31,056"
07-Apr-2010,562.50,574.85,561.55,564.85,482.16,"92,43,252"
06-Apr-2010,564.00,566.50,560.10,561.60,479.38,"57,06,276"
05-Apr-2010,548.25,564.83,548.25,562.95,480.53,"91,03,524"
01-Apr-2010,539.00,549.25,538.50,546.03,466.09,"57,23,712"
31-Mar-2010,546.45,547.50,535.65,537.13,458.49,"98,96,604"
30-Mar-2010,548.00,552.85,541.50,544.08,464.42,"86,58,180"
29-Mar-2010,551.85,554.97,545.50,546.65,466.62,"92,57,520"
26-Mar-2010,548.50,555.50,547.58,550.22,469.67,"82,63,518"
25-Mar-2010,548.00,548.50,538.70,545.72,465.83,"1,05,00,146"
23-Mar-2010,538.97,546.97,538.47,545.70,465.81,"91,45,862"
22-Mar-2010,531.00,549.50,531.00,536.97,458.36,"93,57,502"
19-Mar-2010,539.40,548.25,535.08,546.03,466.09,"90,23,434"
18-Mar-2010,537.00,540.80,532.05,538.47,459.64,"69,91,182"
17-Mar-2010,537.40,541.25,532.90,534.85,456.55,"98,74,552"
16-Mar-2010,516.00,535.90,514.50,533.97,455.80,"1,55,43,070"
15-Mar-2010,511.00,515.97,506.55,514.03,438.77,"82,89,204"
12-Mar-2010,507.50,516.50,507.00,510.80,436.02,"1,02,10,012"
11-Mar-2010,505.00,510.00,503.50,508.23,433.82,"66,67,210"
10-Mar-2010,497.50,509.45,494.65,504.38,430.53,"1,13,41,006"
09-Mar-2010,503.25,505.90,494.02,495.17,422.68,"79,81,906"
08-Mar-2010,510.60,513.50,501.00,502.05,428.55,"54,59,160"
05-Mar-2010,511.00,513.00,502.55,504.90,430.98,"53,82,908"
04-Mar-2010,520.00,520.00,504.00,507.00,432.78,"95,00,474"
03-Mar-2010,494.00,514.00,494.00,512.40,437.38,"1,21,71,582"
02-Mar-2010,492.50,499.50,489.70,491.60,419.63,"83,25,272"
26-Feb-2010,484.50,497.50,483.13,489.48,417.82,"1,03,22,466"
25-Feb-2010,490.05,492.50,479.58,481.55,411.05,"86,65,160"
24-Feb-2010,485.00,492.85,483.33,489.40,417.75,"57,08,906"
23-Feb-2010,487.00,491.50,485.00,487.67,416.28,"59,32,618"
22-Feb-2010,497.65,500.00,485.00,488.98,417.39,"58,02,376"
19-Feb-2010,497.50,497.50,488.58,491.60,419.63,"81,16,776"
18-Feb-2010,515.00,519.17,497.50,498.90,425.86,"90,67,490"
17-Feb-2010,512.50,518.90,511.02,516.28,440.69,"71,45,566"
16-Feb-2010,505.05,510.50,502.50,508.88,434.38,"46,02,868"
15-Feb-2010,513.50,513.50,503.80,505.00,431.07,"61,71,114"
11-Feb-2010,494.63,509.90,494.25,507.58,433.27,"1,07,20,598"
10-Feb-2010,499.95,499.95,491.00,492.55,420.44,"83,48,428"
09-Feb-2010,496.88,499.00,491.35,496.63,423.92,"65,33,836"
08-Feb-2010,492.50,502.17,487.50,497.17,424.39,"1,18,38,292"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,487.50,503.88,487.50,490.85,418.99,"1,36,61,446"
04-Feb-2010,519.00,519.00,507.00,509.58,434.97,"54,74,386"
03-Feb-2010,515.55,524.20,515.55,516.97,441.29,"68,81,390"
02-Feb-2010,526.00,528.17,512.05,513.65,438.45,"78,85,662"
01-Feb-2010,518.75,527.50,517.78,522.70,446.18,"55,46,738"
29-Jan-2010,516.45,525.90,509.05,523.10,446.52,"1,06,67,082"
28-Jan-2010,520.00,523.22,512.50,518.58,442.66,"1,51,88,648"
27-Jan-2010,517.00,525.00,510.00,513.78,438.56,"1,13,57,606"
25-Jan-2010,524.83,527.20,518.35,521.03,444.75,"61,22,956"
22-Jan-2010,520.50,535.50,514.75,526.92,449.78,"1,82,27,024"
21-Jan-2010,537.50,538.50,525.13,527.03,449.87,"85,08,470"
20-Jan-2010,547.50,548.55,536.00,538.75,459.88,"88,37,494"
19-Jan-2010,550.00,553.03,541.33,542.50,463.08,"59,72,726"
18-Jan-2010,553.50,558.22,545.97,549.75,469.27,"64,79,050"
15-Jan-2010,562.90,569.45,552.53,555.38,474.07,"85,79,466"
14-Jan-2010,543.00,562.40,543.00,560.85,478.74,"1,12,21,436"
13-Jan-2010,544.00,546.00,534.30,544.30,464.61,"70,22,156"
12-Jan-2010,547.50,568.65,538.50,542.17,462.80,"1,49,90,718"
11-Jan-2010,567.35,574.85,525.00,540.75,461.58,"8,62,44,270"
08-Jan-2010,554.00,556.90,548.00,551.58,470.82,"69,07,852"
07-Jan-2010,544.00,557.50,539.00,553.03,472.06,"1,19,76,808"
06-Jan-2010,539.95,547.25,535.33,544.00,464.36,"1,08,31,076"
05-Jan-2010,574.95,574.95,532.70,535.35,456.97,"97,80,080"
04-Jan-2010,545.55,545.55,510.92,537.75,459.02,"3,50,40,012"
19-Jul-2010,529.05,532.95,526.90,528.03,456.92,"44,84,132"
16-Jul-2010,535.53,537.00,530.00,531.47,459.90,"40,13,710"
15-Jul-2010,535.97,540.45,534.05,536.72,464.44,"63,44,212"
14-Jul-2010,540.00,547.22,533.63,535.22,463.15,"73,01,038"
13-Jul-2010,528.63,538.88,528.63,537.15,464.81,"68,77,284"
12-Jul-2010,530.00,533.97,526.03,528.13,457.00,"57,43,662"
09-Jul-2010,531.97,533.00,526.78,528.83,457.61,"59,31,692"
08-Jul-2010,530.00,534.78,527.63,528.55,457.37,"54,75,898"
07-Jul-2010,537.00,537.40,525.50,526.78,455.83,"62,80,816"
06-Jul-2010,532.75,540.95,532.75,536.95,464.64,"42,31,080"
