,Most-recent transaction,Date,Shares owned as of transaction date
Bhandari (Umesh U),Sale,22-Jun-2020,"11,579"
Borar (Chandra Shekhar),Sale,19-Jun-2020,"53,212"
Dawda (Arunkant Giridhardas),Sale,19-Jun-2020,"82,498"
Jain (Pradeep Kumar),Sale,22-Jun-2020,"44,600"
Jayaraman (Rajaraman),Sale,30-Jun-2020,"11,300"
Jhalaria (Kishor),Sale,19-Jun-2020,"13,532"
P (Krishnadas),Sale,22-Jun-2020,"15,500"
Rajagopal (S),Sale,24-Jun-2020,"2,000"
Ramesh (S),Sale,19-Jun-2020,"2,088"
Sethi (Bharat Bhushan),Sale,23-Jun-2020,"9,600"
