,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,"2,359.40","2,360.00","2,305.00","2,311.60","2,204.44","1,516"
08-Apr-2010,"2,344.00","2,360.00","2,340.00","2,343.20","2,234.57","6,913"
07-Apr-2010,"2,360.00","2,369.95","2,340.00","2,342.75","2,234.15","2,541"
06-Apr-2010,"2,376.40","2,376.40","2,322.50","2,350.80","2,241.82","2,955"
05-Apr-2010,"2,375.00","2,400.00","2,360.10","2,367.05","2,257.32","3,045"
01-Apr-2010,"2,356.00","2,386.00","2,321.10","2,368.95","2,259.13","9,156"
31-Mar-2010,"2,310.00","2,375.00","2,262.50","2,361.85","2,252.36","1,37,656"
30-Mar-2010,"2,296.00","2,330.00","2,277.00","2,298.20","2,191.66","8,558"
29-Mar-2010,"2,290.00","2,313.95","2,275.10","2,296.00","2,189.56","7,419"
26-Mar-2010,"2,256.40","2,295.00","2,256.10","2,271.45","2,166.15","44,012"
25-Mar-2010,"2,259.00","2,309.00","2,240.00","2,269.85","2,164.63","7,017"
23-Mar-2010,"2,280.00","2,282.50","2,240.00","2,245.30","2,141.21","2,470"
22-Mar-2010,"2,305.00","2,305.00","2,221.00","2,240.30","2,136.45","3,020"
19-Mar-2010,"2,215.00","2,262.50","2,215.00","2,241.35","2,137.45","9,983"
18-Mar-2010,"2,298.00","2,298.00","2,220.00","2,226.15","2,122.95","5,326"
17-Mar-2010,"2,366.00","2,366.00","2,225.50","2,241.15","2,137.26","13,347"
16-Mar-2010,"2,320.00","2,396.90","2,310.00","2,322.35","2,214.69","14,911"
15-Mar-2010,"2,255.05","2,320.00","2,255.05","2,312.20","2,205.01","6,814"
12-Mar-2010,"2,272.00","2,298.00","2,260.10","2,279.50","2,173.83","3,753"
11-Mar-2010,"2,078.55","2,279.00","2,078.55","2,267.45","2,162.34","9,872"
10-Mar-2010,"2,200.00","2,243.95","2,190.00","2,234.95","2,131.34","2,909"
09-Mar-2010,"2,216.15","2,229.00","2,180.50","2,215.85","2,113.13","13,452"
08-Mar-2010,"2,279.95","2,279.95","2,221.00","2,230.35","2,126.96","5,822"
05-Mar-2010,"2,257.00","2,269.90","2,185.00","2,204.00","2,101.83","5,962"
04-Mar-2010,"2,244.40","2,268.20","2,111.15","2,239.30","2,135.49","6,690"
03-Mar-2010,"2,185.00","2,250.00","2,185.00","2,243.65","2,139.64","7,973"
02-Mar-2010,"2,151.00","2,192.50","2,151.00","2,179.15","2,078.13","2,562"
26-Feb-2010,"2,144.00","2,170.00","2,105.95","2,141.05","2,041.80","8,879"
25-Feb-2010,"2,150.00","2,233.95","2,100.00","2,105.95","2,008.32","14,391"
24-Feb-2010,"2,275.50","2,275.50","2,181.00","2,195.85","2,094.06","14,800"
23-Feb-2010,"2,270.00","2,290.00","2,136.00","2,221.75","2,118.76","25,713"
22-Feb-2010,"2,160.00","2,260.00","2,149.00","2,250.25","2,145.93","37,371"
19-Feb-2010,"2,070.10","2,158.00","2,050.00","2,135.60","2,036.60","5,569"
18-Feb-2010,"2,100.00","2,120.00","2,075.00","2,102.65","2,005.18","8,372"
17-Feb-2010,"2,040.00","2,116.00","2,040.00","2,096.20","1,999.03","11,051"
16-Feb-2010,"2,006.50","2,040.00","1,991.00","2,028.70","1,934.65","26,271"
15-Feb-2010,"2,005.00","2,018.00","1,990.20","1,996.80","1,904.23","2,391"
11-Feb-2010,"1,971.05","2,025.00","1,970.00","1,995.05","1,902.56","24,742"
10-Feb-2010,"2,060.00","2,084.00","1,953.00","1,963.40","1,872.38","1,00,635"
09-Feb-2010,"1,985.00","2,070.00","1,970.00","1,985.20","1,893.17","8,170"
08-Feb-2010,"1,995.00","2,065.00","1,951.00","2,004.80","1,911.86","7,680"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,"1,935.00","2,010.00","1,865.00","1,947.25","1,856.98","7,258"
04-Feb-2010,"1,981.00","2,014.95","1,950.00","1,951.25","1,860.80","4,430"
03-Feb-2010,"2,010.00","2,025.00","1,994.00","2,001.50","1,908.72","2,230"
02-Feb-2010,"2,040.00","2,042.50","1,980.00","1,998.40","1,905.76","6,052"
01-Feb-2010,"1,981.20","2,027.00","1,930.00","1,986.90","1,894.79","11,717"
29-Jan-2010,"1,951.05","2,004.45","1,890.00","1,972.60","1,881.16","10,010"
28-Jan-2010,"2,010.00","2,020.00","1,971.10","1,984.85","1,892.84","4,278"
27-Jan-2010,"2,025.00","2,025.00","1,975.00","1,987.80","1,895.65","16,648"
25-Jan-2010,"2,100.00","2,100.00","1,990.80","2,018.90","1,925.31","8,905"
22-Jan-2010,"2,096.15","2,125.00","2,050.00","2,087.55","1,986.01","10,850"
21-Jan-2010,"2,175.00","2,230.00","2,090.00","2,116.15","2,013.22","29,461"
20-Jan-2010,"2,201.00","2,228.95","2,185.05","2,193.25","2,086.57","5,778"
19-Jan-2010,"2,199.00","2,236.00","2,185.00","2,185.80","2,079.48","9,780"
18-Jan-2010,"2,201.05","2,238.70","2,139.95","2,190.80","2,084.24","21,665"
15-Jan-2010,"2,266.00","2,279.95","2,207.00","2,220.50","2,112.49","7,277"
14-Jan-2010,"2,216.00","2,344.60","2,210.00","2,258.50","2,148.64","13,575"
13-Jan-2010,"2,174.90","2,225.00","2,174.90","2,206.50","2,099.17","9,520"
12-Jan-2010,"2,284.00","2,284.00","2,170.00","2,184.35","2,078.10","12,655"
11-Jan-2010,"2,260.00","2,350.00","2,225.10","2,272.15","2,161.63","34,698"
08-Jan-2010,"2,272.00","2,315.00","2,200.10","2,220.05","2,112.06","16,820"
07-Jan-2010,"2,145.00","2,323.65","2,125.10","2,252.65","2,143.08","36,846"
06-Jan-2010,"2,060.00","2,454.10","2,031.15","2,119.25","2,016.17","29,100"
05-Jan-2010,"2,000.00","2,065.00","1,981.00","2,045.10","1,945.62","19,634"
04-Jan-2010,"1,925.00","1,975.00","1,907.75","1,962.45","1,866.99","6,976"
19-Jul-2010,"1,920.00","1,970.00","1,865.20","1,887.05","1,799.57","68,397"
16-Jul-2010,"1,920.00","1,943.00","1,920.00","1,939.90","1,849.97","6,005"
15-Jul-2010,"1,912.60","1,940.00","1,912.60","1,924.35","1,835.14","4,379"
14-Jul-2010,"1,912.60","1,959.85","1,912.60","1,947.45","1,857.17","4,623"
13-Jul-2010,"1,939.40","1,949.00","1,922.00","1,930.25","1,840.77","2,882"
12-Jul-2010,"1,990.00","1,999.95","1,913.00","1,931.40","1,841.87","7,039"
09-Jul-2010,"1,936.00","1,981.90","1,922.60","1,975.90","1,884.30","4,599"
08-Jul-2010,"1,909.00","1,976.00","1,909.00","1,951.50","1,861.03","15,070"
07-Jul-2010,"1,880.00","1,929.95","1,871.10","1,903.55","1,815.31","13,269"
06-Jul-2010,"1,997.00","1,998.00","1,902.65","1,911.60","1,822.98","9,006"
05-Jul-2010,"2,025.00","2,025.00","1,950.10","1,957.60","1,866.85","3,521"
02-Jul-2010,"1,985.10","2,014.95","1,950.00","1,958.40","1,867.61","2,492"
01-Jul-2010,"2,002.70","2,050.00","1,955.20","1,986.00","1,893.93","28,314"
30-Jun-2010,"2,006.25","2,050.00","2,006.25","2,034.40","1,940.09","2,936"
29-Jun-2010,"2,027.00","2,078.50","2,025.00","2,027.50","1,933.51","13,213"
28-Jun-2010,"2,022.10","2,105.00","2,022.10","2,067.85","1,971.99","11,866"
25-Jun-2010,"2,029.95","2,035.00","1,950.10","2,025.00","1,931.13","7,046"
24-Jun-2010,"2,040.00","2,040.00","2,022.00","2,029.95","1,935.85","8,837"
23-Jun-2010,"2,008.00","2,049.00","2,000.00","2,035.05","1,940.71","6,057"
22-Jun-2010,"2,000.00","2,027.00","1,980.00","2,007.25","1,914.20","1,336"
21-Jun-2010,"2,026.40","2,034.50","1,980.00","2,002.70","1,909.86","8,094"
18-Jun-2010,"2,040.00","2,040.00","2,003.50","2,016.20","1,922.73","5,586"
17-Jun-2010,"2,057.60","2,069.20","2,030.00","2,039.50","1,944.95","4,536"
16-Jun-2010,"2,072.80","2,100.00","2,033.25","2,069.20","1,973.28","24,411"
15-Jun-2010,"2,070.10","2,110.00","2,053.00","2,092.20","1,995.21","6,734"
14-Jun-2010,"2,050.00","2,082.50","2,042.25","2,070.75","1,974.76","3,095"
11-Jun-2010,"2,092.00","2,110.00","2,022.25","2,089.75","1,992.87","5,422"
10-Jun-2010,"2,075.00","2,098.50","2,075.00","2,082.95","1,986.39","4,090"
09-Jun-2010,"2,090.00","2,100.00","2,070.00","2,083.50","1,986.91","3,434"
08-Jun-2010,"2,075.10","2,118.00","2,055.10","2,090.60","1,993.69","29,078"
07-Jun-2010,"2,049.00","2,070.00","2,015.00","2,062.40","1,966.79","8,141"
04-Jun-2010,"2,010.05","2,059.00","1,980.20","2,037.35","1,942.90","9,226"
03-Jun-2010,"2,030.00","2,030.00","2,005.45","2,014.95","1,921.54","5,256"
02-Jun-2010,"2,062.00","2,062.00","2,000.20","2,010.25","1,917.06","13,913"
01-Jun-2010,"1,980.00","2,075.00","1,947.00","1,998.80","1,906.14","31,306"
31-May-2010,"1,960.00","1,980.00","1,932.20","1,975.75","1,884.16","5,647"
28-May-2010,"1,949.00","1,960.00","1,875.10","1,944.65","1,854.50","23,522"
27-May-2010,"1,917.60","1,980.55","1,898.00","1,913.05","1,824.37","6,374"
26-May-2010,"1,951.00","2,046.95","1,951.00","1,966.90","1,875.72","21,214"
25-May-2010,"1,992.20","2,069.95","1,925.15","1,939.60","1,849.69","9,241"
24-May-2010,"2,000.00","2,074.00","1,922.25","2,020.65","1,926.98","13,281"
21-May-2010,"2,025.00","2,134.90","1,952.10","1,997.35","1,904.76","58,312"
20-May-2010,"2,060.00","2,180.00","1,950.00","2,145.75","2,046.28","63,926"
19-May-2010,"2,061.10","2,125.00","2,030.00","2,050.00","1,954.97","4,647"
18-May-2010,"2,142.00","2,146.95","2,116.50","2,125.75","2,027.21","1,007"
17-May-2010,"2,114.75","2,145.00","2,009.00","2,125.65","2,027.11","4,027"
14-May-2010,"2,075.00","2,144.00","2,065.05","2,114.75","2,016.72","3,891"
