,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"7,06,23,000","7,92,53,700","8,66,28,000"
Other short-term investments,"4,47,12,300","6,41,88,200","6,78,42,500"
Total cash,"11,53,35,300","14,34,41,900","15,44,70,500"
Net receivables,"8,88,42,000","7,81,52,800","7,20,26,100"
Inventory,"7,88,59,800","6,88,06,900","6,83,28,100"
Other current assets,"1,43,41,700","1,30,50,700","91,66,000"
Total current assets,"31,06,91,900","31,63,59,000","32,95,36,500"
"Gross property, plant and equipment","17,66,62,600","16,31,09,200","14,96,41,800"
Accumulated depreciation,"-6,72,80,500","-5,71,74,200","-4,90,41,300"
"Net property, plant and equipment","10,93,82,100","10,59,35,000","10,06,00,500"
Goodwill,"5,95,57,700","5,60,67,100","5,53,62,200"
Intangible assets,"6,35,37,100","5,11,76,000","4,88,02,800"
Other long-term assets,"11,18,500","11,38,800","20,76,200"
Total non-current assets,"33,62,46,200","32,66,69,000","28,45,65,900"
Total assets,"64,69,38,100","64,30,28,000","61,41,02,400"
Current debt,"8,95,68,500","8,59,03,300","8,39,17,400"
Accounts payable,"4,14,78,700","4,76,62,000","4,39,53,900"
Other current liabilities,"44,43,800","50,32,600","34,01,300"
Total current liabilities,"17,33,96,200","19,86,43,200","17,88,70,200"
Long-term debt,"1,42,25,000","1,66,82,200","1,36,91,600"
Deferred tax liabilities,"10,42,800","21,89,600","31,47,900"
Deferred revenues,"55,87,700","1,20,700","1,11,900"
Other long-term liabilities,"1,28,500","1,50,600","1,53,900"
Total non-current liabilities,"2,63,15,900","2,45,37,600","3,09,26,900"
Total liabilities,"19,97,12,100","22,31,80,800","20,97,97,100"
Common stock,"23,99,300","23,99,300","23,99,300"
Retained earnings,"33,33,01,900","31,76,41,500","30,64,56,900"
Total stockholders' equity,"41,40,90,600","38,10,05,600","36,63,96,700"
Total liabilities and stockholders' equity,"64,69,38,100","64,30,28,000","61,41,02,400"
