,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"31,81,64,800","29,06,59,100","26,48,85,100","31,30,81,400"
Cost of revenue,"10,13,42,200","9,23,87,600","8,82,57,700","9,42,47,200"
Gross profit,"21,68,22,600","19,82,71,500","17,66,27,400","21,88,34,200"
Selling general and administrative,-,"4,36,59,200","3,77,21,800","4,27,35,900"
Total operating expenses,"17,00,05,400","15,10,71,500","13,60,23,300","13,37,80,200"
Operating income or loss,"4,68,17,200","4,72,00,000","4,06,04,100","8,50,54,000"
Interest expense,"36,63,100","52,05,800","42,49,300","28,65,500"
Income before tax,"5,12,63,900","3,81,02,000","3,47,89,800","9,04,78,700"
Income tax expense,"71,09,000","60,08,800","84,51,900","1,21,15,700"
Income from continuing operations,"4,39,98,100","3,20,78,600","2,60,83,500","7,84,62,300"
Net income,"4,00,09,700","2,66,54,200","2,16,15,500","6,96,43,700"
Net income available to common shareholders,"4,00,09,700","2,66,54,200","2,16,15,500","6,96,43,700"
Basic EPS,-,11.10,9.00,29.00
Diluted EPS,-,11.10,9.00,29.00
Basic average shares,-,"23,99,327","23,99,297","24,03,320"
Diluted average shares,-,"23,99,330","23,99,362","24,03,523"
EBITDA,-,"6,08,40,300","5,40,37,500","10,59,91,700"
