Insider,Insider Type,Type,Date,Shares
Desai (Sailesh T.),Wholetime Director,Direct,11-Aug-2017,"15,273"
Shanghvi Finance Pvt Ltd,Promoter,Direct,23-Oct-2018,"959,489,218"
Khatry (Pravin Pravin),UNREPORTED,Direct,14-Feb-2020,"4,730"
Desai (Meera S),UNREPORTED,Direct,19-Jun-2019,"186,679"
Sanghvi (Jayant S),Promoter,Direct,30-Jan-2018,"249,253"
Shah (Julie R),UNREPORTED,Direct,19-Nov-2019,"14,000"
Pratham Investments.,Institution- Corporation,Direct,24-Jan-2018,"730,697"
Mehta (Rakesh),UNREPORTED,Direct,18-Jan-2019,"6,000"
Desai (Rita H),UNREPORTED,Direct,26-Jul-2018,"5,000"
Daptardar (Nayna),UNREPORTED,Direct,30-Mar-2017,"4,400"
Jalali (Rajinder),UNREPORTED,Direct,26-Nov-2018,"7,772"
Asawari Investment & Finance Pvt Ltd,Promoter,Direct,23-Oct-2018,"49,468"
Family Investment Pvt Ltd,Promoter,Direct,23-Oct-2018,"182,437,880"
Jeevanrekha Investrade Pvt Ltd,Promoter,Direct,23-Oct-2018,"1,458,806"
Nirmit Exports Pvt Ltd,Promoter,Direct,23-Oct-2018,"7,022"
Package Investrade Pvt Ltd,Promoter,Direct,23-Oct-2018,"895,039"
Sholapur Organics Pvt Ltd,Promoter,Direct,23-Oct-2018,"15,992,110"
Tejaskiran Pharmachem Industries Pvt Ltd,Promoter,Direct,23-Oct-2018,"194,820,971"
Viditi Investment Pvt Ltd,Promoter,Direct,23-Oct-2018,"200,846,362"
Virtuous Finance Ltd,Promoter,Direct,23-Oct-2018,"96,851,821"
Virtuous Share Investment Pvt Ltd,Promoter,Direct,23-Oct-2018,"83,751,259"
Quality Investments Pvt Ltd,Promoter,Direct,23-Oct-2018,"182,379,237"
Valia (Jitendra V),Promoter,Direct,21-Aug-2018,"6,000"
Valia (Jitendra V) HUF,Promoter,Direct,15-Mar-2018,"4,660"
Bharadwaj (Mahendra),UNREPORTED,Direct,05-Mar-2018,"2,700"
Jain (Ajay Kumar),UNREPORTED,Direct,31-Jan-2018,"2,491"
Upadhyay (Ajay Kumar),UNREPORTED,Direct,28-Mar-2017,"5,000"
Ghosh (Gita),UNREPORTED,Direct,31-Mar-2017,"1,700"
Shivramchandra (K),UNREPORTED,Direct,14-Jun-2017,"25,000"
Ajmera (Suresh Kumar),UNREPORTED,Direct,29-Mar-2017,"3,500"
Patel (Dipesh),UNREPORTED,Direct,31-Mar-2017,"5,000"
Rajpara (Chetan),UNREPORTED,Direct,31-Mar-2017,"2,500"
Ajmera (Shashi S),UNREPORTED,Direct,29-Mar-2017,"7,000"
Desai (Dineshkumar R),UNREPORTED,Direct,24-Mar-2017,"7,250"
Desai (Preeti),UNREPORTED,Direct,27-Mar-2017,"5,000"
Rajpara (Jyotika),UNREPORTED,Direct,28-Mar-2017,"4,683"
Gandhi (Nilesh),UNREPORTED,Direct,28-Mar-2017,"10,000"
