,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"21,55,98,000","14,71,67,500","13,98,67,600"
Other short-term investments,"19,51,25,400","34,52,26,700","36,93,39,100"
Total cash,"41,07,23,400","49,23,94,200","50,92,06,700"
Net receivables,"18,99,61,700","19,89,33,000","14,07,55,500"
Inventory,"39,00,15,900","42,42,96,200","35,29,53,800"
Other current assets,"14,68,000","18,32,000","12,97,700"
Total current assets,"1,22,82,75,200","1,36,26,48,300","1,16,33,36,400"
"Gross property, plant and equipment","1,48,04,46,200","1,39,53,29,900","1,08,37,59,800"
Accumulated depreciation,"-71,81,42,900","-54,48,85,800","-43,25,60,400"
"Net property, plant and equipment","76,23,03,300","85,04,44,100","65,11,99,400"
Equity and other investments,"7,04,68,300","6,58,31,600","6,02,27,800"
Goodwill,"74,78,700","11,64,500","67,33,200"
Intangible assets,"58,05,55,900","68,51,67,900","57,15,13,800"
Other long-term assets,"74,41,400","37,66,200","33,02,600"
Total non-current assets,"1,75,88,44,700","1,87,32,88,900","1,50,33,09,600"
Total assets,"2,98,71,19,900","3,23,59,37,200","2,66,66,46,000"
Current debt,"35,18,43,700","27,72,87,400","17,95,26,700"
Accounts payable,"75,96,81,700","80,46,01,600","61,02,01,400"
Taxes payable,"1,01,76,400","1,55,90,700","1,39,25,800"
Accrued liabilities,"1,05,95,800","1,09,57,200","94,32,400"
Deferred revenues,"4,67,30,900","4,11,16,200","2,99,56,200"
Other current liabilities,"9,66,28,500","12,13,60,600","17,45,78,600"
Total current liabilities,"1,44,77,50,600","1,42,77,82,700","1,15,28,86,200"
Long-term debt,"70,80,67,000","61,14,19,400","60,56,44,500"
Deferred tax liabilities,"1,49,10,400","6,12,57,800","1,18,06,400"
Other long-term liabilities,"29,66,800","40,91,200","37,85,700"
Total non-current liabilities,"98,13,01,900","89,42,07,200","97,49,17,600"
Total liabilities,"2,42,90,52,500","2,32,19,89,900","2,12,78,03,800"
Common stock,"67,92,200","67,92,200","67,92,200"
Accumulated other comprehensive income,"31,79,26,700","63,47,64,400","52,90,09,900"
Total stockholders' equity,"55,27,38,700","90,85,89,800","53,41,97,000"
Total liabilities and stockholders' equity,"2,98,71,19,900","3,23,59,37,200","2,66,66,46,000"
