,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,155.33,161.14,154.34,160.21,128.50,"2,93,47,238"
08-Apr-2010,157.51,157.71,152.25,153.96,123.48,"1,13,64,522"
07-Apr-2010,153.35,157.91,153.26,157.38,126.23,"2,00,79,249"
06-Apr-2010,155.31,155.51,152.07,153.19,122.86,"1,19,20,952"
05-Apr-2010,154.97,155.93,149.60,154.63,124.02,"1,61,11,998"
01-Apr-2010,150.39,154.34,150.39,153.88,123.42,"2,00,06,816"
31-Mar-2010,149.99,151.67,148.65,149.93,120.25,"1,61,56,900"
30-Mar-2010,147.40,150.31,146.55,149.59,119.97,"2,79,46,857"
29-Mar-2010,149.02,150.29,145.45,146.55,117.54,"2,63,07,692"
26-Mar-2010,144.75,149.75,144.13,148.36,118.99,"3,94,31,277"
25-Mar-2010,147.42,149.00,141.33,143.50,115.09,"4,40,01,416"
23-Mar-2010,150.39,152.06,145.64,146.29,117.33,"2,40,82,386"
22-Mar-2010,153.75,154.99,150.11,150.43,120.65,"1,51,77,582"
19-Mar-2010,153.45,155.62,153.35,155.07,124.37,"99,61,296"
18-Mar-2010,154.88,156.13,153.20,154.40,123.84,"1,03,09,082"
17-Mar-2010,156.28,157.46,153.95,154.44,123.87,"1,88,07,903"
16-Mar-2010,152.96,156.00,152.78,155.54,124.75,"1,44,01,329"
15-Mar-2010,149.40,153.49,148.80,152.19,122.06,"1,75,43,045"
12-Mar-2010,152.96,154.16,150.16,150.57,120.76,"1,80,38,609"
11-Mar-2010,154.34,154.90,151.72,152.45,122.27,"1,32,25,082"
10-Mar-2010,153.95,156.88,153.44,154.10,123.59,"2,27,71,045"
09-Mar-2010,155.33,155.33,150.98,153.56,123.16,"5,76,68,210"
08-Mar-2010,158.30,161.69,156.95,157.84,126.59,"2,04,24,256"
05-Mar-2010,161.86,161.86,156.66,157.16,126.05,"2,70,08,964"
04-Mar-2010,160.06,164.18,158.13,160.87,129.03,"3,69,89,165"
03-Mar-2010,160.28,161.06,157.35,160.13,128.43,"3,46,28,600"
