,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"2,02,600","8,51,600","4,83,22,900"
Other short-term investments,"2,96,21,200","15,46,54,000","6,00,03,800"
Total cash,"2,98,23,800","15,55,05,600","10,83,26,700"
Net receivables,"11,81,10,000","12,41,55,200","11,35,99,600"
Inventory,"31,65,61,000","28,33,10,400","24,80,38,200"
Other current assets,"1,40,10,300","89,56,200","79,40,100"
Total current assets,"58,99,09,800","67,87,71,600","50,92,25,200"
"Gross property, plant and equipment","1,89,43,23,800","1,55,07,84,600","1,41,30,74,200"
Accumulated depreciation,"-51,84,09,700","-47,30,78,800","-37,46,11,300"
"Net property, plant and equipment","1,37,59,14,100","1,07,77,05,800","1,03,84,62,900"
Goodwill,"3,99,66,200","4,09,94,500","3,49,47,300"
Intangible assets,"1,49,50,900","84,92,700","44,96,600"
Other long-term assets,"21,91,800","21,47,400","29,41,500"
Total non-current assets,"1,74,59,14,100","1,41,88,07,800","1,22,41,11,800"
Total assets,"2,33,58,23,900","2,09,75,79,400","1,73,33,32,400"
Current debt,"20,07,90,300","19,10,56,400","17,80,01,300"
Accounts payable,"21,71,69,600","20,41,38,100","18,57,44,600"
Other current liabilities,"4,97,800","3,26,200","1,75,500"
Total current liabilities,"61,03,41,300","55,66,14,100","50,34,10,500"
Long-term debt,"76,87,74,900","69,91,41,900","61,18,58,300"
Deferred tax liabilities,"12,45,98,900","10,56,98,800","10,03,00,800"
Deferred revenues,"90,68,000","1,52,65,800","2,05,75,900"
Other long-term liabilities,"50,58,600","32,88,000","18,08,100"
Total non-current liabilities,"1,01,25,87,200","92,28,93,900","83,57,11,700"
Total liabilities,"1,62,29,28,500","1,47,95,08,000","1,33,91,22,200"
Common stock,"1,14,49,400","1,14,49,500","97,02,400"
Retained earnings,"14,05,64,300","7,80,19,900","-11,44,70,100"
Total stockholders' equity,"68,92,50,800","60,87,06,200","37,81,93,200"
Total liabilities and stockholders' equity,"2,33,58,23,900","2,09,75,79,400","1,73,33,32,400"
