,ttm,31/3/2019,31/3/2018,31/3/2017
Net income,"6,20,30,700","10,21,83,300","13,43,43,300","-4,16,85,700"
Depreciation & amortisation,-,"7,57,93,200","5,96,16,600","5,69,04,400"
Change in working capital,-,"2,59,05,100","-9,27,55,300","-4,89,07,100"
Inventory,-,"-1,06,87,100","-1,59,54,300","-8,24,31,700"
Other working capital,-,"16,24,49,500","54,48,900","3,13,24,300"
Other non-cash items,-,"6,15,58,000","-5,44,70,700","8,76,37,200"
Net cash provided by operating activities,-,"25,33,59,500","8,02,33,900","10,84,80,700"
"Investments in property, plant and equipment",-,"-9,09,10,000","-7,47,85,000","-7,71,56,400"
"Acquisitions, net",-,"-35,28,24,600","-25,50,000","-1,08,13,600"
Purchases of investments,-,"-48,99,600","-8,64,07,500","-71,73,700"
Sales/maturities of investments,-,"13,55,55,700","3,89,87,400","9,12,400"
Other investing activities,-,"41,83,200","-8,53,300","-2,72,200"
Net cash used for investing activities,-,"-29,90,18,200","-12,02,56,300","-9,08,62,200"
Net change in cash,-,"-5,23,85,700","2,63,77,000","-83,05,900"
Cash at beginning of period,-,"8,17,96,200","4,85,04,800","6,07,69,400"
Cash at end of period,-,"2,97,55,300","7,78,35,000","4,83,22,900"
Operating cash flow,-,"25,33,59,500","8,02,33,900","10,84,80,700"
Capital expenditure,-,"-9,09,10,000","-7,47,85,000","-7,71,56,400"
Free cash flow,-,"16,24,49,500","54,48,900","3,13,24,300"
