,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,642.14,653.58,639.48,644.24,508.37,"33,14,724"
08-Apr-2010,647.86,704.07,636.62,639.52,504.65,"40,83,659"
07-Apr-2010,657.39,660.06,645.48,653.24,515.48,"41,02,458"
06-Apr-2010,649.29,662.06,641.19,655.10,516.94,"61,41,129"
05-Apr-2010,624.23,647.67,624.23,646.43,510.10,"63,18,383"
01-Apr-2010,605.94,623.09,605.18,621.38,490.33,"44,67,166"
31-Mar-2010,604.99,609.37,596.51,602.18,475.18,"41,39,442"
30-Mar-2010,614.52,619.28,602.22,604.75,477.21,"31,66,992"
29-Mar-2010,609.56,620.09,606.32,613.13,483.83,"26,80,660"
26-Mar-2010,609.75,619.28,606.23,613.66,484.24,"38,55,035"
25-Mar-2010,606.89,610.61,595.03,608.04,479.80,"44,96,805"
23-Mar-2010,602.13,609.99,598.89,607.80,479.62,"39,67,343"
22-Mar-2010,606.08,613.28,597.03,599.32,472.93,"40,37,483"
19-Mar-2010,610.23,614.99,606.27,613.80,484.35,"36,15,403"
18-Mar-2010,604.99,611.32,600.32,608.99,480.56,"42,72,407"
17-Mar-2010,510.67,613.09,510.67,602.22,475.22,"60,06,300"
16-Mar-2010,582.03,601.18,579.50,597.56,471.53,"46,83,919"
15-Mar-2010,576.60,587.74,575.60,581.22,458.64,"35,66,415"
12-Mar-2010,581.17,584.89,575.12,578.84,456.76,"42,02,059"
11-Mar-2010,583.08,585.93,573.93,579.55,457.33,"35,09,933"
10-Mar-2010,586.93,590.41,574.02,583.27,460.26,"37,10,152"
09-Mar-2010,590.70,592.94,582.12,585.65,462.14,"39,47,015"
08-Mar-2010,594.17,598.32,587.60,592.36,467.44,"45,96,969"
05-Mar-2010,590.70,597.84,586.89,588.89,464.69,"48,59,329"
04-Mar-2010,581.17,591.27,574.59,588.36,464.28,"76,70,880"
03-Mar-2010,581.17,588.12,575.74,579.45,457.25,"65,22,376"
02-Mar-2010,553.68,581.88,553.68,580.12,457.78,"70,03,781"
26-Feb-2010,543.06,564.31,537.34,547.20,431.80,"57,45,714"
25-Feb-2010,542.11,546.87,533.58,542.34,427.97,"45,82,728"
24-Feb-2010,544.97,547.63,536.91,540.49,426.50,"54,01,380"
23-Feb-2010,540.30,552.97,538.39,548.30,432.67,"59,77,768"
22-Feb-2010,541.15,552.97,540.20,545.68,430.60,"60,44,282"
19-Feb-2010,541.15,545.35,530.25,534.25,421.58,"79,50,936"
18-Feb-2010,556.40,559.26,543.16,549.87,433.91,"51,24,727"
17-Feb-2010,519.34,558.59,519.34,556.73,439.32,"1,00,63,836"
16-Feb-2010,516.38,525.91,514.53,524.10,413.57,"67,43,626"
15-Feb-2010,512.10,518.77,505.52,514.38,405.90,"76,21,683"
11-Feb-2010,500.04,512.91,500.04,508.71,401.43,"67,43,503"
10-Feb-2010,510.67,518.96,494.76,497.76,392.78,"72,71,405"
09-Feb-2010,505.90,516.57,504.95,508.33,401.13,"77,11,783"
08-Feb-2010,524.01,539.15,503.14,508.62,401.35,"1,49,71,526"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,514.48,534.96,514.48,524.20,413.65,"92,25,468"
04-Feb-2010,567.83,567.83,546.87,550.40,434.32,"73,04,203"
03-Feb-2010,550.68,575.07,549.82,572.02,451.39,"94,74,266"
02-Feb-2010,557.35,566.50,543.68,546.20,431.01,"96,49,265"
01-Feb-2010,533.53,557.16,531.58,552.44,435.94,"72,60,368"
29-Jan-2010,550.68,553.54,525.63,542.20,427.85,"1,21,65,087"
28-Jan-2010,539.25,561.54,538.30,557.73,440.11,"1,32,07,085"
27-Jan-2010,571.55,577.07,527.10,533.20,420.75,"1,14,46,220"
25-Jan-2010,590.70,596.13,578.22,581.07,458.53,"55,92,988"
22-Jan-2010,610.80,610.80,587.84,595.03,469.54,"92,15,915"
21-Jan-2010,618.80,628.33,611.90,617.37,487.17,"1,14,58,466"
20-Jan-2010,607.85,626.33,607.85,622.80,491.46,"83,22,383"
19-Jan-2010,605.94,615.09,602.13,607.51,479.39,"52,64,463"
18-Jan-2010,611.66,611.66,600.94,607.37,479.28,"62,44,045"
15-Jan-2010,619.28,620.18,609.75,614.66,485.03,"45,05,484"
14-Jan-2010,614.28,620.42,611.23,617.09,486.95,"69,71,962"
13-Jan-2010,585.93,611.47,585.93,609.04,480.59,"1,08,26,758"
12-Jan-2010,611.18,618.09,594.36,595.98,470.29,"71,71,328"
11-Jan-2010,619.28,624.90,614.71,617.85,487.55,"69,70,183"
08-Jan-2010,620.23,630.23,610.61,617.80,487.51,"86,06,351"
07-Jan-2010,614.42,621.95,609.85,619.09,488.53,"80,14,496"
06-Jan-2010,628.81,628.81,606.89,611.71,482.70,"77,15,075"
05-Jan-2010,608.37,623.85,608.37,618.42,488.00,"81,88,973"
04-Jan-2010,592.60,606.42,587.74,603.80,476.46,"58,46,062"
19-Jul-2010,478.27,489.90,478.27,487.13,391.02,"42,55,102"
16-Jul-2010,489.71,493.52,483.04,484.70,389.07,"42,83,601"
15-Jul-2010,483.04,492.57,482.18,488.52,392.13,"78,71,721"
14-Jul-2010,490.66,494.95,480.18,481.99,386.89,"71,35,214"
13-Jul-2010,471.80,488.14,471.61,484.75,389.11,"81,57,554"
12-Jul-2010,471.61,482.08,468.27,474.23,380.66,"80,98,721"
09-Jul-2010,465.65,474.37,463.51,472.51,372.86,"66,96,250"
08-Jul-2010,461.13,465.79,455.50,461.84,364.44,"55,71,721"
07-Jul-2010,461.13,461.13,451.12,452.45,357.03,"79,49,281"
06-Jul-2010,450.64,459.17,445.98,457.70,361.17,"55,62,173"
05-Jul-2010,453.50,453.60,447.79,449.45,354.67,"26,61,872"
02-Jul-2010,452.64,458.27,448.88,452.50,357.07,"56,40,185"
01-Jul-2010,460.84,463.03,449.93,452.55,357.11,"52,15,330"
30-Jun-2010,447.88,464.41,447.88,462.70,365.12,"62,43,760"
29-Jun-2010,476.18,476.37,457.31,458.84,362.07,"71,45,251"
28-Jun-2010,467.13,477.94,467.13,476.46,375.98,"43,47,476"
25-Jun-2010,474.46,478.18,465.22,466.89,368.42,"62,89,688"
24-Jun-2010,474.46,482.56,471.61,474.84,374.70,"94,39,040"
23-Jun-2010,467.79,478.08,466.32,474.08,374.10,"84,73,147"
22-Jun-2010,483.99,483.99,469.03,470.70,371.43,"75,71,815"
21-Jun-2010,457.41,482.51,457.41,480.94,379.51,"1,08,69,475"
18-Jun-2010,459.79,463.41,448.93,451.36,356.17,"63,04,473"
17-Jun-2010,463.03,463.93,453.93,458.22,361.58,"80,69,715"
16-Jun-2010,471.70,474.46,460.93,462.60,365.04,"70,32,040"
15-Jun-2010,461.32,470.41,457.93,468.65,369.81,"63,07,193"
14-Jun-2010,453.60,463.41,453.07,461.32,364.03,"56,46,785"
11-Jun-2010,452.55,455.79,448.40,451.22,356.06,"72,95,972"
10-Jun-2010,446.64,450.98,436.07,449.17,354.44,"81,09,467"
09-Jun-2010,431.59,444.26,429.26,441.17,348.13,"1,16,35,708"
08-Jun-2010,442.31,444.83,427.87,430.07,339.37,"94,48,887"
07-Jun-2010,448.74,448.74,435.88,440.31,347.45,"87,59,443"
04-Jun-2010,461.60,466.84,455.93,462.32,364.81,"86,41,180"
03-Jun-2010,466.94,471.32,460.41,462.84,365.23,"99,27,633"
02-Jun-2010,462.08,463.89,453.88,461.41,364.10,"1,04,34,742"
01-Jun-2010,476.37,483.80,454.45,457.31,360.87,"1,20,92,264"
31-May-2010,473.37,479.08,463.27,477.04,376.43,"95,83,363"
28-May-2010,476.37,484.47,466.89,473.37,373.54,"1,53,49,733"
27-May-2010,460.17,473.89,451.17,469.08,370.15,"1,95,00,527"
26-May-2010,455.41,474.61,454.55,461.55,364.21,"1,34,21,049"
25-May-2010,471.61,471.61,451.83,454.12,358.35,"1,15,37,775"
24-May-2010,491.61,499.23,471.70,477.37,376.69,"70,73,955"
21-May-2010,473.99,488.75,464.27,485.18,382.86,"1,29,42,158"
20-May-2010,490.66,497.33,480.18,484.13,382.03,"92,98,838"
19-May-2010,500.19,504.47,486.23,488.28,385.30,"1,13,78,120"
18-May-2010,513.33,515.72,502.57,505.24,398.68,"98,70,879"
17-May-2010,507.38,515.24,498.28,511.00,403.23,"1,15,24,976"
14-May-2010,546.87,546.87,519.72,522.05,411.95,"85,00,544"
13-May-2010,557.35,565.59,544.54,547.92,432.37,"58,11,150"
12-May-2010,554.49,560.21,544.97,556.83,439.39,"67,04,873"
11-May-2010,576.41,580.03,551.64,554.54,437.59,"95,62,686"
10-May-2010,570.59,577.36,537.34,573.02,452.18,"80,31,684"
07-May-2010,533.53,542.11,526.34,531.96,419.77,"74,47,970"
06-May-2010,545.92,552.49,534.68,548.68,432.97,"84,53,042"
05-May-2010,543.06,550.11,529.44,546.01,430.86,"1,23,13,454"
04-May-2010,578.31,600.08,545.11,550.54,434.43,"91,44,347"
03-May-2010,581.17,588.65,575.45,578.36,456.39,"57,48,920"
30-Apr-2010,610.23,613.56,585.93,589.60,465.26,"78,45,095"
29-Apr-2010,598.32,610.32,596.70,602.75,475.63,"54,89,560"
28-Apr-2010,613.56,613.56,592.94,594.84,469.39,"53,50,429"
27-Apr-2010,624.14,626.61,615.80,616.90,486.80,"38,30,519"
26-Apr-2010,619.28,633.28,619.28,625.80,493.83,"44,46,870"
23-Apr-2010,624.99,631.38,612.66,617.71,487.44,"67,12,298"
22-Apr-2010,633.66,641.62,618.99,624.33,492.66,"68,76,440"
21-Apr-2010,641.29,647.67,634.24,637.24,502.85,"32,93,129"
20-Apr-2010,641.19,652.63,634.05,639.14,504.35,"46,05,062"
19-Apr-2010,650.43,655.48,631.14,638.14,503.56,"66,86,351"
16-Apr-2010,651.67,665.30,644.05,662.82,523.03,"45,32,384"
15-Apr-2010,663.01,668.15,646.05,653.67,515.82,"55,10,166"
13-Apr-2010,650.20,660.72,643.62,659.25,520.21,"54,70,197"
12-Apr-2010,645.96,655.86,638.81,651.91,514.42,"43,08,224"
27-Oct-2010,573.79,587.74,573.45,585.84,470.25,"73,35,829"
26-Oct-2010,592.22,595.41,574.31,577.03,463.18,"84,83,790"
25-Oct-2010,594.89,600.99,589.84,590.93,474.34,"58,32,885"
22-Oct-2010,602.13,603.08,586.89,588.32,472.24,"60,25,873"
21-Oct-2010,589.79,601.94,588.65,598.70,480.57,"48,85,467"
20-Oct-2010,595.46,599.75,585.08,586.60,470.86,"73,83,969"
19-Oct-2010,619.33,621.71,600.70,603.22,484.21,"48,90,939"
18-Oct-2010,622.04,622.04,595.46,615.52,494.07,"48,94,217"
15-Oct-2010,615.09,627.47,601.27,605.80,486.27,"47,96,226"
14-Oct-2010,610.37,628.23,610.37,621.66,499.00,"83,96,377"
13-Oct-2010,606.51,609.75,601.65,607.70,487.80,"74,21,254"
12-Oct-2010,610.70,611.66,595.46,603.42,484.36,"48,32,995"
11-Oct-2010,614.28,614.28,601.41,609.85,489.52,"49,07,546"
08-Oct-2010,623.99,627.81,590.03,596.98,479.20,"1,64,34,485"
07-Oct-2010,647.86,649.77,616.52,618.99,496.86,"80,93,079"
06-Oct-2010,642.10,652.63,639.38,646.19,518.70,"58,25,293"
05-Oct-2010,640.24,645.48,634.71,636.76,511.13,"41,87,530"
04-Oct-2010,640.24,648.43,634.86,638.05,512.16,"55,81,878"
01-Oct-2010,622.61,642.38,622.61,636.24,510.70,"84,29,534"
30-Sep-2010,622.14,626.90,611.75,621.04,498.51,"79,55,755"
29-Sep-2010,619.47,633.28,619.47,622.23,499.46,"74,61,502"
28-Sep-2010,614.52,624.90,611.66,620.85,498.35,"71,98,697"
27-Sep-2010,605.46,618.80,604.23,615.37,493.96,"75,37,399"
24-Sep-2010,595.46,603.94,594.51,600.18,481.76,"61,45,382"
23-Sep-2010,591.65,594.98,583.08,594.03,476.83,"70,75,562"
22-Sep-2010,589.74,598.60,584.41,589.60,473.27,"80,25,137"
21-Sep-2010,590.89,594.27,581.65,586.27,470.59,"72,22,566"
20-Sep-2010,578.26,592.51,576.98,588.79,472.62,"87,49,737"
17-Sep-2010,569.12,585.22,569.12,576.22,462.52,"1,03,25,876"
16-Sep-2010,578.22,581.84,564.11,567.21,455.30,"73,78,118"
15-Sep-2010,571.64,580.93,570.12,575.17,461.68,"75,72,142"
14-Sep-2010,575.83,586.74,566.97,568.69,456.48,"82,14,493"
13-Sep-2010,570.69,578.03,567.26,573.07,460.00,"78,74,574"
09-Sep-2010,555.45,568.45,547.87,565.59,454.00,"89,09,913"
08-Sep-2010,544.97,558.83,541.06,553.16,444.02,"85,60,160"
07-Sep-2010,546.11,556.83,543.30,549.16,440.81,"92,08,949"
06-Sep-2010,518.29,550.35,517.43,548.49,440.27,"1,66,24,811"
03-Sep-2010,519.24,520.19,511.00,515.38,413.70,"37,49,209"
02-Sep-2010,516.38,521.15,514.57,518.34,416.07,"62,56,107"
01-Sep-2010,501.14,513.53,500.85,512.53,411.40,"79,75,674"
31-Aug-2010,499.33,502.71,491.18,497.99,399.74,"76,18,573"
30-Aug-2010,496.38,504.38,495.57,502.95,403.72,"80,15,428"
27-Aug-2010,481.13,497.33,478.27,486.04,390.14,"99,18,262"
26-Aug-2010,476.37,480.94,473.51,478.13,383.79,"62,39,777"
25-Aug-2010,486.85,488.75,469.70,473.51,380.08,"95,97,440"
24-Aug-2010,496.90,501.04,486.28,489.47,392.89,"45,88,713"
23-Aug-2010,495.42,501.90,495.09,496.90,398.86,"46,91,648"
20-Aug-2010,495.42,498.19,492.61,494.38,396.83,"46,48,069"
19-Aug-2010,497.19,504.43,493.90,497.61,399.43,"49,04,963"
18-Aug-2010,490.66,498.23,490.04,497.19,399.09,"58,59,719"
