,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Net income,"32,34,00,000","32,34,00,000","31,47,20,000","25,82,60,000","26,28,90,000"
Depreciation & amortisation,"3,52,90,000","3,52,90,000","2,05,60,000","2,01,40,000","1,98,70,000"
Change in working capital,"-4,66,70,000","-4,66,70,000","-2,16,90,000","-20,90,000","-63,10,000"
Inventory,"50,000","50,000","1,60,000",-,-
Other working capital,"29,12,00,000","29,12,00,000","26,36,20,000","23,20,50,000","23,23,30,000"
Other non-cash items,"-2,65,20,000","-2,65,20,000","-2,56,40,000","-2,39,30,000","-2,23,10,000"
Net cash provided by operating activities,"32,36,90,000","32,36,90,000","28,59,30,000","25,06,70,000","25,22,30,000"
"Investments in property, plant and equipment","-3,24,90,000","-3,24,90,000","-2,23,10,000","-1,86,20,000","-1,99,00,000"
"Acquisitions, net",0,0,"-5,00,000",-,-
Purchases of investments,"-1,02,57,00,000","-1,02,57,00,000","-1,16,20,80,000","-1,06,44,50,000","-1,23,72,40,000"
Sales/maturities of investments,"1,10,48,60,000","1,10,48,60,000","1,17,30,50,000","1,08,59,80,000","1,06,75,60,000"
Other investing activities,-,-,"4,40,000","-9,50,000","40,00,000"
Net cash used for investing activities,"8,56,50,000","8,56,50,000","1,59,60,000","2,88,60,000","-16,73,20,000"
Net change in cash,"1,01,90,000","1,01,90,000","2,29,20,000","1,06,80,000","-2,53,50,000"
Cash at beginning of period,"7,22,40,000","7,22,40,000","4,88,30,000","3,59,70,000","6,29,50,000"
Cash at end of period,"8,64,60,000","8,64,60,000","7,22,40,000","4,88,30,000","3,59,70,000"
Operating cash flow,"32,36,90,000","32,36,90,000","28,59,30,000","25,06,70,000","25,22,30,000"
Capital expenditure,"-3,24,90,000","-3,24,90,000","-2,23,10,000","-1,86,20,000","-1,99,00,000"
Free cash flow,"29,12,00,000","29,12,00,000","26,36,20,000","23,20,50,000","23,23,30,000"
