,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total revenue,"1,56,94,90,000","1,56,94,90,000","1,46,46,30,000","1,23,10,40,000","1,17,96,60,000"
Cost of revenue,"87,85,70,000","87,85,70,000","80,51,60,000","69,09,60,000","64,42,90,000"
Gross profit,"69,09,20,000","69,09,20,000","65,94,70,000","54,00,80,000","53,53,70,000"
Selling general and administrative,"14,52,90,000","14,52,90,000","12,65,10,000","10,05,40,000","9,92,10,000"
Total operating expenses,"30,51,20,000","30,51,20,000","28,49,70,000","23,30,00,000","23,08,80,000"
Operating income or loss,"38,58,00,000","38,58,00,000","37,45,00,000","30,70,80,000","30,44,90,000"
Interest expense,"92,40,000","92,40,000","19,80,000","5,20,000","3,20,000"
Income before tax,"42,24,80,000","42,24,80,000","41,56,30,000","34,09,20,000","34,51,30,000"
Income tax expense,"9,80,10,000","9,80,10,000","10,00,10,000","8,21,20,000","8,15,60,000"
Income from continuing operations,"32,44,70,000","32,44,70,000","31,56,20,000","25,88,00,000","26,35,70,000"
Net income,"32,34,00,000","32,34,00,000","31,47,20,000","25,82,60,000","26,28,90,000"
Net income available to common shareholders,"32,34,00,000","32,34,00,000","31,47,20,000","25,82,60,000","26,28,90,000"
Basic EPS,-,-,83.05,67.09,66.70
Diluted EPS,-,-,83.05,67.09,66.70
Basic average shares,-,-,"37,89,749","38,49,186","39,40,856"
Diluted average shares,-,-,"37,89,749","38,49,186","39,40,856"
EBITDA,-,"46,70,10,000","43,81,70,000","36,15,80,000","36,53,20,000"
