,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,401.00,403.95,394.13,395.80,296.23,"30,18,012"
08-Apr-2010,398.00,403.75,395.00,399.73,299.17,"44,94,438"
07-Apr-2010,395.00,404.50,390.58,399.02,298.65,"30,24,558"
06-Apr-2010,404.45,404.45,396.08,398.02,297.90,"37,02,366"
05-Apr-2010,408.50,408.50,399.63,401.67,300.63,"30,01,836"
01-Apr-2010,393.17,404.90,391.05,403.90,302.29,"57,81,432"
31-Mar-2010,400.00,403.63,388.65,390.33,292.13,"70,83,046"
30-Mar-2010,404.30,408.05,398.58,400.00,299.38,"30,97,160"
29-Mar-2010,412.00,414.65,404.27,405.98,303.85,"34,43,266"
26-Mar-2010,415.00,418.00,411.15,412.52,308.75,"19,97,806"
25-Mar-2010,412.05,418.40,409.00,414.90,310.53,"55,17,582"
23-Mar-2010,415.00,416.50,411.05,414.33,310.10,"16,94,964"
22-Mar-2010,407.45,416.90,403.08,413.80,309.70,"33,10,110"
19-Mar-2010,402.63,417.23,402.63,410.45,307.20,"47,16,624"
18-Mar-2010,422.50,422.50,410.25,412.92,309.05,"37,24,554"
17-Mar-2010,417.00,422.95,415.00,420.35,314.61,"41,74,794"
16-Mar-2010,410.75,415.98,407.90,414.50,310.23,"30,88,856"
15-Mar-2010,398.48,410.00,395.58,409.00,306.11,"60,54,434"
12-Mar-2010,400.00,400.00,396.00,398.48,298.23,"25,10,976"
11-Mar-2010,390.02,397.45,385.98,395.80,296.23,"32,14,030"
10-Mar-2010,381.85,392.23,380.00,390.02,291.91,"45,87,874"
09-Mar-2010,381.50,389.25,381.50,384.35,287.66,"34,57,732"
08-Mar-2010,383.80,385.00,380.15,381.35,285.42,"30,15,740"
05-Mar-2010,382.50,383.48,380.08,381.30,285.38,"12,87,312"
04-Mar-2010,384.00,385.00,378.50,381.95,285.87,"20,53,606"
03-Mar-2010,384.50,387.00,382.08,384.38,287.68,"27,54,742"
02-Mar-2010,381.00,384.50,377.50,381.60,285.60,"40,53,352"
26-Feb-2010,383.55,389.27,373.08,380.90,285.08,"30,15,934"
25-Feb-2010,384.90,384.90,380.63,383.13,286.75,"26,72,984"
24-Feb-2010,378.00,385.35,376.05,382.67,286.41,"40,76,058"
23-Feb-2010,379.50,382.50,375.63,381.05,285.19,"18,53,052"
22-Feb-2010,378.50,381.85,376.90,378.63,283.38,"21,43,460"
19-Feb-2010,377.45,379.75,372.90,375.27,280.87,"22,15,880"
18-Feb-2010,380.00,383.48,377.75,379.40,283.96,"18,14,806"
17-Feb-2010,382.45,383.98,376.27,379.33,283.90,"25,28,290"
16-Feb-2010,373.63,382.48,371.10,379.08,283.71,"16,60,490"
15-Feb-2010,375.00,375.00,369.27,373.08,279.22,"19,56,482"
11-Feb-2010,368.98,373.98,367.50,371.35,277.93,"24,13,156"
10-Feb-2010,369.95,371.85,364.05,366.15,274.04,"23,37,374"
09-Feb-2010,362.50,370.98,360.52,367.58,275.11,"30,05,894"
08-Feb-2010,364.50,367.38,354.08,362.08,270.99,"41,70,344"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,367.50,367.50,358.30,361.75,270.75,"46,07,118"
04-Feb-2010,376.48,376.95,366.25,369.35,276.44,"27,16,612"
03-Feb-2010,372.00,378.45,367.75,376.48,281.77,"29,77,676"
02-Feb-2010,377.50,381.33,367.50,369.20,276.32,"47,39,188"
01-Feb-2010,367.17,381.40,360.00,373.08,279.22,"33,78,012"
29-Jan-2010,367.00,369.90,356.08,368.10,275.50,"54,73,326"
28-Jan-2010,374.75,378.98,363.85,370.88,277.58,"65,37,196"
27-Jan-2010,375.00,379.85,370.08,371.65,278.16,"48,44,398"
25-Jan-2010,378.75,382.75,370.58,378.10,281.49,"30,08,286"
22-Jan-2010,380.50,382.50,372.35,378.92,282.10,"75,74,990"
21-Jan-2010,386.13,395.98,383.95,385.33,286.87,"50,89,504"
20-Jan-2010,396.10,396.10,385.45,389.70,290.12,"43,47,054"
19-Jan-2010,401.10,401.10,389.33,390.35,290.61,"51,54,850"
18-Jan-2010,400.00,414.50,396.50,401.10,298.61,"72,61,084"
15-Jan-2010,398.00,399.80,386.13,395.70,294.59,"79,45,008"
14-Jan-2010,399.23,399.23,384.67,389.92,290.29,"1,03,27,614"
13-Jan-2010,372.50,398.20,372.33,394.27,293.53,"1,09,10,272"
12-Jan-2010,366.00,377.00,363.50,375.02,279.20,"90,27,690"
11-Jan-2010,352.00,360.05,350.20,357.10,265.85,"43,18,408"
08-Jan-2010,358.00,359.25,348.25,349.90,260.49,"60,48,178"
07-Jan-2010,367.75,369.70,355.50,357.20,265.93,"64,74,892"
06-Jan-2010,375.92,376.10,366.50,367.42,273.54,"33,49,176"
05-Jan-2010,377.50,379.77,373.27,375.92,279.87,"20,14,488"
