,Open,High,Low,Close*,Adj. close**,Volume
12-Jul-2012,612.50,625.00,609.65,618.00,493.62,"78,59,080"
11-Jul-2012,626.63,637.25,626.63,629.15,502.52,"20,34,538"
10-Jul-2012,632.50,635.13,624.78,630.85,503.88,"25,17,598"
09-Jul-2012,622.50,632.28,621.67,629.70,502.96,"19,12,768"
06-Jul-2012,620.00,626.40,613.50,623.88,498.31,"19,29,928"
05-Jul-2012,623.92,623.92,617.60,620.30,495.45,"15,20,876"
04-Jul-2012,621.75,624.75,615.78,623.92,498.35,"13,01,806"
03-Jul-2012,632.50,634.90,615.15,619.70,494.97,"22,27,292"
02-Jul-2012,639.50,639.50,628.22,629.72,502.98,"21,11,100"
29-Jun-2012,631.67,643.50,631.45,638.72,510.17,"19,90,150"
28-Jun-2012,623.47,631.95,618.13,629.42,502.74,"18,94,228"
27-Jun-2012,618.13,629.40,618.13,623.35,497.89,"23,05,862"
26-Jun-2012,608.75,618.50,608.53,617.55,493.26,"11,09,714"
25-Jun-2012,618.50,619.25,605.50,608.38,485.93,"15,88,758"
22-Jun-2012,607.13,619.95,607.13,616.72,492.60,"19,19,560"
21-Jun-2012,622.53,626.00,604.50,612.03,488.85,"41,55,980"
20-Jun-2012,637.00,637.00,621.65,626.40,500.33,"17,53,740"
19-Jun-2012,628.45,639.63,627.55,636.97,508.77,"17,69,058"
18-Jun-2012,638.00,643.17,625.00,628.58,502.06,"14,95,388"
15-Jun-2012,627.03,640.00,624.50,636.22,508.17,"19,86,040"
14-Jun-2012,624.50,630.75,622.50,627.00,500.81,"14,71,124"
13-Jun-2012,624.50,630.00,621.30,625.20,499.37,"14,50,858"
12-Jun-2012,610.55,626.50,610.55,624.05,498.45,"10,92,142"
11-Jun-2012,616.50,623.03,613.55,616.78,492.64,"15,45,048"
08-Jun-2012,615.60,621.30,612.08,615.45,491.58,"24,00,244"
07-Jun-2012,623.50,624.95,615.78,620.10,495.29,"21,49,728"
06-Jun-2012,615.00,631.88,614.55,625.58,493.28,"32,91,908"
05-Jun-2012,607.00,615.45,607.00,613.25,483.56,"20,63,398"
04-Jun-2012,605.00,608.00,598.10,606.63,478.34,"12,04,430"
01-Jun-2012,620.00,622.50,609.25,612.30,482.81,"14,79,528"
31-May-2012,610.50,627.95,610.50,622.67,490.99,"44,11,602"
30-May-2012,615.63,628.50,615.63,620.28,489.10,"15,81,514"
29-May-2012,614.00,624.00,609.20,620.17,489.02,"15,75,032"
28-May-2012,612.00,615.00,607.53,612.35,482.85,"7,90,194"
25-May-2012,606.05,612.50,604.55,610.40,481.31,"9,15,046"
24-May-2012,612.50,614.47,603.55,610.72,481.57,"12,05,674"
23-May-2012,616.50,617.78,607.05,612.58,483.03,"21,62,806"
22-May-2012,610.50,620.00,606.50,612.03,482.59,"23,60,916"
21-May-2012,605.50,612.50,602.03,604.60,476.74,"22,27,088"
18-May-2012,602.40,612.45,601.33,605.33,477.31,"26,56,670"
17-May-2012,611.00,617.50,599.53,611.00,481.79,"41,37,524"
16-May-2012,610.00,620.95,603.38,611.70,482.34,"45,67,936"
15-May-2012,612.00,616.50,609.90,613.15,483.48,"18,75,510"
14-May-2012,613.65,617.00,610.00,612.97,483.34,"25,73,752"
11-May-2012,612.00,618.45,610.60,615.38,485.23,"27,45,190"
10-May-2012,612.78,620.90,612.50,616.28,485.94,"29,92,620"
09-May-2012,597.50,617.30,597.05,612.78,483.18,"92,71,544"
08-May-2012,612.50,617.35,597.83,600.35,473.39,"96,31,578"
07-May-2012,630.00,639.25,624.20,636.63,501.99,"26,27,762"
04-May-2012,640.00,647.63,631.53,638.40,503.39,"35,71,718"
03-May-2012,631.35,642.05,629.28,639.75,504.46,"33,58,922"
02-May-2012,621.05,637.20,621.05,633.63,499.63,"39,81,448"
30-Apr-2012,602.00,625.00,602.00,623.30,491.48,"46,04,822"
27-Apr-2012,595.00,606.00,595.00,602.00,474.69,"37,11,146"
26-Apr-2012,585.00,600.95,582.25,597.33,471.00,"54,76,292"
25-Apr-2012,594.50,595.00,583.75,585.53,461.70,"54,17,898"
24-Apr-2012,561.00,602.50,558.65,597.10,470.82,"1,81,13,782"
23-Apr-2012,546.97,551.20,523.83,532.13,419.59,"28,43,868"
20-Apr-2012,546.63,553.97,538.70,544.22,429.13,"24,50,024"
19-Apr-2012,550.45,553.40,545.55,551.47,434.85,"17,67,416"
18-Apr-2012,550.00,557.35,546.92,548.78,432.72,"28,82,264"
17-Apr-2012,542.50,547.47,536.90,545.42,430.08,"24,73,664"
16-Apr-2012,532.63,537.15,526.65,534.88,421.76,"50,16,110"
13-Apr-2012,545.67,552.35,530.63,534.17,421.21,"89,94,680"
12-Apr-2012,570.13,574.00,564.55,565.83,446.16,"21,14,686"
11-Apr-2012,574.85,577.50,567.60,569.05,448.71,"17,81,586"
10-Apr-2012,583.15,587.83,576.13,578.10,455.84,"15,32,992"
09-Apr-2012,585.00,594.00,579.13,582.05,458.96,"15,76,628"
04-Apr-2012,584.50,594.90,583.50,589.22,464.62,"21,65,054"
