,0,1,2
27-Jan-2010,2, ,Dividend
15-Jun-2010,4, ,Dividend
29-Jul-2010,2, ,Dividend
27-Jan-2011,2, ,Dividend
01-Nov-2010,2, ,Dividend
28-Jul-2011,3, ,Dividend
08-Jun-2011,8, ,Dividend
25-Oct-2011,3, ,Dividend
25-Jan-2012,3, ,Dividend
07-Jun-2012,8, ,Dividend
23-Jul-2012,3, ,Dividend
31-Oct-2012,3, ,Dividend
23-Jan-2013,3, ,Dividend
06-Jun-2013,13, ,Dividend
25-Oct-2013,4, ,Dividend
27-Jan-2014,4, ,Dividend
28-Jul-2014,5, ,Dividend
06-Jun-2014,20, ,Dividend
29-Oct-2014,5, ,Dividend
27-Jan-2015,5, ,Dividend
05-Jun-2015,24, ,Dividend
20-Jul-2015,5.5, ,Dividend
23-Oct-2015,5.5, ,Dividend
25-Jul-2016,6.5, ,Dividend
06-Jun-2016,27, ,Dividend
24-Oct-2016,6.5, ,Dividend
23-Jan-2017,6.5, ,Dividend
24-Jul-2017,3.5, ,Dividend
25-Oct-2017,3.5, ,Dividend
22-Jan-2018,3.5, ,Dividend
31-May-2018,2:1, ,Stock split
16-Jul-2019,5, ,Dividend
04-Jun-2019,18, ,Dividend
17-Oct-2019,40, ,Dividend
23-Jan-2020,5, ,Dividend
