,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,7,7,41,41
Avg. Estimate,90.3B,92.52B,351.22B,389.06B
Low estimate,86.93B,89.43B,341.22B,368.64B
High estimate,92.2B,94.34B,359.44B,417.46B
Year ago EPS,10.73,13.72,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,77.76B,80.55B,307.73B,351.22B
Sales growth (year/est),16.10%,14.90%,14.10%,10.80%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,8.71,10.16,9.96,11.15
Actual EPS,10.73,13.72,10.07,11.93
Difference,2.02,3.56,0.11,0.78
Surprise %,23.20%,35.00%,1.10%,7.00%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,12.19,12.57,47.4,53.62
30 days ago,12.19,12.57,47.4,53.62
60 days ago,12.19,12.57,47.4,53.62
90 days ago,12.19,12.57,47.4,53.62
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,2,1
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,TECHM.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),9.12%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
