,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,213.00,214.56,211.75,212.51,167.97,"8,82,352"
08-Apr-2010,213.25,215.25,211.35,212.63,168.06,"13,76,664"
07-Apr-2010,213.75,216.76,210.27,212.76,168.16,"12,28,660"
06-Apr-2010,216.07,216.73,212.89,215.29,170.16,"13,75,288"
05-Apr-2010,217.50,217.50,212.27,215.19,170.08,"9,55,572"
01-Apr-2010,213.50,216.85,208.25,214.88,169.83,"15,65,996"
31-Mar-2010,220.00,220.32,212.25,213.27,168.57,"26,44,436"
30-Mar-2010,226.07,227.49,220.00,220.64,174.39,"16,69,316"
29-Mar-2010,227.63,228.70,225.27,226.07,178.69,"5,32,008"
26-Mar-2010,226.00,227.74,224.52,226.76,179.23,"8,39,664"
25-Mar-2010,229.05,229.93,222.52,223.57,176.71,"19,58,456"
23-Mar-2010,228.50,229.55,225.90,227.54,179.84,"6,09,348"
22-Mar-2010,225.00,228.38,223.75,227.91,180.14,"10,89,636"
19-Mar-2010,228.04,229.25,225.84,226.61,179.11,"9,00,384"
18-Mar-2010,231.25,231.25,226.26,226.69,179.17,"15,42,284"
17-Mar-2010,230.00,233.56,229.06,229.64,181.50,"21,17,624"
16-Mar-2010,226.25,229.88,226.25,228.36,180.49,"7,79,820"
15-Mar-2010,227.00,227.50,224.29,225.63,178.33,"10,71,648"
12-Mar-2010,226.25,229.00,225.10,226.76,179.23,"10,07,880"
11-Mar-2010,217.75,227.09,217.75,225.88,178.53,"8,13,940"
10-Mar-2010,226.90,230.23,222.00,224.84,177.71,"11,05,076"
09-Mar-2010,227.75,230.48,226.00,226.81,179.27,"19,81,948"
08-Mar-2010,237.25,239.50,227.25,227.90,180.13,"16,49,728"
05-Mar-2010,231.24,236.23,229.71,232.93,184.10,"22,10,240"
04-Mar-2010,227.81,230.66,226.25,229.63,181.49,"12,61,860"
03-Mar-2010,226.00,228.00,224.75,227.25,179.62,"5,32,760"
02-Mar-2010,225.25,226.82,222.65,224.29,177.27,"8,26,260"
26-Feb-2010,231.05,231.05,220.56,222.71,176.03,"16,18,956"
25-Feb-2010,230.50,232.75,224.59,226.86,179.31,"8,76,132"
24-Feb-2010,230.26,235.10,228.31,229.49,181.38,"6,95,924"
23-Feb-2010,232.75,234.25,230.00,232.13,183.47,"4,89,340"
22-Feb-2010,238.79,239.36,233.48,235.14,185.85,"4,18,120"
19-Feb-2010,238.25,239.16,233.00,235.04,185.77,"4,40,920"
18-Feb-2010,241.23,243.65,237.91,239.73,189.48,"5,09,164"
17-Feb-2010,239.50,242.75,238.50,239.95,189.65,"8,27,240"
16-Feb-2010,239.00,239.00,235.25,237.48,187.70,"4,16,352"
15-Feb-2010,235.50,239.05,235.02,236.99,187.31,"3,92,224"
11-Feb-2010,238.00,239.02,234.00,235.18,185.88,"4,37,160"
10-Feb-2010,237.00,241.00,232.04,233.24,184.35,"5,88,020"
09-Feb-2010,230.52,238.60,230.52,235.50,186.14,"5,39,220"
08-Feb-2010,236.25,240.31,231.25,235.76,186.34,"6,25,648"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,232.52,238.75,226.50,234.18,185.09,"8,54,112"
04-Feb-2010,239.98,241.95,233.95,235.91,186.46,"9,44,008"
03-Feb-2010,242.50,246.50,239.81,240.98,190.46,"12,86,516"
02-Feb-2010,243.48,249.45,235.56,237.20,187.48,"11,83,620"
01-Feb-2010,241.25,247.73,238.18,242.15,191.39,"11,58,824"
29-Jan-2010,244.00,248.25,234.43,243.13,192.16,"13,12,588"
28-Jan-2010,239.63,252.63,237.25,249.21,196.97,"29,97,204"
27-Jan-2010,260.00,260.00,231.77,236.11,186.62,"26,86,004"
25-Jan-2010,282.50,282.50,256.40,262.27,207.30,"43,02,320"
22-Jan-2010,272.75,289.50,269.33,284.41,224.80,"21,76,368"
21-Jan-2010,278.75,283.75,270.34,276.85,218.82,"7,87,508"
20-Jan-2010,280.50,286.00,276.61,280.02,221.33,"6,57,428"
19-Jan-2010,269.13,287.48,269.13,279.35,220.79,"6,29,720"
18-Jan-2010,282.75,288.50,281.45,284.26,224.68,"12,08,876"
15-Jan-2010,275.00,286.00,271.50,284.29,224.70,"38,70,856"
14-Jan-2010,276.00,276.00,267.75,270.36,213.69,"13,62,068"
13-Jan-2010,258.75,272.74,257.50,271.77,214.81,"29,10,448"
12-Jan-2010,262.25,265.98,260.00,261.39,206.60,"13,15,112"
11-Jan-2010,262.50,266.17,258.02,259.63,205.20,"13,19,720"
08-Jan-2010,254.50,263.20,252.52,261.27,206.51,"20,80,960"
07-Jan-2010,260.75,261.25,252.49,254.57,201.21,"7,34,988"
06-Jan-2010,258.55,262.25,257.94,260.30,205.74,"8,40,360"
05-Jan-2010,258.50,263.00,257.27,259.02,204.73,"17,06,608"
04-Jan-2010,249.20,258.25,248.00,255.75,202.14,"12,68,756"
19-Jul-2010,192.48,192.73,190.00,190.46,150.54,"5,33,892"
16-Jul-2010,190.00,193.91,190.00,192.73,152.33,"4,66,800"
15-Jul-2010,191.25,193.00,190.40,191.98,151.73,"4,59,036"
14-Jul-2010,192.00,194.59,190.07,191.11,151.05,"7,77,852"
13-Jul-2010,193.69,193.69,189.50,191.24,151.15,"7,54,488"
12-Jul-2010,194.52,195.32,191.54,193.69,153.09,"7,05,276"
09-Jul-2010,191.25,195.50,190.75,194.18,153.47,"25,05,016"
08-Jul-2010,191.25,192.00,189.20,190.61,150.66,"10,12,116"
07-Jul-2010,190.50,191.75,186.69,189.10,149.46,"13,23,724"
06-Jul-2010,189.99,191.75,188.79,190.38,150.47,"15,73,668"
05-Jul-2010,185.52,191.05,185.52,188.41,148.92,"20,71,516"
02-Jul-2010,184.65,186.00,182.50,183.15,144.76,"4,66,924"
01-Jul-2010,182.00,186.60,182.00,184.07,145.49,"11,88,184"
30-Jun-2010,182.55,186.93,182.55,183.55,145.08,"13,40,440"
29-Jun-2010,186.50,190.50,182.96,184.46,145.80,"22,16,816"
28-Jun-2010,187.50,187.50,185.25,186.00,147.01,"4,60,220"
25-Jun-2010,185.00,187.18,184.00,184.66,145.96,"6,51,340"
24-Jun-2010,188.50,188.77,183.75,184.85,146.10,"26,69,468"
23-Jun-2010,178.00,188.48,178.00,187.66,148.33,"50,43,080"
22-Jun-2010,181.25,183.25,170.43,179.26,141.69,"17,15,960"
21-Jun-2010,185.00,187.35,181.77,182.82,144.50,"12,16,260"
18-Jun-2010,186.00,188.98,182.57,183.95,145.39,"23,35,284"
17-Jun-2010,181.25,187.00,181.25,185.99,147.00,"13,18,752"
16-Jun-2010,185.00,185.00,180.75,181.74,143.64,"5,82,796"
15-Jun-2010,185.05,186.25,181.35,183.26,144.85,"10,14,080"
14-Jun-2010,182.52,186.13,181.75,184.85,146.10,"11,87,176"
11-Jun-2010,180.64,183.60,179.27,181.88,143.75,"30,05,120"
10-Jun-2010,176.25,179.38,175.63,178.84,141.35,"12,66,304"
09-Jun-2010,175.88,178.69,174.63,175.36,138.60,"12,12,552"
08-Jun-2010,178.25,180.23,173.76,175.31,138.56,"20,88,724"
07-Jun-2010,174.75,179.11,168.52,176.86,139.79,"34,52,772"
04-Jun-2010,179.50,180.26,175.39,176.32,139.36,"24,33,356"
03-Jun-2010,171.25,179.73,168.75,178.68,141.22,"57,99,960"
02-Jun-2010,160.50,168.38,159.25,167.30,132.23,"20,78,856"
01-Jun-2010,159.00,163.74,158.04,159.54,126.10,"15,71,440"
31-May-2010,161.75,162.68,157.52,159.05,125.71,"10,53,348"
28-May-2010,161.75,161.95,156.51,161.00,127.25,"9,89,088"
27-May-2010,159.95,159.95,154.14,155.14,122.62,"22,30,468"
26-May-2010,161.25,163.73,156.29,158.64,125.38,"12,42,216"
25-May-2010,166.25,166.25,159.00,160.13,126.56,"5,90,360"
24-May-2010,165.00,169.25,164.40,165.94,131.16,"5,21,860"
21-May-2010,164.25,164.50,158.15,163.25,129.03,"8,35,992"
20-May-2010,171.25,172.25,163.76,165.46,130.78,"8,14,540"
19-May-2010,177.25,180.00,167.80,169.68,134.11,"7,91,096"
18-May-2010,180.00,181.50,177.25,178.35,140.97,"5,60,720"
17-May-2010,177.50,181.00,170.50,179.75,142.07,"8,17,556"
14-May-2010,181.91,183.00,176.50,178.49,141.07,"6,23,376"
13-May-2010,185.75,186.50,181.79,182.71,144.41,"13,44,628"
12-May-2010,178.00,185.48,175.50,183.50,145.04,"15,67,912"
11-May-2010,183.25,183.25,176.25,177.14,140.01,"8,52,496"
10-May-2010,181.25,183.73,178.75,182.96,144.61,"11,48,164"
07-May-2010,181.45,181.93,175.00,178.25,140.89,"14,11,576"
06-May-2010,185.50,189.00,181.50,183.55,145.08,"20,01,200"
05-May-2010,185.94,185.94,179.76,184.09,145.50,"9,45,024"
04-May-2010,195.00,195.99,185.00,185.94,146.96,"15,96,644"
03-May-2010,192.52,197.00,192.52,193.81,153.19,"12,48,088"
30-Apr-2010,195.25,195.38,192.00,193.55,152.98,"10,97,208"
29-Apr-2010,195.25,197.00,191.32,192.06,151.80,"29,88,676"
28-Apr-2010,196.52,199.45,190.50,192.50,152.15,"2,36,68,384"
27-Apr-2010,209.70,209.70,198.71,200.98,158.85,"7,86,588"
26-Apr-2010,206.50,208.50,205.00,205.56,162.47,"5,91,428"
23-Apr-2010,207.75,209.00,205.27,206.02,162.84,"4,28,176"
22-Apr-2010,206.25,210.00,206.25,207.56,164.05,"7,33,136"
21-Apr-2010,206.25,209.59,205.63,207.49,164.00,"10,21,080"
20-Apr-2010,207.50,208.32,205.27,205.52,162.44,"3,47,808"
19-Apr-2010,208.75,209.35,206.25,207.15,163.73,"6,20,632"
16-Apr-2010,211.26,212.10,209.26,210.13,166.08,"5,52,336"
15-Apr-2010,212.50,214.51,210.26,211.65,167.29,"10,22,648"
13-Apr-2010,211.98,213.98,209.63,211.50,167.17,"19,33,240"
12-Apr-2010,212.75,214.25,211.30,212.11,167.65,"6,91,664"
27-Oct-2010,197.50,198.00,191.02,192.69,155.16,"13,65,540"
26-Oct-2010,192.51,200.43,192.49,196.59,158.30,"35,04,444"
25-Oct-2010,191.93,192.88,190.25,191.16,153.93,"3,91,852"
22-Oct-2010,191.00,192.75,188.89,190.07,153.06,"4,53,004"
