,value1,value2,value3,value4
Earnings estimate,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
No. of analysts,3,1,19,19
Avg. Estimate,39.37B,47.18B,154.7B,185.12B
Low estimate,36.82B,47.18B,148.63B,169.63B
High estimate,43B,47.18B,160.57B,199.32B
Year ago EPS,2.29,3.13,9.67,12.84
Revenue estimate,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Year ago sales,34.3B,39.1B,126.14B,154.7B
Sales growth (year/est),14.80%,20.70%,22.60%,19.70%
Earnings history,31/3/2017,30/6/2017,30/9/2017,31/12/2017
Est. EPS,2.64,2.77,2.52,3.86
Actual EPS,2.29,3.13,3.45,3.47
Difference,-0.35,0.36,0.93,-0.39
Surprise %,-13.30%,13.00%,36.90%,-10.10%
EPS trend,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Current estimate,3.35,3.74,12.84,16.09
7 days ago,3.35,3.74,12.84,16.09
30 days ago,3.4,3.74,12.92,16.27
60 days ago,3.4,3.74,12.66,15.41
90 days ago,3.4,3.74,12.66,15.41
EPS revisions,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Up last 7 days,N/A,N/A,1,1
Up last 30 days,N/A,N/A,3,5
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,TITAN.NS,Industry,Sector,S&P 500
Current qtr.,46.30%,N/A,N/A,N/A
Next qtr.,19.50%,N/A,N/A,N/A
Current year,32.80%,N/A,N/A,N/A
Next year,25.30%,N/A,N/A,N/A
Next 5 years (per annum),32.25%,N/A,N/A,N/A
Past 5 years (per annum),3.98%,N/A,N/A,N/A
