,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"42,95,300","47,20,500","67,80,000"
Other short-term investments,"58,15,600","7,49,000","40,92,800"
Total cash,"1,01,10,900","54,69,500","1,08,72,800"
Net receivables,"42,04,500","29,56,900","20,76,000"
Inventory,"7,03,88,200","5,92,48,400","4,92,57,400"
Other current assets,"5,54,000","30,04,100","6,99,700"
Total current assets,"9,58,73,000","7,60,10,100","6,79,44,500"
"Gross property, plant and equipment","1,54,47,400","1,35,87,700","1,11,84,100"
Accumulated depreciation,"-33,34,800","-21,37,200","-12,20,100"
"Net property, plant and equipment","1,21,12,600","1,14,50,500","99,64,000"
Goodwill,"12,30,100","12,30,100","12,30,100"
Intangible assets,"24,01,100","22,64,400","21,07,300"
Other long-term assets,"12,00,700","7,58,200","6,25,000"
Total non-current assets,"2,12,79,500","1,92,32,000","1,64,81,500"
Total assets,"11,71,52,500","9,52,42,100","8,44,26,000"
Current debt,"2,36,13,100","1,69,11,000","1,100"
Accounts payable,"90,59,800","87,77,400","2,84,23,400"
Other current liabilities,"1,50,69,200","20,10,100","17,46,100"
Total current liabilities,"5,46,19,300","4,31,53,800","4,06,24,500"
Long-term debt,"3,16,700",-,-
Deferred tax liabilities,"54,100","31,700","3,300"
Total non-current liabilities,"16,90,900","12,07,700","12,14,100"
Total liabilities,"5,63,10,200","4,43,61,500","4,18,38,600"
Common stock,"8,87,800","8,87,800","8,87,800"
Retained earnings,"2,75,89,700","1,79,19,600","1,18,96,800"
Total stockholders' equity,"6,07,01,500","5,08,98,700","4,23,23,800"
Total liabilities and stockholders' equity,"11,71,52,500","9,52,42,100","8,44,26,000"
