,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"43,72,400","7,71,900","5,88,100"
Other short-term investments,"1,88,91,700","4,08,89,900","7,59,73,300"
Total cash,"2,32,64,100","4,16,61,800","7,65,61,400"
Net receivables,"2,53,14,300","2,22,79,600","1,75,70,900"
Inventory,"3,58,51,100","3,26,75,900","2,40,06,400"
Other current assets,"53,17,300","47,47,600","40,71,200"
Total current assets,"11,75,51,600","11,46,84,600","13,32,46,100"
"Gross property, plant and equipment","45,91,79,500","41,38,14,200","27,92,88,500"
Accumulated depreciation,"-6,19,55,200","-4,23,35,300","-2,53,16,800"
"Net property, plant and equipment","39,72,24,300","37,14,78,900","25,39,71,700"
Goodwill,"2,84,71,000","1,03,63,000","1,08,51,100"
Intangible assets,"4,68,84,000","3,04,23,200","34,34,900"
Other long-term assets,"96,71,300","62,34,600","20,18,100"
Total non-current assets,"52,78,05,000","45,68,92,100","28,89,40,400"
Total assets,"64,53,56,600","57,15,76,700","42,21,86,500"
Current debt,"3,26,71,900","3,61,67,500","2,10,36,500"
Accounts payable,"2,84,55,500","2,50,40,500","1,85,72,700"
Other current liabilities,"3,08,15,600","2,60,10,500","3,15,04,200"
Total current liabilities,"12,85,70,600","11,33,89,100","8,32,92,000"
Long-term debt,"19,55,11,600","15,86,34,700","6,37,08,400"
Deferred tax liabilities,"3,55,38,900","3,18,27,000","2,78,23,700"
Other long-term liabilities,"63,600","65,700","61,100"
Total non-current liabilities,"23,27,75,100","19,42,15,800","9,48,81,200"
Total liabilities,"36,13,45,700","30,76,04,900","17,81,73,200"
Common stock,"27,46,400","27,46,100","27,45,100"
Retained earnings,"5,57,35,000","5,33,88,600","5,09,96,900"
Total stockholders' equity,"28,38,89,400","26,38,11,600","24,39,16,200"
Total liabilities and stockholders' equity,"64,53,56,600","57,15,76,700","42,21,86,500"
