,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,"1,163.00","1,174.00","1,155.00","1,159.90","1,116.29","42,657"
08-Apr-2010,"1,147.60","1,166.00","1,138.05","1,163.10","1,119.37","69,738"
07-Apr-2010,"1,140.00","1,162.90","1,140.00","1,149.95","1,106.72","37,900"
06-Apr-2010,"1,147.50","1,158.50","1,140.10","1,146.65","1,103.54","29,411"
05-Apr-2010,"1,151.00","1,167.70","1,142.30","1,147.05","1,103.93","33,395"
01-Apr-2010,"1,141.50","1,151.85","1,136.00","1,144.25","1,101.23","1,29,245"
31-Mar-2010,"1,130.00","1,161.90","1,130.00","1,154.85","1,111.43","1,08,222"
30-Mar-2010,"1,149.50","1,152.80","1,134.00","1,145.20","1,102.14","80,771"
29-Mar-2010,"1,111.00","1,146.50","1,107.00","1,141.00","1,098.10","83,328"
26-Mar-2010,"1,089.00","1,118.90","1,085.00","1,115.95","1,073.99","1,02,350"
25-Mar-2010,"1,114.80","1,114.80","1,072.50","1,086.35","1,045.51","5,75,656"
23-Mar-2010,"1,125.00","1,125.00","1,107.55","1,111.00","1,069.23","96,928"
22-Mar-2010,"1,094.00","1,132.75","1,094.00","1,123.70","1,081.45","1,68,236"
19-Mar-2010,"1,094.00","1,125.50","1,094.00","1,122.45","1,080.25","2,10,978"
18-Mar-2010,"1,082.30","1,112.00","1,025.00","1,106.05","1,064.47","3,09,482"
17-Mar-2010,"1,120.00","1,128.70","1,090.10","1,099.00","1,057.68","1,58,750"
16-Mar-2010,"1,110.00","1,120.00","1,095.50","1,117.95","1,075.92","2,64,272"
15-Mar-2010,"1,098.50","1,119.90","1,094.00","1,113.05","1,071.20","2,55,900"
12-Mar-2010,"1,115.00","1,119.50","1,094.00","1,106.70","1,065.09","80,067"
11-Mar-2010,"1,110.10","1,120.00","1,101.90","1,112.05","1,070.24","77,414"
10-Mar-2010,"1,091.00","1,114.00","1,091.00","1,108.95","1,067.26","2,99,608"
09-Mar-2010,"1,115.95","1,118.00","1,090.00","1,092.60","1,051.52","1,32,044"
08-Mar-2010,"1,101.60","1,123.90","1,092.05","1,111.65","1,069.86","3,06,978"
05-Mar-2010,"1,098.00","1,114.65","1,090.00","1,097.75","1,056.48","3,43,773"
04-Mar-2010,"1,080.00","1,100.00","1,075.00","1,091.45","1,050.42","1,66,225"
03-Mar-2010,"1,100.00","1,100.00","1,066.15","1,079.75","1,039.16","1,92,373"
02-Mar-2010,"1,050.00","1,085.00","1,029.40","1,074.65","1,034.25","95,622"
26-Feb-2010,"1,042.00","1,049.95","1,022.55","1,040.05","1,000.95","4,22,959"
25-Feb-2010,"1,024.00","1,039.45",998.10,"1,033.60",994.74,"2,98,315"
24-Feb-2010,"1,026.00","1,035.00",992.05,"1,022.80",984.35,"82,751"
23-Feb-2010,"1,035.80","1,040.00","1,017.15","1,024.80",986.27,"5,44,180"
22-Feb-2010,"1,052.00","1,052.00","1,007.50","1,035.80",996.86,"1,14,581"
19-Feb-2010,"1,025.00","1,039.70","1,010.10","1,027.35",988.73,"1,11,290"
18-Feb-2010,"1,047.45","1,047.45","1,018.10","1,025.00",986.46,"2,02,540"
17-Feb-2010,"1,055.00","1,059.90","1,032.15","1,047.45","1,008.07","4,99,371"
16-Feb-2010,"1,010.00","1,052.00",996.00,"1,043.20","1,003.98","9,43,309"
