Insider,Insider Type,Type,Date,Shares
Balasubramaniam (G),UNREPORTED,Direct,13-Mar-2020,369
Jhanwar (Kailash Chandra),UNREPORTED,Direct,03-Dec-2019,"1,000"
Baury (Manish),UNREPORTED,Direct,14-Feb-2020,323
Balya (Rakesh),UNREPORTED,Direct,03-Jan-2020,"1,215"
Saxena (Rajiv Kumar),UNREPORTED,Direct,03-Jan-2020,658
Gautam (Mukesh Chandra),UNREPORTED,Direct,06-Dec-2016,658
Rajgaria (Pramod),UNREPORTED,Direct,03-Dec-2019,827
IGH Holdings Pvt Ltd,UNREPORTED,Direct,08-Nov-2019,"93,611"
"Aditya Marketing & Manufacturing Company, Ltd.",Promoter,Direct,25-Oct-2019,"77,000"
Birla Group Holdings Pvt Ltd,Promoter,Direct,08-Jul-2019,2
Daga (Atul),Chief Financial Officer,Direct,06-Sep-2016,500
Patil (Kiran Dattatrayrao),UNREPORTED,Direct,09-Mar-2017,"3,048"
Agarwal (Vivek),Divisional Officer,Direct,04-Dec-2018,"1,818"
Mahendrakumar (M),UNREPORTED,Direct,02-Aug-2018,200
Poddar (Sunjoy),UNREPORTED,Direct,01-Nov-2018,500
Prasad (Maddi Soma Sekhara Rama kali),UNREPORTED,Direct,02-Mar-2019,674
Singh (Harendra Pratap),UNREPORTED,Direct,07-Jan-2016,658
UltraTech Employee Welfare Trust,Institution- Corporation,Direct,19-Dec-2018,"25,500"
Tiwari (Shiv Kumar),UNREPORTED,Direct,04-Oct-2018,"1,452"
Ganesan (V),UNREPORTED,Direct,05-Dec-2015,658
Trapti Trading & Investments Pvt Ltd,Promoter,Direct,31-Jul-2018,"98,414"
Sindhu (Rajeev Singh),UNREPORTED,Direct,02-Aug-2018,"1,452"
Turquoise Investments & Finance Pvt. Ltd.,Promoter,Direct,27-Oct-2017,"7,900"
Chakrabarti (Somabrata),UNREPORTED,Direct,02-Jul-2018,658
Rao (M V Ramana),UNREPORTED,Direct,01-Mar-2018,658
Tondapu (Venkateswara Rao),UNREPORTED,Direct,04-Jun-2018,658
Gupta (Shailendra Kumar),UNREPORTED,Direct,04-Sep-2017,"1,000"
Srivastava (Rajesh),UNREPORTED,Direct,03-May-2018,"1,825"
Khuntwal (Ashok Badrilal),UNREPORTED,Direct,07-Jan-2016,658
Puranmalka (O P),Managing Director,Direct,10-Sep-2012,"1,347"
Vasudeva (Rajeev),UNREPORTED,Direct,01-Mar-2018,700
Pandey (C S),UNREPORTED,Direct,03-Jan-2018,"1,411"
Tewari (Navin),UNREPORTED,Direct,02-Nov-2017,"2,246"
Agarwal (Mukesh),UNREPORTED,Direct,04-Oct-2017,"1,130"
Krishna (G M),UNREPORTED,Direct,06-Dec-2016,"1,588"
Mathur (Sanjay),UNREPORTED,Direct,06-Sep-2016,643
Mohnot (Rahul),Chief Executive Officer,Direct,03-May-2016,893
Toubro Holdings Ltd,Promoter,Direct,16-Mar-2016,"65,939"
Shekhar (Chander),UNREPORTED,Direct,07-Jan-2016,893
Rati (Dwarka Dass),Director (Non-Executive),Indirect,01-Jun-2012,0
Chatterjee (S K),Compliance officer,Direct,07-Aug-2012,"2,000"
"Umang Commercial Co., Ltd.",Promoter,Direct,24-Jul-2012,"21,500"
Mehta (Rajeev),UNREPORTED,Direct,08-Oct-2010,"1,616"
Agarwal (M B),Vice President,Direct,09-Mar-2010,"1,200"
