,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"33,13,90,000","21,83,60,000","17,19,70,000","16,12,30,000"
Cost of revenue,"17,64,90,000","11,09,20,000","8,23,80,000","7,92,20,000"
Gross profit,"15,49,00,000","10,74,40,000","8,95,90,000","8,20,10,000"
Research development,-,"3,40,000","1,90,000","2,30,000"
Selling general and administrative,-,"1,01,30,000","94,10,000","84,20,000"
Total operating expenses,"10,98,80,000","7,59,60,000","6,09,10,000","5,62,90,000"
Operating income or loss,"4,50,20,000","3,14,80,000","2,86,80,000","2,57,20,000"
Interest expense,"1,63,20,000","89,60,000","58,90,000","58,70,000"
Income before tax,"2,00,70,000","1,68,40,000","2,30,50,000","1,92,20,000"
Income tax expense,"34,40,000","16,50,000","27,50,000","18,90,000"
Income from continuing operations,"1,65,70,000","1,51,90,000","2,03,00,000","1,73,30,000"
Net income,"1,36,50,000","1,44,70,000","2,02,20,000","1,72,70,000"
Net income available to common shareholders,"1,36,50,000","1,44,70,000","2,02,20,000","1,72,70,000"
Basic EPS,-,18.95,26.53,22.71
Diluted EPS,-,18.94,26.52,22.61
Basic average shares,-,"7,64,013","7,62,310","7,60,526"
Diluted average shares,-,"7,64,135","7,62,447","7,64,034"
EBITDA,-,"3,54,90,000","3,56,90,000","3,18,10,000"
