,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,102.60,103.30,101.07,101.93,86.31,"24,43,688"
08-Apr-2010,102.00,104.10,101.63,102.90,87.13,"10,20,498"
07-Apr-2010,103.67,104.10,101.73,102.47,86.77,"9,12,932"
06-Apr-2010,100.67,103.30,100.07,102.67,86.94,"19,67,328"
05-Apr-2010,98.00,101.17,98.00,100.13,84.79,"9,02,718"
01-Apr-2010,100.00,100.67,98.83,99.60,84.34,"9,09,012"
31-Mar-2010,99.13,101.10,97.33,99.47,84.23,"19,67,145"
30-Mar-2010,99.67,100.07,97.87,98.40,83.32,"7,33,359"
29-Mar-2010,100.97,101.30,98.73,99.07,83.89,"12,55,238"
26-Mar-2010,101.63,102.00,100.30,100.60,85.18,"8,04,068"
25-Mar-2010,103.53,104.00,100.00,100.80,85.35,"19,27,060"
23-Mar-2010,104.87,104.87,102.73,103.67,87.78,"2,70,926"
22-Mar-2010,103.33,105.80,102.13,103.33,87.50,"12,23,277"
19-Mar-2010,104.67,104.97,103.33,104.53,88.52,"6,25,806"
18-Mar-2010,105.70,108.00,103.33,103.57,87.70,"18,60,774"
17-Mar-2010,104.33,107.33,104.33,105.70,89.50,"5,47,720"
16-Mar-2010,105.27,105.27,102.67,104.03,88.09,"8,57,109"
15-Mar-2010,105.70,105.90,103.03,104.33,88.35,"10,35,984"
12-Mar-2010,107.63,107.67,104.47,105.70,89.50,"6,11,961"
11-Mar-2010,105.90,108.13,104.07,107.30,90.86,"7,04,499"
10-Mar-2010,106.00,106.87,105.07,105.90,89.67,"12,91,446"
09-Mar-2010,107.40,107.90,104.97,105.37,89.22,"4,45,551"
08-Mar-2010,112.53,112.53,106.40,107.20,90.77,"13,25,590"
05-Mar-2010,104.33,110.07,103.60,109.40,92.64,"35,55,266"
04-Mar-2010,103.87,105.10,103.07,104.00,88.06,"17,66,482"
03-Mar-2010,102.80,104.33,102.67,104.00,88.06,"11,56,731"
02-Mar-2010,102.63,102.63,101.33,102.07,86.43,"2,63,133"
26-Feb-2010,102.00,102.70,100.13,100.93,85.47,"6,27,318"
25-Feb-2010,104.47,105.30,100.73,101.20,85.69,"10,56,158"
24-Feb-2010,106.27,106.53,102.23,103.33,87.50,"10,10,328"
23-Feb-2010,103.13,106.67,103.03,106.57,90.24,"13,72,148"
22-Feb-2010,105.33,105.33,103.07,103.97,88.04,"5,87,325"
19-Feb-2010,106.00,106.67,103.47,104.00,88.06,"12,88,294"
18-Feb-2010,105.00,105.60,104.00,105.03,88.94,"11,83,498"
17-Feb-2010,101.27,104.33,100.87,103.93,88.01,"11,16,966"
16-Feb-2010,101.07,101.67,99.77,100.00,84.68,"9,45,034"
15-Feb-2010,101.30,102.43,99.37,100.80,85.35,"8,28,448"
11-Feb-2010,101.87,102.43,100.40,100.73,85.30,"2,92,598"
10-Feb-2010,102.67,103.03,100.73,101.23,85.72,"3,52,016"
09-Feb-2010,103.20,103.20,101.13,101.87,86.26,"13,14,008"
08-Feb-2010,104.67,104.67,101.47,101.90,86.29,"4,63,610"
06-Feb-2010,-,-,-,-,-,-
05-Feb-2010,102.67,105.87,100.37,102.90,87.13,"13,29,260"
04-Feb-2010,104.67,107.23,103.80,104.43,88.43,"21,86,901"
03-Feb-2010,101.40,105.77,100.53,104.90,88.83,"15,91,876"
02-Feb-2010,104.53,104.77,99.70,101.13,85.64,"8,37,351"
01-Feb-2010,105.27,105.37,102.33,103.00,87.22,"9,90,854"
29-Jan-2010,104.00,105.03,102.33,103.60,87.73,"10,90,250"
28-Jan-2010,105.97,107.00,104.60,105.13,89.02,"11,97,128"
27-Jan-2010,107.20,107.20,103.07,103.60,87.73,"8,13,660"
25-Jan-2010,107.20,108.00,105.47,106.73,90.38,"3,53,222"
22-Jan-2010,106.67,108.00,103.43,106.70,90.35,"12,08,554"
21-Jan-2010,110.00,111.13,107.60,108.90,92.21,"10,52,816"
20-Jan-2010,112.00,112.50,109.33,109.97,93.12,"18,98,559"
19-Jan-2010,114.40,114.40,111.33,111.60,94.50,"5,16,950"
