,value1,value2,value3,value4
Earnings estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
No. of analysts,2,2,18,19
Avg. Estimate,229.18B,239.22B,897.77B,988.04B
Low estimate,217.91B,229.71B,806.81B,855.1B
High estimate,240.46B,248.72B,1.06T,1.23T
Year ago EPS,6.16,5.2,N/A,N/A
Revenue estimate,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Year ago sales,243.61B,276.3B,929.23B,897.77B
Sales growth (year/est),-5.90%,-13.40%,-3.40%,10.10%
Earnings history,31/12/2017,31/3/2018,30/6/2018,30/9/2018
Est. EPS,6.75,6.82,6,3.42
Actual EPS,6.16,5.2,4.12,3.05
Difference,-0.59,-1.62,-1.88,-0.37
Surprise %,-8.70%,-23.80%,-31.30%,-10.80%
EPS trend,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,5.47,9.37,23.56,31.82
30 days ago,5.47,9.37,23.56,31.82
60 days ago,5.47,9.37,23.56,31.82
90 days ago,5.47,9.37,23.56,31.82
EPS revisions,Current qtr.Dec 2018),Next qtr.Mar 2019),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,N/A,2
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,VEDL.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),12.90%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
