,Most-recent transaction,Date,Shares owned as of transaction date
Babu (P S S V Prasad),Other,10-Aug-2018,"6,169"
Chauhan (Avishkar),Sale,24-Sep-2018,"3,490"
Gupta (Amitabh),Acquisition,05-Feb-2020,"10,000"
Krishnan (Navaneetha N),Other,10-Aug-2018,"11,131"
Mukherjee (Sandip),Other,10-Aug-2018,"8,200"
Muthukumarasamy (D),Other,10-Aug-2018,"24,790"
Patel (Anand),Sale,28-Aug-2018,479
Suresh Kumar (M),Other,10-Aug-2018,"27,704"
Tadi (Shrinivasa Rao),Other,10-Aug-2018,"12,613"
Vora (Rahul D),Other,10-Aug-2018,"5,872"
