,value1,value2,value3,value4
Earnings estimate,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
No. of analysts,7,5,41,41
Avg. Estimate,138.6B,140.61B,547.55B,579.47B
Low estimate,135.34B,137.93B,540.93B,535.77B
High estimate,142.44B,143.06B,577.92B,641.7B
Year ago EPS,4.67,4.28,17.43,17.94
Revenue estimate,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Year ago sales,140.62B,136.26B,554.21B,547.55B
Sales growth (year/est),-1.40%,3.20%,-1.20%,5.80%
Earnings history,31/3/2017,30/6/2017,30/9/2017,31/12/2017
Est. EPS,4.4,4.1,4.27,4.58
Actual EPS,4.67,4.28,4.52,4.02
Difference,0.27,0.18,0.25,-0.56
Surprise %,6.10%,4.40%,5.90%,-12.20%
EPS trend,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Current estimate,4.58,4.69,17.94,19.55
7 days ago,4.58,4.69,17.94,19.55
30 days ago,4.51,4.69,17.93,19.52
60 days ago,4.68,4.69,18.24,19.54
90 days ago,4.68,4.69,18.2,19.52
EPS revisions,Current qtr.Mar 2018),Next qtr.Jun 2018),Current year (2018),Next year (2019)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,1,1,1,2
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,WIPRO.NS,Industry,Sector,S&P 500
Current qtr.,-1.90%,N/A,N/A,N/A
Next qtr.,9.60%,N/A,N/A,N/A
Current year,2.90%,N/A,N/A,N/A
Next year,9.00%,N/A,N/A,N/A
Next 5 years (per annum),7.54%,N/A,N/A,N/A
Past 5 years (per annum),3.81%,N/A,N/A,N/A
