Insider,Insider Type,Type,Date,Shares
Sanjiv (K R),UNREPORTED,Direct,15-Jun-2020,"8,000"
Neemuchwala (Abidali Z.),UNREPORTED,Direct,05-Jun-2020,"75,000"
Chawla (Ashish),UNREPORTED,Direct,02-Jun-2020,"20,631"
Chandrana (Hiral Suresh),UNREPORTED,Direct,24-Sep-2019,"11,480"
Chandrasekhar (S N),UNREPORTED,Direct,26-May-2020,"10,400"
Dalal (Jatin Pravinchandra),Chief Financial Officer,Direct,20-May-2020,"95,000"
Balasubramanian (K),UNREPORTED,Direct,22-Apr-2020,"19,855"
Mohan (R),UNREPORTED,Direct,22-Apr-2020,"34,368"
Sharma (kapil),UNREPORTED,Direct,21-Apr-2020,"6,535"
Shenoy (Narayan),UNREPORTED,Direct,22-Apr-2020,"7,333"
Surbhat (Chandrashekar N),UNREPORTED,Direct,22-Apr-2020,"5,600"
Ukil (Rajan),UNREPORTED,Direct,22-Apr-2020,"16,000"
Firake (Vinay),UNREPORTED,Direct,13-Sep-2019,800
Acharya (Deepak),UNREPORTED,Direct,25-Mar-2020,"14,933"
Padmanabhan (Anand),UNREPORTED,Direct,25-Mar-2020,"98,445"
Das (Supriya),UNREPORTED,Direct,25-Mar-2020,"25,537"
Sridharan (Kumudha),UNREPORTED,Direct,17-Feb-2020,"19,200"
Bhanu Murthy (B M),UNREPORTED,Direct,03-Jan-2020,"35,000"
Balasubramanian (N S),UNREPORTED,Direct,18-Mar-2020,"12,000"
Joshi (Malay),UNREPORTED,Direct,18-Mar-2020,"12,512"
Bohra (Dipak Kumar),UNREPORTED,Direct,24-Oct-2019,"12,800"
Sahadev (B),UNREPORTED,Direct,09-Mar-2020,"20,800"
Martinoli (Christophe),UNREPORTED,Direct,09-Mar-2020,"17,744"
Gadgil (Samir),UNREPORTED,Direct,25-Feb-2020,"27,200"
Gantasai (Prasad),UNREPORTED,Direct,29-Jan-2020,"13,350"
Nair (Vipin Chandran),UNREPORTED,Direct,28-Feb-2020,"7,333"
Chauhan (Harmeet),UNREPORTED,Direct,27-Feb-2020,"55,000"
Kumar (N S),UNREPORTED,Direct,27-Feb-2020,"19,950"
Nagpaul (Manoj),UNREPORTED,Direct,27-Feb-2020,"16,000"
Duryee (Steven),UNREPORTED,Direct,27-Feb-2020,"26,667"
Pallia (Srinivas),UNREPORTED,Direct,23-Jan-2020,"41,000"
Gohar (Rajpal),UNREPORTED,Direct,04-Oct-2019,"11,251"
Adhya (Biplab),UNREPORTED,Direct,24-Sep-2019,"2,550"
Ramaswamy (Viswanathan),UNREPORTED,Direct,30-Sep-2019,"5,442"
Philipose (Ashok),UNREPORTED,Direct,03-Jan-2020,"5,333"
