ttm,31/3/2019,31/3/2018,31/3/2017
"13,36,27,582","14,48,75,982","13,03,36,047","10,01,62,522"
-,"22,75,701","23,67,691","20,28,964"
"7,78,04,889","7,32,06,289","5,57,97,724","4,21,54,320"
"20,66,04,972","19,81,12,872","12,52,94,301","10,62,65,280"
"-26,86,56,560","2,34,90,040","6,20,45,363","5,05,34,704"
"39,60,690","63,97,390","1,97,13,163","1,71,35,848"
"-20,60,62,242","1,70,92,658","4,23,32,200","3,33,98,856"
"-20,60,62,242","1,70,92,658","4,23,32,200","3,33,98,856"
"-20,60,62,242","1,70,92,658","4,23,32,200","3,33,98,856"
-,7.40,18.46,15.82
-,7.33,18.09,15.40
-,"23,09,297","22,92,768","21,10,704"
-,"23,31,419","23,39,753","21,68,766"
