Insider,Insider Type,Type,Date,Shares
Misra (Sanjiv),UNREPORTED,Direct,03-Jun-2020,"19,750"
Dakalia (Swati),UNREPORTED,Direct,16-May-2019,"25,000"
Gupta (Sumit),Group President,Direct,17-May-2019,"25,000"
Kumar (Amit),Group President,Direct,25-Jun-2019,"20,000"
Mamtani (Amit),UNREPORTED,Direct,25-Jun-2019,"8,500"
Kapur (Madhu),Promoter,Direct,18-Mar-2020,"142,475,000"
Dawra (Vikas),UNREPORTED,Direct,19-Mar-2020,"230,875"
Maroo (Asheesh),UNREPORTED,Direct,18-Mar-2020,"48,800"
Mahajan (Vishal),UNREPORTED,Direct,18-Mar-2020,"155,574"
Nambiar (Sanjay),Group President,Direct,18-Mar-2020,"25,000"
Ganesan (Anand),UNREPORTED,Direct,17-Mar-2020,"28,500"
Swarup (Raghavendra),UNREPORTED,Direct,18-Mar-2020,"2,719"
Anchlia (Abhishek),UNREPORTED,Direct,17-Mar-2020,424
Goel (Gaurav),UNREPORTED,Direct,31-Dec-2019,"130,000"
Rao (Shubhada),Group President,Direct,31-Dec-2019,"405,050"
Sahni (Nikhil),Group President,Direct,30-Dec-2019,"180,000"
Massand (Ajay),UNREPORTED,Direct,31-Dec-2019,"32,000"
Agrawal (Arun),Group President,Direct,05-Sep-2019,"100,000"
Prasad (Akash Kishore),UNREPORTED,Direct,23-Dec-2019,"2,000"
Pawania (Jayant),UNREPORTED,Direct,29-May-2019,"35,000"
Jain (Saurabh),UNREPORTED,Direct,23-Dec-2019,"23,500"
Nambiar (Sudarshan),UNREPORTED,Direct,11-Jun-2019,"60,000"
Bhambare (Sudeep),UNREPORTED,Direct,21-Aug-2019,"22,000"
Yes Capital (India) Pvt Ltd,Promoter,Direct,27-Sep-2019,"55,200,000"
Dalal (Nirav),Group President,Direct,11-Jun-2019,"535,000"
Singh (Krishna Mohan),UNREPORTED,Direct,30-Sep-2019,"45,875"
Ahluwala (Karan Ravi),UNREPORTED,Direct,10-Aug-2019,"10,000"
Mehta (Ajay),President,Direct,24-Sep-2019,"103,000"
Juneja (Kapil),Group President,Direct,24-Sep-2019,"689,363"
Vora (Manish),UNREPORTED,Direct,16-May-2019,"30,000"
Monga (Rajat),Group President,Direct,14-Jun-2019,"1,000,000"
Morgan Credits Pvt Ltd,Promoter,Direct,20-Sep-2019,"70,250,000"
Nagpal (Puneet),UNREPORTED,Direct,19-Sep-2019,"18,750"
Silver Stone Family Private Trust,Institution- Corporation,Direct,28-Jun-2019,"3,500,000"
Sureka (Amit),Group President,Direct,16-May-2019,"14,900"
Desai (Paras),UNREPORTED,Direct,13-Sep-2019,500
Agarwal (Ashish),Other Executive,Direct,22-Aug-2019,"200,000"
Puri (Nitin),UNREPORTED,Direct,05-Sep-2019,"20,000"
Janardhanan (Manikandan),UNREPORTED,Direct,16-Aug-2019,"1,250"
Ayyar (Subramanian),UNREPORTED,Direct,14-Aug-2019,"92,223"
Dhingra (Rinki),UNREPORTED,Direct,20-Jun-2019,"40,000"
Chandiwala (Shabeena),UNREPORTED,Direct,01-Aug-2019,"72,500"
Prabhakaran (Prasanth E),UNREPORTED,Direct,27-Jun-2019,"12,000"
Rajan (Ajay),UNREPORTED,Direct,26-Jul-2019,"21,500"
Koneti (Gopinath),UNREPORTED,Direct,25-Jul-2019,"70,320"
Shah (Amit),UNREPORTED,Direct,15-May-2019,"10,000"
Grover (Rajat),UNREPORTED,Direct,17-Jun-2019,"10,000"
Chandgude (Ajit),UNREPORTED,Direct,19-Jun-2019,"40,000"
Sawhney (Guljiv Singh),Group President,Direct,29-May-2019,"10,000"
Narayanan (Ganesh),UNREPORTED,Direct,13-Jun-2019,"39,350"
Gandhi (Jyoti),UNREPORTED,Direct,13-Jun-2019,"125,000"
Malik (Punit),Group President,Direct,22-May-2019,"50,000"
Budhiraja (Yogesh),UNREPORTED,Direct,15-May-2019,"89,000"
Dave (Lata),UNREPORTED,Direct,27-May-2019,"10,000"
Dhawl (Peacho),UNREPORTED,Direct,20-May-2019,"2,200"
Kumar (Manish),UNREPORTED,Direct,17-May-2019,"11,250"
Oberoi (Asit),Group President,Direct,16-May-2019,"26,400"
Dey (Devamalya),Group President,Direct,16-May-2019,"100,000"
Joshi (Shilpa),UNREPORTED,Direct,15-May-2019,"3,000"
Mani (Shyam),UNREPORTED,Direct,15-May-2019,"20,000"
