,Open,High,Low,Close*,Adj. close**,Volume
09-Apr-2010,131.20,133.54,130.77,132.18,118.95,"9,62,023"
08-Apr-2010,129.39,133.31,129.09,129.98,116.96,"14,74,002"
07-Apr-2010,133.12,134.48,130.56,131.29,118.15,"14,34,631"
06-Apr-2010,130.00,133.77,128.90,131.88,118.67,"18,15,713"
05-Apr-2010,126.51,130.12,125.74,129.63,116.65,"14,48,878"
01-Apr-2010,126.56,128.34,124.99,125.36,112.81,"9,39,861"
31-Mar-2010,128.62,129.84,125.08,125.74,113.15,"18,06,345"
30-Mar-2010,126.96,128.90,126.18,128.15,115.32,"18,34,161"
29-Mar-2010,128.99,131.01,125.29,126.09,113.46,"15,34,094"
26-Mar-2010,126.51,132.18,124.28,129.51,116.54,"28,78,908"
25-Mar-2010,122.81,127.19,122.34,125.62,113.04,"23,35,058"
23-Mar-2010,124.21,125.08,123.02,123.35,111.00,"11,40,941"
22-Mar-2010,124.12,126.49,122.15,122.95,110.64,"16,66,256"
19-Mar-2010,127.03,127.03,123.86,124.57,112.09,"16,18,290"
18-Mar-2010,128.20,128.34,124.73,126.02,113.40,"15,89,273"
17-Mar-2010,128.03,130.66,127.05,127.52,114.75,"16,21,795"
16-Mar-2010,127.52,129.51,126.32,127.10,114.37,"14,20,977"
15-Mar-2010,125.27,128.67,125.27,128.13,115.30,"6,94,316"
12-Mar-2010,127.66,133.05,127.66,129.91,116.90,"15,62,848"
11-Mar-2010,126.56,131.24,124.80,130.73,117.64,"12,16,623"
10-Mar-2010,126.56,130.68,124.49,128.15,115.32,"13,55,884"
09-Mar-2010,121.99,129.44,121.99,127.59,114.81,"11,14,322"
08-Mar-2010,127.96,132.04,127.73,128.95,116.04,"18,15,037"
05-Mar-2010,126.56,128.67,125.41,126.93,114.22,"19,63,660"
04-Mar-2010,130.73,130.73,126.04,126.77,114.08,"19,27,134"
03-Mar-2010,124.45,131.92,124.45,130.92,117.81,"82,57,528"
02-Mar-2010,117.18,126.46,116.95,124.96,112.45,"28,41,093"
26-Feb-2010,119.06,119.06,114.32,115.78,104.18,"11,10,664"
25-Feb-2010,115.78,119.06,114.53,117.21,105.47,"24,08,948"
24-Feb-2010,118.12,119.06,115.31,116.15,104.52,"24,57,413"
23-Feb-2010,117.21,119.53,115.80,116.90,105.20,"20,17,179"
22-Feb-2010,119.34,119.34,116.95,117.21,105.47,"5,32,468"
