,value1,value2,value3,value4
Earnings estimate,Current qtr.Sep 2018),Next qtr.Dec 2018),Current year (2019),Next year (2020)
No. of analysts,10,1,20,21
Avg. Estimate,12.03B,25.65B,108.08B,122.17B
Low estimate,23.87B,25.65B,99.16B,108.42B
High estimate,27.2B,25.65B,112.6B,135.1B
Year ago EPS,N/A,N/A,N/A,N/A
Revenue estimate,Current qtr.Sep 2018),Next qtr.Dec 2018),Current year (2019),Next year (2020)
Year ago sales,19.07B,18.25B,65.34B,108.08B
Sales growth (year/est),-36.90%,40.60%,65.40%,13.00%
Earnings history,Invalid Date,Invalid Date,30/6/2017,30/6/2018
Est. EPS,N/A,N/A,4.02,4.39
Actual EPS,N/A,N/A,3.4,3.34
Difference,N/A,N/A,-0.62,-1.05
Surprise %,N/A,N/A,-15.40%,-23.90%
EPS trend,Current qtr.Sep 2018),Next qtr.Dec 2018),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,4.14,4.48,17.94,22.03
30 days ago,4.14,4.48,17.94,22.03
60 days ago,4.14,4.48,17.94,22.03
90 days ago,4.14,4.48,17.94,22.03
EPS revisions,Current qtr.Sep 2018),Next qtr.Dec 2018),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,N/A
Up last 30 days,N/A,N/A,1,1
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,ADANIPORTS.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),10.47%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
