,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Cash and cash equivalents,"7,19,54,600","4,79,81,900","82,34,800","95,02,100"
Other short-term investments,"3,03,100","1,58,13,900","2,63,70,300","1,92,41,000"
Total cash,"7,22,57,700","6,37,95,800","3,46,05,100","2,87,43,100"
Net receivables,"3,20,21,400","2,78,96,600","4,30,99,100","2,69,29,900"
Inventory,"28,82,800","80,66,800","52,02,900","65,70,900"
Other current assets,"33,18,600","17,37,300","15,15,000","61,91,900"
Total current assets,"14,81,99,100","14,63,11,400","14,29,00,200","11,90,74,200"
"Gross property, plant and equipment","36,79,51,500","31,82,49,900","26,28,53,600","23,25,62,900"
Accumulated depreciation,"-6,09,09,400","-4,56,05,800","-3,29,57,400","-2,17,30,600"
"Net property, plant and equipment","30,70,42,100","27,26,44,100","22,98,96,200","21,08,32,300"
Goodwill,"3,28,62,500","3,26,79,300","2,66,71,300","2,67,03,900"
Intangible assets,"1,94,03,800","2,07,25,600","1,55,88,200","1,81,38,500"
Other long-term assets,"67,56,900","34,33,600","24,76,000","1,15,45,800"
Total non-current assets,"47,38,37,600","41,89,63,200","33,08,51,000","31,67,76,600"
Total assets,"62,20,36,700","56,52,74,600","47,37,51,200","43,58,50,800"
Current debt,"3,89,43,400","7,66,23,400","1,57,51,900","4,22,10,200"
Accounts payable,"72,87,400","57,20,700","48,97,300","49,37,200"
Other current liabilities,"13,82,800","13,87,700","10,58,200","7,70,700"
Total current liabilities,"7,69,64,700","10,35,16,900","4,04,43,600","6,55,59,100"
Long-term debt,"26,18,13,300","19,88,33,200","20,62,89,700","17,99,32,400"
Deferred tax liabilities,"28,69,700","21,60,300","14,24,000","21,57,100"
Deferred revenues,"1,02,20,200","72,56,500","2,53,900","1,74,300"
Other long-term liabilities,"43,27,700","43,72,100","45,32,600","35,17,400"
Total non-current liabilities,"28,66,41,200","21,42,76,300","22,11,23,700","19,36,39,500"
Total liabilities,"36,36,05,900","31,77,93,200","26,15,67,300","25,91,98,600"
Common stock,"40,63,500","41,41,900","41,41,900","41,41,900"
Retained earnings,"20,29,21,700","17,68,95,800","14,58,20,000","11,72,24,200"
Total stockholders' equity,"25,62,34,900","24,53,82,000","21,06,88,300","17,52,59,800"
Total liabilities and stockholders' equity,"62,20,36,700","56,52,74,600","47,37,51,200","43,58,50,800"
