,ttm,31/3/2020,31/3/2019,31/3/2018,31/3/2017
Total revenue,"11,36,10,900","11,36,10,900","10,78,09,800","10,96,08,900","8,42,73,500"
Cost of revenue,"3,40,53,600","3,40,53,600","3,53,15,200","3,08,68,900","2,80,25,300"
Gross profit,"7,95,57,300","7,95,57,300","7,24,94,600","7,87,40,000","5,62,48,200"
Selling general and administrative,"30,97,000","30,97,000","25,91,400","20,61,800","17,72,700"
Total operating expenses,"1,92,60,400","1,92,60,400","1,40,27,800","1,80,69,900","1,20,72,000"
Operating income or loss,"6,02,96,900","6,02,96,900","5,84,66,800","6,06,70,100","4,41,76,200"
Interest expense,"1,90,89,800","1,90,89,800","1,41,59,800","1,19,76,900","1,20,39,600"
Income before tax,"4,24,39,200","4,24,39,200","5,12,62,800","5,23,41,300","4,17,88,700"
Income tax expense,"45,93,900","45,93,900","1,08,14,700","1,54,41,800","28,63,700"
Income from continuing operations,"3,78,45,300","3,78,45,300","4,04,48,100","3,68,99,500","3,89,22,400"
Net income,"3,76,31,300","3,76,31,300","3,99,02,200","3,67,36,200","3,91,15,200"
Net income available to common shareholders,"3,76,31,300","3,76,31,300","3,99,02,200","3,67,36,200","3,91,15,200"
Basic EPS,-,18.35,19.27,17.74,18.89
Diluted EPS,-,18.35,19.27,17.74,18.89
Basic average shares,-,"20,51,245","20,70,952","20,70,952","20,70,952"
Diluted average shares,-,"20,51,245","20,70,952","20,70,952","20,70,952"
EBITDA,-,"7,83,31,800","7,91,57,400","7,62,01,900","6,54,30,200"
