,value1,value2,value3,value4
Earnings estimate,Current qtr.Sep 2018),Next qtr.Dec 2018),Current year (2019),Next year (2020)
No. of analysts,16,4,29,30
Avg. Estimate,39.14B,48.86B,191.78B,221.61B
Low estimate,45.75B,47.45B,186.43B,201.35B
High estimate,49.48B,51.6B,197.3B,233.9B
Year ago EPS,5.3,5.78,N/A,N/A
Revenue estimate,Current qtr.Sep 2018),Next qtr.Dec 2018),Current year (2019),Next year (2020)
Year ago sales,36.66B,36.56B,141.68B,191.78B
Sales growth (year/est),6.80%,33.70%,35.40%,15.60%
Earnings history,30/9/2017,31/12/2017,31/3/2018,30/6/2018
Est. EPS,5.4,5.86,5.8,5.35
Actual EPS,5.3,5.78,5.01,5.82
Difference,-0.1,-0.08,-0.79,0.47
Surprise %,-1.90%,-1.40%,-13.60%,8.80%
EPS trend,Current qtr.Sep 2018),Next qtr.Dec 2018),Current year (2019),Next year (2020)
Current estimate,0,0,0,0
7 days ago,6.29,6.55,23.5,28.24
30 days ago,6.29,6.55,23.5,28.24
60 days ago,6.29,6.55,23.5,28.24
90 days ago,6.29,6.55,23.5,28.24
EPS revisions,Current qtr.Sep 2018),Next qtr.Dec 2018),Current year (2019),Next year (2020)
Up last 7 days,N/A,N/A,N/A,1
Up last 30 days,1,1,N/A,1
Down last 7 days,N/A,N/A,N/A,N/A
Down last 30 days,N/A,N/A,N/A,N/A
Growth estimates,ASIANPAINT.NS,Industry,Sector,S&P 500
Current qtr.,N/A,N/A,N/A,N/A
Next qtr.,N/A,N/A,N/A,N/A
Current year,N/A,N/A,N/A,N/A
Next year,N/A,N/A,N/A,N/A
Next 5 years (per annum),17.71%,N/A,N/A,N/A
Past 5 years (per annum),N/A,N/A,N/A,N/A
