,ttm,31/3/2019,31/3/2018,31/3/2017
Total revenue,"20,49,07,100","19,16,36,800","16,60,05,800","15,10,07,300"
Cost of revenue,"12,01,69,000","11,49,88,200","9,83,37,600","8,57,97,900"
Gross profit,"8,47,38,100","7,66,48,600","6,76,68,200","6,52,09,400"
Selling general and administrative,-,"1,07,99,400","92,95,400","91,48,300"
Total operating expenses,"5,08,69,500","4,55,86,000","3,91,92,600","3,83,06,400"
Operating income or loss,"3,38,68,600","3,10,62,600","2,84,75,600","2,69,03,000"
Interest expense,"5,20,000","5,10,000","3,42,900","2,83,700"
Income before tax,"3,67,49,500","3,31,07,300","3,06,84,800","2,91,46,100"
Income tax expense,"88,89,500","1,09,88,200","1,04,09,600","94,79,800"
Income from continuing operations,"2,78,60,000","2,21,19,100","2,02,75,200","2,01,62,400"
Net income,"2,71,85,000","2,15,94,900","2,03,89,300","1,93,94,200"
Net income available to common shareholders,"2,71,85,000","2,15,94,900","2,03,89,300","1,93,94,200"
Basic EPS,-,22.51,20.53,20.22
Diluted EPS,-,22.51,20.53,20.22
Basic average shares,-,"9,59,198","9,59,198","9,59,198"
Diluted average shares,-,"9,59,198","9,59,198","9,59,198"
EBITDA,-,"3,79,24,000","3,46,32,400","3,28,18,200"
