Insider,Insider Type,Type,Date,Shares
Rayirth Holding & Trading company Pvt Ltd,Promoter,Direct,21-Jun-2013,"3,950"
Sattva Holding And Trading Pvt. Ltd.,Promoter,Direct,03-Dec-2019,"41,583,563"
Pious Charitable Trust,Institution- Corporation,Direct,20-Mar-2019,"50,724"
Smiti Holding & Trading Company Pvt Ltd,Promoter,Direct,13-Dec-2012,"391,500"
Paramarth Charitable Trust,Institution- Corporation,Direct,20-Mar-2019,"50,724"
Advaita Charitable Trust,Institution- Corporation,Direct,20-Mar-2019,"50,724"
Geetanjali Trading And Investments Private Ltd,Promoter,Direct,02-Jun-2011,"300,000"
Dani (Ashwin Suryakant),Non Executive Vice Chairman,Direct,14-Dec-2011,"88,636"
ACC AP Trust,Promoter,Direct,18-Sep-2019,"785,700"
Choksi (Urvashi Ashwin),Promoter,Direct,27-Feb-2019,"838,110"
ASHWININA CHARITABLE TRUST,Institution- Corporation,Direct,20-Mar-2019,"101,448"
Dani Charitable Foundation,Institution- Corporation,Direct,27-May-2014,"253,620"
Choksi (Ashwin Chimanlal) HUF,Promoter,Direct,20-Feb-2019,"366,640"
Gujarat Organics Ltd.,Promoter,Direct,22-May-2018,"340,000"
Vikatmev Containers Ltd,Promoter,Direct,17-Mar-2015,"18,000"
Hiren Holdings Pvt Ltd,Promoter,Direct,04-Feb-2014,"5,000"
Choksi (Nysha Rupen),Promoter,Direct,11-Aug-2015,"52,750"
Choksi (Rupen Ashwin),Promoter,Direct,08-Oct-2013,17
Rupen Investment & Industries Pvt Ltd,Promoter,Direct,17-Oct-2013,25
Sudhanava Investments & Trading Company Pvt Ltd,Promoter,Direct,23-Sep-2011,"3,521"
Vakil (Abhay Arvind),Director (Non-Executive),Direct,29-Sep-2011,"7,752"
Gandhi (Hiren A),Promoter,Direct,15-Mar-2012,"64,708"
S C Dani Research Foundation P Ltd,Institution- Corporation,Direct,26-May-2014,"253,620"
Vakil (Ragini Varun),UNREPORTED,Direct,22-May-2014,"5,000"
Vakil (Varun Amar),Promoter,Direct,29-Sep-2011,"81,024"
Vakil (Amrita A),Director,Direct,14-May-2014,"2,566,680"
Suprasad Investments And Trading Co Pvt Ltd,Promoter,Direct,04-Feb-2014,"30,000"
Centaurus Trading & Investments Pvt Ltd,Promoter,Direct,26-Nov-2013,"116,500"
Isis Holding & Trading Company Pvt. Ltd.,Promoter,Direct,13-Dec-2012,"461,182"
Gandhi (Satyen A),Promoter,Direct,15-Mar-2012,"64,710"
Balakrishnan (Padinharapattu P),Promoter,Direct,12-Jun-2013,"12,350"
Dani (Jalaj A),Promoter,Direct,14-Feb-2013,"120,000"
Dani (Vita J),Promoter,Direct,20-Mar-2012,375
Asteroids Trading & Investments Pvt Ltd,Promoter,Direct,01-Feb-2013,"22,500"
Jalaj Trading & Investment Company Pvt Ltd,Promoter,Direct,01-Feb-2013,"22,500"
Nehal Trading & Investments Pvt Ltd,Promoter,Direct,01-Feb-2013,"22,500"
Unnati Trading & Investments Pvt Ltd,Promoter,Direct,01-Feb-2013,"22,500"
Vakil (Amar Arvind),Director (Non-Executive),Direct,29-Sep-2011,"81,024"
Vakil (Dipika Amar),Promoter,Direct,01-Feb-2013,"22,500"
Dani (Mudit Jalaj),Promoter,Direct,14-Dec-2011,"11,145"
Dani (Smiti Jalaj),Promoter,Direct,14-Dec-2011,"11,145"
Dani (Hasit A),Promoter,Direct,18-Sep-2012,"129,000"
Vakil (Veenaben Arvind),UNREPORTED,Direct,06-Jun-2012,"22,665"
Dani (Bhuman Saurabh),Promoter,Direct,19-Mar-2012,179
Dani (Bakimchandra Himalal),UNREPORTED,Direct,16-Mar-2012,"3,440"
Dani (Himanshu B),UNREPORTED,Direct,29-Aug-2011,"10,880"
Dani (Saurabh B),UNREPORTED,Direct,15-Mar-2012,"64,708"
Dani Financial Products Pvt. Ltd.,Institution- Corporation,Direct,20-Mar-2012,"10,880"
Himanshu Holdings Pvt Ltd,Institution- Corporation,Direct,20-Mar-2012,240
Dani (Kanan Saurabh),UNREPORTED,Direct,19-Mar-2012,172
Dani (Gargi Himanshu),UNREPORTED,Direct,16-Mar-2012,120
Dani (Ina A),Director (Non-Executive),Direct,14-Dec-2011,"21,766"
Dani (Ishwara Hasit),Promoter,Direct,14-Dec-2011,"22,290"
Dani (Malav A.),Promoter,Direct,14-Dec-2011,"22,290"
Choksi (Jigish Shailesh),Promoter,Direct,25-Oct-2011,"8,293"
Choksi (Manish Mahendra),Promoter,Direct,25-Oct-2011,"21,565"
Choksi (Rhea M),Promoter,Direct,25-Oct-2011,"21,565"
Choksi (Shailesh Chimanlal),Promoter,Direct,25-Oct-2011,"8,293"
Vakil (Vivek Abhay),Promoter,Direct,29-Sep-2011,"7,752"
Choksi (Ashwin),Chairman of the Board,Direct,03-Jun-2011,"10,000"
Life Insurance Corporation of India,Institution- Corporation,Direct,11-Dec-2009,"50,673"
