,Open,High,Low,Close*,Adj. close**,Volume
10-Apr-2018,523.00,549.70,521.40,546.15,545.47,"2,16,89,156"
09-Apr-2018,502.20,522.00,501.20,519.30,518.66,"87,08,770"
06-Apr-2018,502.95,502.95,495.20,500.20,499.58,"38,12,133"
05-Apr-2018,498.40,504.65,495.20,503.10,502.48,"66,82,587"
04-Apr-2018,504.50,504.50,490.25,492.25,491.64,"60,47,813"
03-Apr-2018,494.00,506.00,493.70,501.55,500.93,"60,53,789"
02-Apr-2018,506.75,508.50,492.20,499.05,498.43,"71,20,498"
28-Mar-2018,512.90,512.90,501.60,510.50,509.87,"1,09,80,960"
27-Mar-2018,512.30,522.55,509.05,512.20,511.56,"64,23,140"
26-Mar-2018,499.00,509.30,495.20,507.30,506.67,"94,98,614"
23-Mar-2018,509.50,510.25,496.00,499.50,498.88,"2,93,85,110"
22-Mar-2018,522.60,525.90,516.75,518.20,517.56,"71,94,256"
21-Mar-2018,523.00,532.50,522.50,526.30,525.65,"55,18,826"
20-Mar-2018,509.00,525.00,509.00,521.10,520.45,"53,98,111"
19-Mar-2018,522.60,526.00,517.05,519.45,518.81,"46,56,613"
16-Mar-2018,530.90,532.90,520.50,522.60,521.95,"1,21,46,623"
15-Mar-2018,535.20,539.20,528.25,529.65,528.99,"39,32,830"
14-Mar-2018,528.95,538.00,522.50,536.15,535.48,"49,76,540"
13-Mar-2018,517.10,534.95,514.65,531.50,530.84,"78,46,232"
12-Mar-2018,510.60,521.95,505.30,519.20,518.56,"52,83,334"
09-Mar-2018,522.45,522.55,503.00,505.35,504.72,"49,55,525"
08-Mar-2018,518.45,523.95,507.45,520.55,519.90,"84,83,978"
07-Mar-2018,510.90,517.90,507.55,512.65,512.01,"1,04,28,057"
06-Mar-2018,526.00,530.65,511.20,517.35,516.71,"1,22,40,160"
05-Mar-2018,524.00,528.95,521.30,524.55,523.90,"67,66,199"
01-Mar-2018,524.00,535.55,522.00,525.75,525.10,"98,27,510"
28-Feb-2018,534.00,536.50,520.00,528.75,528.09,"66,26,661"
27-Feb-2018,551.60,551.60,536.15,538.40,537.73,"41,36,383"
26-Feb-2018,541.10,554.40,539.00,552.30,551.61,"52,97,794"
23-Feb-2018,527.00,538.90,525.55,536.65,535.98,"38,88,629"
22-Feb-2018,533.00,533.75,527.50,530.25,529.59,"78,08,359"
21-Feb-2018,534.00,538.50,524.40,535.80,535.14,"46,38,382"
20-Feb-2018,542.00,548.05,529.40,531.70,531.04,"33,95,183"
19-Feb-2018,537.85,544.95,527.50,540.55,539.88,"42,51,723"
16-Feb-2018,547.05,548.60,535.00,537.85,537.18,"39,10,503"
15-Feb-2018,534.75,554.80,531.35,543.70,543.03,"1,15,93,643"
14-Feb-2018,565.00,565.85,540.10,543.90,543.23,"64,78,108"
12-Feb-2018,563.70,568.00,560.35,564.20,563.50,"47,65,319"
09-Feb-2018,559.90,561.95,550.40,557.55,556.86,"58,65,587"
08-Feb-2018,562.80,576.90,559.70,568.45,567.74,"58,16,886"
07-Feb-2018,568.00,574.65,556.00,559.35,558.66,"76,79,830"
06-Feb-2018,543.00,577.05,534.00,563.70,563.00,"1,39,38,327"
05-Feb-2018,551.10,568.65,547.50,566.25,565.55,"93,18,595"
02-Feb-2018,587.80,587.80,561.30,564.90,564.20,"61,85,174"
01-Feb-2018,593.60,610.00,586.10,592.80,592.06,"78,39,731"
31-Jan-2018,589.30,596.00,587.15,593.60,592.86,"71,08,060"
30-Jan-2018,605.60,607.45,592.45,593.75,593.01,"64,47,963"
29-Jan-2018,614.55,620.90,603.65,605.55,604.80,"70,17,160"
25-Jan-2018,610.00,619.25,598.60,616.10,615.34,"67,49,846"
24-Jan-2018,621.90,621.90,606.30,607.95,607.20,"61,58,610"
23-Jan-2018,616.40,627.60,611.45,620.10,619.33,"1,42,86,343"
22-Jan-2018,595.95,621.75,583.15,611.55,610.79,"2,17,90,443"
19-Jan-2018,584.90,594.00,581.20,590.25,589.52,"38,97,048"
18-Jan-2018,596.00,597.15,578.60,584.80,584.07,"94,66,991"
17-Jan-2018,564.05,589.30,561.00,585.20,584.47,"84,53,944"
16-Jan-2018,562.95,566.90,555.80,563.20,562.50,"59,93,564"
15-Jan-2018,556.70,564.45,556.40,560.55,559.85,"39,43,472"
12-Jan-2018,560.20,563.40,552.50,555.10,554.41,"60,13,121"
11-Jan-2018,562.00,563.15,553.55,558.75,558.06,"28,25,921"
10-Jan-2018,566.15,566.70,560.45,562.80,562.10,"24,11,625"
09-Jan-2018,564.00,573.00,563.00,565.30,564.60,"46,07,504"
08-Jan-2018,565.80,568.00,562.45,565.45,564.75,"37,70,339"
05-Jan-2018,561.05,566.00,556.70,563.25,562.55,"32,49,056"
04-Jan-2018,564.85,565.00,558.00,559.90,559.21,"27,66,664"
03-Jan-2018,561.30,565.45,555.75,560.45,559.75,"39,90,149"
02-Jan-2018,567.00,568.60,556.35,559.50,558.81,"62,92,268"
01-Jan-2018,563.80,569.80,560.50,565.50,564.80,"69,43,234"
19-Jul-2018,528.05,537.40,518.40,526.80,526.15,"52,76,418"
18-Jul-2018,541.20,542.40,515.00,526.55,525.90,"49,54,888"
17-Jul-2018,521.70,539.85,519.00,537.90,537.23,"45,11,522"
16-Jul-2018,523.00,529.90,518.35,522.10,521.45,"50,32,325"
13-Jul-2018,539.70,541.00,519.45,523.00,522.35,"41,69,212"
12-Jul-2018,539.70,545.70,535.30,538.35,537.68,"41,28,221"
11-Jul-2018,532.40,542.35,530.80,536.55,535.88,"64,32,494"
10-Jul-2018,527.95,534.90,522.00,532.55,531.89,"52,81,760"
09-Jul-2018,515.10,529.30,515.10,525.25,524.60,"62,95,104"
06-Jul-2018,513.00,516.90,509.50,513.70,513.06,"27,06,424"
05-Jul-2018,514.00,517.85,509.00,511.00,510.37,"26,92,462"
04-Jul-2018,511.95,516.25,507.65,514.75,514.11,"38,93,493"
03-Jul-2018,512.90,519.90,509.25,511.55,510.92,"66,58,467"
02-Jul-2018,510.75,513.80,503.00,512.25,511.61,"67,99,910"
29-Jun-2018,505.80,514.50,498.75,510.80,510.17,"77,47,444"
28-Jun-2018,508.00,513.50,500.80,504.60,503.97,"48,54,274"
27-Jun-2018,516.00,516.00,501.60,507.85,507.22,"56,59,070"
26-Jun-2018,516.50,518.70,512.05,514.20,513.56,"45,05,122"
25-Jun-2018,520.35,523.35,513.10,515.20,514.56,"48,82,240"
22-Jun-2018,513.00,527.80,510.55,525.65,525.00,"59,32,446"
21-Jun-2018,521.25,522.00,511.10,513.05,512.41,"48,56,050"
20-Jun-2018,520.75,527.40,517.15,519.10,518.46,"45,55,002"
19-Jun-2018,522.15,524.40,514.40,517.20,516.56,"64,83,110"
18-Jun-2018,530.25,531.00,521.45,522.55,521.90,"37,11,213"
15-Jun-2018,527.80,534.65,516.10,528.75,528.09,"78,54,953"
14-Jun-2018,539.80,539.80,531.00,532.00,531.34,"37,36,633"
13-Jun-2018,539.80,551.80,536.85,540.65,539.98,"59,24,906"
12-Jun-2018,543.50,544.50,535.80,537.15,536.48,"33,20,721"
11-Jun-2018,539.80,542.60,530.35,539.95,539.28,"40,95,873"
08-Jun-2018,541.05,541.90,535.45,537.40,536.73,"46,27,913"
07-Jun-2018,533.80,550.00,532.15,542.40,541.73,"69,32,191"
06-Jun-2018,530.00,533.80,526.60,531.40,530.74,"52,81,259"
05-Jun-2018,534.65,536.00,524.25,530.90,530.24,"50,88,506"
04-Jun-2018,539.55,541.95,531.25,537.05,536.38,"42,91,186"
01-Jun-2018,543.00,544.30,532.85,536.65,535.98,"40,61,137"
31-May-2018,543.00,551.80,532.25,545.90,545.22,"1,56,52,651"
30-May-2018,543.75,544.70,535.05,541.65,540.98,"59,19,369"
29-May-2018,547.00,549.90,543.20,547.75,547.07,"80,15,443"
28-May-2018,541.70,548.00,540.95,546.15,545.47,"56,11,936"
25-May-2018,535.60,543.50,532.50,538.50,537.83,"45,88,810"
24-May-2018,521.70,537.00,521.10,534.45,533.79,"51,88,026"
23-May-2018,522.00,528.20,519.40,520.25,519.60,"44,26,060"
22-May-2018,528.40,533.50,520.65,523.30,522.65,"47,11,540"
21-May-2018,535.00,537.80,521.85,526.85,526.20,"42,58,800"
18-May-2018,536.80,540.70,528.50,532.90,532.24,"73,43,619"
17-May-2018,550.00,553.00,536.50,539.45,538.78,"85,51,787"
16-May-2018,545.00,552.75,541.05,550.00,549.32,"99,29,095"
15-May-2018,548.00,563.50,547.35,549.70,549.02,"67,52,759"
14-May-2018,551.20,558.90,547.55,551.90,551.22,"49,99,526"
11-May-2018,548.60,556.50,545.50,553.30,552.61,"49,60,854"
10-May-2018,548.50,554.00,542.95,547.65,546.97,"1,14,15,139"
09-May-2018,543.10,549.65,537.05,548.50,547.82,"75,56,830"
08-May-2018,536.65,547.50,533.45,542.25,541.58,"1,20,28,184"
07-May-2018,523.75,537.90,523.00,536.10,535.43,"67,92,091"
04-May-2018,533.90,533.90,519.05,520.30,519.65,"59,29,870"
03-May-2018,522.00,538.80,522.00,533.40,532.74,"1,20,01,916"
02-May-2018,518.50,527.95,515.40,523.75,523.10,"2,51,95,767"
30-Apr-2018,535.80,536.10,513.40,517.30,516.66,"1,83,57,008"
27-Apr-2018,481.25,543.10,481.25,539.20,538.53,"5,88,59,461"
26-Apr-2018,496.75,501.05,483.30,493.75,493.14,"1,49,19,977"
25-Apr-2018,506.00,506.00,496.30,498.40,497.78,"46,08,455"
24-Apr-2018,506.00,514.75,503.35,504.85,504.22,"45,64,259"
23-Apr-2018,508.40,511.20,500.00,506.20,505.57,"47,66,412"
20-Apr-2018,513.50,513.85,503.00,505.70,505.07,"44,37,940"
19-Apr-2018,521.00,521.45,509.10,512.90,512.26,"1,05,59,623"
18-Apr-2018,535.50,535.50,516.50,518.25,517.61,"71,31,174"
17-Apr-2018,544.95,544.95,530.25,532.40,531.74,"55,41,004"
16-Apr-2018,541.50,543.80,530.35,542.40,541.73,"64,18,203"
13-Apr-2018,550.00,555.55,535.75,542.55,541.88,"87,88,919"
